"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,       -6.10878341,      -6.097242714,      -6.235643261,      -6.321578334,      -5.511371759,      -9.699864503
          0,           0,          55,      -6.130507557,      -6.104399895,      -6.263562807,       -6.34890836,      -5.533868722,      -9.686608548
          0,           0,          56,      -6.151475752,      -6.111509175,       -6.29149849,      -6.376169508,      -5.555636432,      -9.674245418
          0,           0,          57,      -6.171224018,      -6.118581009,       -6.31886578,      -6.402903231,      -5.576054732,      -9.662799411
          0,           0,          58,      -6.189430861,       -6.12553399,      -6.345008322,      -6.428525259,      -5.594648325,      -9.652271753
          0,           0,          59,      -6.206007877,      -6.132353269,      -6.369319265,      -6.452431843,      -5.611223977,       -9.64268726
          0,           0,          60,      -6.221105732,      -6.139116609,      -6.391361894,      -6.474087712,       -5.62590556,       -9.63405262
          0,           0,          61,      -6.235061017,      -6.145872258,      -6.410949534,      -6.493111627,      -5.639080077,      -9.626389183
          0,           0,          62,      -6.248341663,      -6.152660992,      -6.428182515,      -6.509432245,      -5.651325761,       -9.61969053
          0,           0,          63,      -6.261460009,      -6.159482842,      -6.443412812,      -6.523264689,      -5.663291964,      -9.613940671
          0,           0,          64,      -6.274905367,      -6.166330215,      -6.457157385,      -6.535133226,      -5.675599399,      -9.609073532
          0,           0,          65,      -6.289029397,      -6.173126901,      -6.469991864,      -6.545769768,      -5.688707551,      -9.605011919
          0,           0,          66,      -6.304032461,      -6.179693585,      -6.482446475,       -6.55593403,      -5.702890111,      -9.601642634
          0,           0,          67,      -6.320018406,      -6.186029399,       -6.49495403,      -6.566281645,      -5.718285867,      -9.598865492
          0,           0,          68,       -6.33699913,      -6.191854912,      -6.507825846,      -6.577335648,      -5.734917012,      -9.596584669
          0,           0,          69,      -6.354884032,      -6.197079423,       -6.52124102,      -6.589403596,      -5.752668938,      -9.594679624
          0,           0,          70,       -6.37353434,      -6.201523584,      -6.535258696,      -6.602550663,      -5.771345725,      -9.593054623
          0,           0,          71,      -6.392757063,       -6.20521343,      -6.549812612,      -6.616640778,      -5.790677515,      -9.591621186
          0,           0,          72,       -6.41240324,      -6.208182274,      -6.564727311,       -6.63137636,      -5.810432004,      -9.590287394
          0,           0,          73,      -6.432309199,      -6.210518454,      -6.579748846,      -6.646292491,      -5.830363919,      -9.588999694
          0,           0,          74,      -6.452298862,      -6.212357532,      -6.594598038,      -6.660907416,      -5.850243844,      -9.587725765
          0,           0,          75,      -6.472229918,      -6.213922641,      -6.609018847,      -6.674789615,      -5.869914886,      -9.586433017
          0,           0,          76,      -6.491964187,      -6.215373253,      -6.622820353,      -6.687623146,      -5.889263549,       -9.58510469
          0,           0,          77,      -6.511384759,      -6.216878903,      -6.635908314,      -6.699309057,      -5.908235873,      -9.583741545
          0,           0,          78,      -6.530338404,      -6.218575917,      -6.648288629,      -6.709907927,      -5.926760704,      -9.582345236
          0,           0,          79,      -6.548648505,      -6.220585655,      -6.660046329,      -6.719643697,      -5.944754319,       -9.58092271
          0,           0,          80,      -6.566130393,      -6.222990077,      -6.671318914,      -6.728829678,      -5.962108981,      -9.579493467
          0,           0,          81,      -6.582595667,      -6.225828783,      -6.682266034,      -6.737806252,       -5.97867804,      -9.578079252
          0,           0,          82,      -6.597882767,      -6.229115731,      -6.693038194,      -6.746882543,      -5.994289486,      -9.576697855
          0,           0,          83,      -6.611885197,      -6.232844009,      -6.703743383,      -6.756270769,      -6.008773485,      -9.575369548
