"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,        -4.2891106,      -3.528231024,      -3.551816917,      -2.240548463,      -10.49683284
          0,           0,          64,      -4.283775405,      -3.522518367,      -3.547418719,      -2.235143807,      -10.48802399
          0,           0,          65,      -4.278460653,       -3.51694221,       -3.54295396,       -2.22976407,       -10.4794212
          0,           0,          66,      -4.273176502,      -3.511465181,      -3.538399073,       -2.22441996,      -10.47099689
          0,           0,          67,      -4.267936669,       -3.50604972,       -3.53373368,      -2.219125704,      -10.46276054
          0,           0,          68,      -4.262756775,      -3.500661201,      -3.528940725,      -2.213897371,      -10.45471318
          0,           0,          69,      -4.257652742,      -3.495270123,      -3.524006468,      -2.208751281,      -10.44686116
          0,           0,          70,      -4.252639295,      -3.489853429,      -3.518920402,      -2.203702498,      -10.43919111
          0,           0,          71,      -4.247728861,      -3.484395054,      -3.513675183,      -2.198763735,      -10.43168027
          0,           0,          72,      -4.242930798,       -3.47888582,        -3.5082665,      -2.193944577,      -10.42432692
          0,           0,          73,      -4.238251026,      -3.473322797,      -3.502692986,      -2.189251116,       -10.4171835
          0,           0,          74,      -4.233691922,      -3.467708426,      -3.496956141,      -2.184685847,      -10.41022811
          0,           0,          75,      -4.229252444,       -3.46204951,      -3.491060292,      -2.180247788,      -10.40345372
          0,           0,          76,      -4.224928384,      -3.456356175,      -3.485012544,      -2.175932741,      -10.39685414
          0,           0,          77,      -4.220712687,      -3.450640906,      -3.478822772,      -2.171733606,      -10.39043778
          0,           0,          78,      -4.216595825,      -3.444917699,      -3.472503614,      -2.167640767,      -10.38419859
          0,           0,          79,      -4.212566158,      -3.439201323,      -3.466070434,      -2.163642443,      -10.37811218
          0,           0,          80,      -4.208610365,      -3.433506716,        -3.4595412,      -2.159725141,      -10.37217443
          0,           0,          81,      -4.204713814,      -3.427848443,      -3.452936247,      -2.155874011,      -10.36638538
          0,           0,          82,      -4.200861054,       -3.42224023,      -3.446277933,      -2.152073366,      -10.36072899
          0,           0,          83,      -4.197036249,      -3.416694558,      -3.439590142,      -2.148307093,      -10.35518846
          0,           0,          84,      -4.193223718,      -3.411222318,      -3.432897698,      -2.144559215,      -10.34982456
          0,           0,          85,      -4.189408412,      -3.405832528,      -3.426225708,      -2.140814349,      -10.34461367
          0,           0,          86,      -4.185576421,      -3.400532164,       -3.41959889,      -2.137058234,      -10.33947278
          0,           0,          87,      -4.181715394,      -3.395326079,      -3.413040924,      -2.133278124,      -10.33440582
          0,           0,          88,       -4.17781491,      -3.390217098,      -3.406573876,      -2.129463178,      -10.32936639
          0,           0,          89,      -4.173866716,      -3.385206198,      -3.400217741,      -2.125604686,      -10.32435946
          0,           0,          90,       -4.16986489,      -3.380292846,      -3.393990133,      -2.121696246,      -10.31939582
          0,           0,          91,      -4.165805869,      -3.375475413,      -3.387906101,      -2.117733788,        -10.314509
          0,           0,          92,      -4.161688401,      -3.370751653,      -3.381978081,      -2.113715541,      -10.30963637
          0,           0,          93,      -4.157513375,      -3.366119163,      -3.376215966,      -2.109641865,      -10.30473606
          0,           0,          94,      -4.153283637,      -3.361575817,      -3.370627294,      -2.105515086,      -10.29977584
          0,           0,          95,      -4.149003737,      -3.357120091,      -3.365217481,      -2.101339242,      -10.29472164
