"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         12,           9,      -7.419921094,      -4.370063823,      -4.538211052,      -1.904560641,      -3.675120104,      0.9329898399,      0.3261593968,       1.251061585,                 0,                 0,                 0,     0.07419451699,      0.1936011166,       1.278301079,                 0,       3.835736751,        0.16298275,     -0.7781415708,     -0.5355017022,     -0.5262119548,     -0.7407181864,      -1.351354832,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,           9,      -7.435527804,      -4.332313243,      -4.499133518,      -1.923828519,      -3.692563811,      0.9329898399,      0.3313728325,       1.277249678,                 0,                 0,                 0,     0.07058988068,      0.1960485914,       1.304890663,                 0,       3.854418807,      0.6306936825,     -0.6219744351,      -0.473630146,     -0.4969112852,      -0.603321553,      -1.381297822,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,           9,      -7.423627428,      -4.338767931,      -4.505702244,      -1.934395538,      -3.680922623,      0.9329898399,      0.3328319625,       1.302724421,                 0,                 0,                 0,       0.067833629,      0.1948368924,       1.330378374,                 0,        3.91406045,      0.9477722908,     -0.5730321946,     -0.4636220249,     -0.4967206055,      -0.560672653,      -1.381674936,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         15,           9,      -7.481975013,      -4.342073929,      -4.524198413,      -2.006876729,      -3.669620534,      0.9329898399,      0.3321254503,       1.324922392,                 0,                 0,                 0,     0.07036679442,      0.1918139307,       1.352380891,                 0,       3.989222719,      0.9712922425,     -0.5726932367,     -0.4787411845,     -0.5087569221,     -0.5770352989,      -1.383313938,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         16,           9,      -7.537655059,       -4.33163904,      -4.544227907,      -2.062108622,      -3.644154185,      0.9329898399,      0.3288765445,       1.340613708,                 0,                 0,                 0,     0.07379823526,      0.1869426337,       1.367646646,                 0,       4.076343329,       0.982066599,     -0.5521277787,     -0.5008429061,     -0.5357258351,     -0.5744581439,       -1.36946093,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         17,           9,      -7.545551511,      -4.312144126,       -4.55955337,      -2.041947847,      -3.612194744,      0.9329898399,      0.3226881762,       1.343802577,                 0,                 0,                 0,     0.07412716634,      0.1804548383,       1.370171185,                 0,       4.164399802,      0.9917698685,     -0.5072573957,     -0.5319948254,     -0.5552046708,     -0.5449585825,      -1.345018755,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         18,           9,      -7.616319813,      -4.342118403,      -4.613789807,      -2.082732443,      -3.563983617,      0.9329898399,      0.3125043275,        1.32526333,                 0,                 0,                 0,     0.07232616358,      0.1722646569,       1.350668996,                 0,       4.240783928,       1.000432587,     -0.5860531715,     -0.6158377732,     -0.6097659495,     -0.6375715714,      -1.299023797,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         19,           9,      -7.595501011,      -4.324129106,      -4.621294105,      -2.051294141,      -3.527468737,      0.9329898399,      0.3038170203,       1.308202061,                 0,                 0,                 0,     0.07384660059,      0.1654083277,        1.33279312,                 0,       4.305887998,       1.004028013,     -0.6021407823,     -0.6516290753,     -0.6254176818,     -0.6656489053,      -1.259454746,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         20,           9,      -7.573920701,      -4.312799585,      -4.620371643,      -2.040380275,      -3.492746785,      0.9329898399,      0.2959422785,       1.296216364,                 0,                 0,                 0,     0.07914127275,      0.1588295712,       1.320049947,                 0,       4.379963452,        1.01041573,     -0.6242871873,     -0.6909369142,     -0.6324189496,     -0.7117104334,      -1.219678312,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         21,           9,      -7.589195964,      -4.302946388,      -4.617808312,      -2.067765673,      -3.453188764,      0.9329898399,      0.2881174959,       1.282316727,                 0,                 0,                 0,     0.08591867994,      0.1525005611,       1.305408541,                 0,       4.450672888,       1.006926232,     -0.7098338242,     -0.7309228805,     -0.6429457706,      -0.808444677,      -1.179355492,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         22,           9,      -7.604441629,        -4.2901824,      -4.612802586,      -2.092579172,      -3.407800516,      0.9329898399,      0.2786339949,       1.258142035,                 0,                 0,                 0,     0.09206634447,      0.1455959552,       1.280374985,                 0,       4.515393162,       1.007008572,     -0.7953284051,     -0.7658942956,     -0.6572013309,     -0.8980755751,      -1.142667546,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         23,           9,      -7.588583859,      -4.273463708,      -4.604653202,      -2.080398317,      -3.362623543,      0.9329898399,      0.2667371569,       1.219850586,                 0,                 0,                 0,     0.09751640073,      0.1377668357,       1.241049742,                 0,       4.573230818,      0.9994832554,     -0.8379146733,     -0.7932946978,     -0.6703803524,     -0.9396542273,      -1.116981773,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         24,           9,      -7.548335137,      -4.255120252,      -4.593102537,      -2.041979777,      -3.314797575,      0.9329898399,      0.2537776223,       1.170254692,                 0,                 0,                 0,      0.1041890558,      0.1300624773,       1.190370899,                 0,       4.611339178,      0.9983100219,     -0.8519054065,     -0.8143858141,     -0.6831133637,     -0.9494494283,      -1.094431255,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         25,           9,      -7.504106059,      -4.233584221,       -4.58112367,      -2.002675096,      -3.331214303,      0.9329898399,      0.2421960203,       1.116738902,                 0,                 0,                 0,      0.1138060534,      0.1241382439,       1.135937667,                 0,       4.610888737,      0.9885165355,     -0.8539143954,     -0.8266423239,     -0.6974421679,     -0.9519153519,      -1.136514683,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         26,           9,        -7.4674154,      -4.207670589,      -4.565404459,      -1.969173134,      -3.277302611,      0.9329898399,      0.2321784372,       1.059762234,                 0,                 0,                 0,      0.1252249538,      0.1201312217,       1.078226001,                 0,       4.564430042,      0.9873779085,     -0.8486288814,     -0.8279534658,     -0.7000500388,     -0.9490629425,      -1.104612238,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         27,           9,      -7.439658325,      -4.176979098,      -4.545205934,      -1.941164886,      -3.252808826,      0.9329898399,      0.2224855396,       0.994700379,                 0,                 0,                 0,      0.1355017558,      0.1172922385,       1.012507378,                 0,       4.470854065,      0.9765629706,     -0.8473847572,     -0.8174950221,     -0.6887583352,      -0.946277122,      -1.095723014,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         28,           9,       -7.41174155,      -4.142616264,      -4.521966124,      -1.911052449,       -3.22861285,      0.9329898399,      0.2115424173,      0.9144402914,                 0,                 0,                 0,      0.1403674203,      0.1147985274,      0.9315430956,                 0,       4.322727816,      0.9659625555,      -0.838753363,     -0.7960774468,     -0.6652624975,     -0.9344001794,      -1.082381375,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         29,           9,      -7.373484057,      -4.105424251,      -4.495417492,      -1.871398074,      -3.199965357,      0.9329898399,      0.1982579526,      0.8118085298,                 0,                 0,                 0,      0.1350736848,      0.1123147767,      0.8280849568,                 0,        4.09470853,       0.941286529,     -0.8143516439,      -0.764468112,     -0.6321593731,     -0.9063678631,      -1.061613613,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         30,           9,      -7.336623792,      -4.067135927,      -4.457406596,      -1.832328454,      -3.172726297,      0.9329898399,      0.1822424311,      0.6812879987,                 0,                 0,                 0,      0.1156770446,      0.1100301004,       0.696605353,                 0,        3.73836101,      0.9122296406,     -0.7854332608,      -0.724709695,     -0.5845149641,     -0.8718606713,      -1.039692072,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         31,           9,      -7.324653078,      -4.031961056,      -4.407462278,      -1.812298984,      -3.145977218,      0.9329898399,      0.1653708052,      0.5263712414,                 0,                 0,                 0,      0.0832420489,      0.1094441097,      0.5407736808,                 0,        3.18297562,      0.8789215655,      -0.773843375,     -0.6816663128,     -0.5235890964,     -0.8489119104,      -1.015274912,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         32,           9,       -7.33905646,      -3.998031384,      -4.355678871,      -1.811138908,      -3.117117782,      0.9329898399,      0.1504166567,       0.357031421,                 0,                 0,                 0,     0.04301935806,      0.1122727127,      0.3707983875,                 0,       2.373616253,      0.6264321208,     -0.7805989404,     -0.6340803124,     -0.4604127586,     -0.8378952522,     -0.9872226681,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         33,           9,      -7.348383395,      -3.964817008,      -4.312998021,      -1.808518908,      -3.086239575,      0.9329898399,      0.1399823434,      0.1835618347,                 0,                 0,                 0,    0.001008346853,       0.120028069,       0.197188403,                 0,       1.311321344,      0.4024924235,     -0.7762148732,     -0.5818999775,     -0.4062951071,     -0.8200756097,      -0.964268543,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         34,           9,      -7.326461744,       -3.93225849,      -4.278536741,      -1.787161695,      -3.041679241,      0.9329898399,      0.1351329473,     0.01269275602,                 0,                 0,                 0,    -0.03977968053,      0.1330659206,      0.0267484631,                 0,     0.09392791524,      0.1342883603,     -0.7374937694,     -0.5257266379,     -0.3618168794,     -0.7799012927,     -0.9443115481,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         35,           9,      -7.282117849,      -3.901170464,       -4.24660125,      -1.752917714,      -2.987623149,      0.9329898399,      0.1352135077,     -0.1529003586,                 0,                 0,                 0,      -0.078301525,      0.1504552334,     -0.1379290943,                 0,      -1.130806835,     0.01069124223,      -0.675631767,     -0.4676415357,     -0.3242673611,     -0.7245902643,      -0.930198956,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         36,           9,      -7.182488763,      -3.867501451,      -4.221638619,      -1.690601699,       -2.94780106,      0.9329898399,      0.1391679979,     -0.3011203256,                 0,                 0,                 0,     -0.1056793304,       0.169881266,       -0.28492374,                 0,      -2.163718168,    0.008222939054,     -0.5587690603,     -0.4055905705,     -0.3016138089,     -0.6398227624,     -0.9319087271,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         37,           9,      -7.136189927,      -3.846871818,      -4.181969234,      -1.647829865,      -2.901820001,      0.9329898399,      0.1454971519,     -0.4495392536,                 0,                 0,                 0,     -0.1379248299,      0.1916897506,     -0.4318680368,                 0,      -3.089677343,    0.005756272387,     -0.4972191428,     -0.3596048593,     -0.2754478951,     -0.5760946482,     -0.9177353084,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         38,           9,       -7.09304261,      -3.829586009,      -4.143106814,      -1.605508452,       -2.88448097,      0.9329898399,      0.1494965126,     -0.5880704672,                 0,                 0,                 0,      -0.161819986,      0.2101476572,     -0.5692223149,                 0,      -3.933673483,    0.003963741858,     -0.4484711148,     -0.3202327943,      -0.258701967,     -0.5190434216,     -0.9186569161,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         39,           9,      -7.060707321,      -3.817932058,      -4.104656479,      -1.573182751,      -2.873507381,      0.9329898399,      0.1544291868,     -0.6834368078,                 0,                 0,                 0,     -0.1642586481,      0.2250218068,     -0.6635506239,                 0,      -4.425567614,    0.005911122389,     -0.4073473465,     -0.2891166814,     -0.2444264338,     -0.4674440655,      -0.913986098,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         40,           9,      -7.036555918,      -3.814975287,      -4.066138279,       -1.54908087,      -2.866839021,      0.9329898399,      0.1591033973,     -0.7261883082,                 0,                 0,                 0,     -0.1500202057,      0.2341391602,     -0.7055793391,                 0,      -4.564253941,    0.004892138141,     -0.3679540755,     -0.2686848295,     -0.2331831948,     -0.4156003437,      -0.902574566,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         41,           9,      -7.021478826,      -3.819137949,      -4.029532118,      -1.535522945,      -2.877705288,      0.9329898399,      0.1612628776,     -0.7255391826,                 0,                 0,                 0,        -0.1265391,      0.2362189584,     -0.7047080422,                 0,      -4.499108496,    0.005478461201,     -0.3316101068,     -0.2572669914,      -0.227734734,     -0.3656446366,     -0.8978785973,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
