"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633242182358929e-05, 1.321694342108423e+00, 6.900359952693604e-01, 1.003821740091915e-01, 3.779756920364582e+00
1, 9.990000128750000e-01, -1.454719496908417e-04, 1.190726790585888e+00, 6.956849813544097e-01, 1.017894936275371e-01, 3.417179730892044e+00
2, 9.977599978450000e-01, -3.275032269003367e-04, 1.182938067005861e+00, 7.469624068547189e-01, 1.114010987444059e-01, 3.404786940601652e+00
3, 9.960200190539999e-01, -5.899047388974709e-04, 1.170808628793865e+00, 7.653316480433254e-01, 1.191289710037693e-01, 3.374902219537265e+00
4, 9.937800168990000e-01, -9.470137827799781e-04, 1.163675395470314e+00, 7.723214780285449e-01, 1.292846119541547e-01, 3.356864245775512e+00
5, 9.910500049590000e-01, -1.421872205759757e-03, 1.158805492874807e+00, 7.788060943532661e-01, 1.439598675112032e-01, 3.345181735594151e+00
6, 9.878399968150000e-01, -2.045007892618885e-03, 1.151587056166307e+00, 7.850114435153097e-01, 1.623123831438087e-01, 3.327211417690701e+00
7, 9.841300249100000e-01, -2.852677402727401e-03, 1.140693353425645e+00, 7.949586789465891e-01, 1.825851983165646e-01, 3.300096186706730e+00
8, 9.799500107769999e-01, -3.857170843493382e-03, 1.124768748612603e+00, 8.101310762572984e-01, 2.016624115465558e-01, 3.260392278619602e+00
9, 9.752799868580000e-01, -5.055678951674622e-03, 1.103866398497087e+00, 8.305678875167833e-01, 2.156382432474702e-01, 3.208217654216688e+00
10, 9.701499938960000e-01, -6.401524478850717e-03, 1.079167553206165e+00, 8.546232640556743e-01, 2.212800356950511e-01, 3.146440045186197e+00
11, 9.645400047300000e-01, -7.836487441920979e-03, 1.053285847107663e+00, 8.790475499123542e-01, 2.170601184681528e-01, 3.081480413805562e+00
12, 9.584699869160000e-01, -9.285627504950326e-03, 1.030662315825908e+00, 9.002260849051104e-01, 2.041678757204472e-01, 3.024592751497931e+00
13, 9.519400000570000e-01, -1.069412090899083e-02, 1.015030981332238e+00, 9.156425726241859e-01, 1.863179694565427e-01, 2.985289892392256e+00
14, 9.449599981310000e-01, -1.203468456395955e-02, 1.007351701220635e+00, 9.246962461226864e-01, 1.681394168924700e-01, 2.966020056741399e+00
15, 9.375399947170000e-01, -1.331250344408636e-02, 1.005778061120965e+00, 9.284342557303048e-01, 1.532857113995111e-01, 2.962084116333351e+00
16, 9.296900033950000e-01, -1.455578069082895e-02, 1.007236294348350e+00, 9.289448698327535e-01, 1.433882073810933e-01, 2.965732325283666e+00
17, 9.214000105860000e-01, -1.580380671391339e-02, 1.008963421724940e+00, 9.283390406525017e-01, 1.381880937125127e-01, 2.970021725676395e+00
18, 9.126999974250000e-01, -1.708483143021001e-02, 1.009246467098236e+00, 9.280980923979085e-01, 1.363059740431814e-01, 2.970648495612050e+00
19, 9.035800099370001e-01, -1.842095738560196e-02, 1.007531796167793e+00, 9.288708352028855e-01, 1.361390525416797e-01, 2.966222079443487e+00
20, 8.940600156780000e-01, -1.981678226584640e-02, 1.004032685358268e+00, 9.307173067624013e-01, 1.364032858094058e-01, 2.957288829640345e+00
21, 8.841500282290000e-01, -2.126856033542489e-02, 9.992803590106957e-01, 9.333423759385955e-01, 1.363332601815344e-01, 2.945182735010853e+00
22, 8.738499879840000e-01, -2.276885969735836e-02, 9.938287246083987e-01, 9.363691570184444e-01, 1.356338616173395e-01, 2.931292880546824e+00
23, 8.631799817090000e-01, -2.430608924855079e-02, 9.881194084011704e-01, 9.395092432280107e-01, 1.343215601609456e-01, 2.916736385566812e+00
24, 8.521599769590000e-01, -2.586987881109905e-02, 9.823993771715632e-01, 9.425616940670348e-01, 1.325445934998734e-01, 2.902130456651358e+00
25, 8.407700061800000e-01, -2.745741728949511e-02, 9.767671462432469e-01, 9.454583241690493e-01, 1.304786349280773e-01, 2.887727514187794e+00
26, 8.290500044819999e-01, -2.905918666840156e-02, 9.712122022266846e-01, 9.481878867635652e-01, 1.282450174903825e-01, 2.873499757216967e+00
27, 8.170099854470000e-01, -3.067102539081358e-02, 9.656810356971363e-01, 9.507852635788079e-01, 1.259103391699586e-01, 2.859314964414395e+00
28, 8.046399950980000e-01, -3.229174892868792e-02, 9.601135988412277e-01, 9.532601655513627e-01, 1.234880620612811e-01, 2.845015029501032e+00
29, 7.919700145720000e-01, -3.391477519718067e-02, 9.544874326654298e-01, 9.556381411641000e-01, 1.209598733039755e-01, 2.830546383296378e+00
30, 7.790099978450000e-01, -3.553586517621195e-02, 9.487948133146065e-01, 9.579427636679766e-01, 1.183019210418510e-01, 2.815894574617623e+00
