Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.94202,0,2.71854,-0,6.06894e-08,0,0,0,0,0,0,0.872902,0.23926,0,0.905098,1.08742,0.136646,6.46927e-06,2.30837e-05,-0.000336918,0.00033777,1.13272,0,0,0,0,5.10827
1,0.937215,0,2.70289,-0,6.06594e-08,0,0,0,0,0,0,0.862639,0.23926,-0.00139669,0.895206,1.08116,0.124131,0.000707724,0.000100437,9.14385e-05,0.00072064,1.13197,0,0,0,0,7.40264
2,0.92832,0,2.67671,-0,6.06502e-08,0,0,0,0,0,0,0.852113,0.23926,-0.0027972,0.88507,1.07068,0.10318,0.000665267,7.3954e-05,8.49848e-05,0.000674738,1.13175,0,0,0,0,7.12075
3,0.918554,0,2.64822,-0,6.06446e-08,0,0,0,0,0,0,0.841095,0.23926,-0.00423729,0.874474,1.05929,0.0803943,0.000685563,6.21555e-05,8.66768e-05,0.00069381,1.13161,0,0,0,0,7.18618
4,0.90898,0,2.62008,-0,6.06352e-08,0,0,0,0,0,0,0.829395,0.23926,-0.00574421,0.863235,1.04803,0.0578783,0.000719016,5.27538e-05,8.98371e-05,0.000726525,1.13138,0,0,0,0,7.33325
5,0.899368,0,2.5918,-0,6.06251e-08,0,0,0,0,0,0,0.816856,0.23926,-0.00732925,0.851207,1.03672,0.0352548,0.000755118,4.39456e-05,9.25548e-05,0.000762037,1.13112,0,0,0,0,7.49747
6,0.890074,0,2.56444,-0,6.06149e-08,0,0,0,0,0,0,0.803354,0.23926,-0.00898886,0.838274,1.02578,0.013371,0.000790469,3.53653e-05,9.41898e-05,0.000796846,1.13087,0,0,0,0,7.66741
7,0.88123,0,2.53842,-0,6.06052e-08,0,0,0,0,0,0,0.788795,0.23926,-0.0107152,0.824352,1.01537,-0.0074456,0.000824065,2.73347e-05,9.47496e-05,0.000829945,1.13063,0,0,0,0,7.82247
8,0.873265,0,2.515,-0,6.05964e-08,0,0,0,0,0,0,0.773115,0.23926,-0.0124979,0.809388,1.006,-0.0261879,0.000853703,2.01267e-05,9.42143e-05,0.000859122,1.13041,0,0,0,0,7.96401
9,0.866129,0,2.49402,-0,6.05886e-08,0,0,0,0,0,0,0.756281,0.23926,-0.0143268,0.793355,0.997606,-0.0429721,0.000879348,1.40165e-05,9.28944e-05,0.000884353,1.13022,0,0,0,0,8.08582
10,0.859973,0,2.47592,-0,6.05818e-08,0,0,0,0,0,0,0.738284,0.23926,-0.0161936,0.776255,0.990368,-0.0574489,0.000900716,9.03426e-06,9.106e-05,0.000905352,1.13005,0,0,0,0,8.18694
11,0.854459,0,2.45972,-0,6.05758e-08,0,0,0,0,0,0,0.71914,0.23926,-0.018092,0.758113,0.983887,-0.0704106,0.000918968,5.05006e-06,8.90627e-05,0.000923287,1.1299,0,0,0,0,8.27117
12,0.849396,0,2.44484,-0,6.05702e-08,0,0,0,0,0,0,0.698886,0.23926,-0.0200175,0.738978,0.977938,-0.0823089,0.000935319,1.67017e-06,8.7103e-05,0.000939367,1.12976,0,0,0,0,8.34368
13,0.844348,0,2.43001,-0,6.05645e-08,0,0,0,0,0,0,0.677583,0.23926,-0.0219639,0.71892,0.972006,-0.0941733,0.00095189,-1.59827e-06,8.52653e-05,0.000955703,1.12962,0,0,0,0,8.40872
14,0.839125,0,2.41468,-0,6.05588e-08,0,0,0,0,0,0,0.655305,0.23926,-0.0239196,0.698027,0.965871,-0.106444,0.000968996,-5.31758e-06,8.3295e-05,0.000972584,1.12948,0,0,0,0,8.47796
