Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
26,0.322144,0,0.91149,-0,5.97921e-08,0,0,0,0,0,0,0.672334,1.07667,0.0181721,1.26948,0.364596,-1.30899,0.00242174,-0.000482395,0.000276983,0.00248481,1.11058,0,0,0,0,7.97213
27,0.329815,0,0.935961,-0,5.99262e-08,0,0,0,0,0,0,0.682895,1.07667,0.0191662,1.27512,0.374384,-1.28942,0.00218713,-0.000411004,0.000214405,0.00223572,1.11387,0,0,0,0,7.68002
28,0.344552,0,0.982842,-0,6.01591e-08,0,0,0,0,0,0,0.6944,1.07667,0.0200935,1.28133,0.393137,-1.25191,0.00168118,-0.000293878,0.00014013,0.00171241,1.11961,0,0,0,0,6.86757
29,0.392471,0,1.12564,-0,6.04006e-08,0,0,0,0,0,0,0.706807,1.07667,0.020944,1.28811,0.450256,-1.13767,0.00094122,-0.000144579,6.58808e-05,0.000954535,1.12557,0,0,0,0,5.36405
30,0.816269,0,2.34715,-0,6.05246e-08,0,0,0,0,0,0,0.931754,1.07667,-0.0184465,1.42398,0.938859,-0.160466,0.00113781,0.00012746,8.4798e-05,0.00114807,1.12864,0,0,0,0,8.87405
31,0.807383,0,2.32105,-0,6.05138e-08,0,0,0,0,0,0,0.915415,1.07667,-0.0196526,1.41336,0.92842,-0.181345,0.00117008,0.000122485,8.02429e-05,0.0011792,1.12837,0,0,0,0,8.94759
32,0.798093,0,2.2938,-0,6.0503e-08,0,0,0,0,0,0,0.898722,1.07667,-0.020767,1.40262,0.917519,-0.203146,0.00120738,0.000116205,7.38884e-05,0.00121521,1.1281,0,0,0,0,9.03557
33,0.789165,0,2.26769,-0,6.04941e-08,0,0,0,0,0,0,0.881769,1.07667,-0.0217531,1.39184,0.907077,-0.22403,0.00124625,0.000108886,6.52307e-05,0.0012527,1.12788,0,0,0,0,9.12283
34,0.781668,0,2.24582,-0,6.04873e-08,0,0,0,0,0,0,0.864651,1.07667,-0.022577,1.38107,0.898326,-0.241532,0.00128427,0.000101389,5.418e-05,0.00128941,1.12771,0,0,0,0,9.20756
35,0.776626,0,2.23109,-0,6.04824e-08,0,0,0,0,0,0,0.84747,1.07667,-0.0232123,1.37039,0.892435,-0.253314,0.0013207,9.48087e-05,4.10629e-05,0.00132474,1.12759,0,0,0,0,9.29862
