Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.909331,0,2.62227,-0,6.06557e-08,0,0,0,0,0,0,1.07411,0.95704,0,1.43862,1.04891,0.0596275,1.2057e-05,4.30189e-05,-0.00044094,0.000443198,1.13188,0,0,0,0,5.62436
1,0.910077,0,2.6223,-0,6.06189e-08,0,0,0,0,0,0,1.0668,0.95704,-0.000994937,1.43317,1.04892,0.0596586,0.000921619,0.000246862,0.000114695,0.000960978,1.13097,0,0,0,0,8.31597
2,0.904145,0,2.60477,-0,6.06111e-08,0,0,0,0,0,0,1.0593,0.95704,-0.00199259,1.4276,1.04191,0.0456296,0.000852347,0.000197456,0.000105088,0.000881209,1.13078,0,0,0,0,7.91701
3,0.897366,0,2.58513,-0,6.06093e-08,0,0,0,0,0,0,1.05145,0.95704,-0.00301843,1.42179,1.03405,0.0299224,0.000860019,0.000178652,0.000105074,0.000884641,1.13073,0,0,0,0,7.90293
4,0.890445,0,2.56483,-0,6.06027e-08,0,0,0,0,0,0,1.04312,0.95704,-0.00409188,1.41564,1.02593,0.0136753,0.000885241,0.000165278,0.000107024,0.000906875,1.13057,0,0,0,0,7.97834
5,0.883418,0,2.54416,-0,6.05951e-08,0,0,0,0,0,0,1.03418,0.95704,-0.00522097,1.40907,1.01766,-0.00285694,0.000914517,0.000153326,0.000108608,0.00093362,1.13038,0,0,0,0,8.08533
6,0.876466,0,2.5237,-0,6.05871e-08,0,0,0,0,0,0,1.02456,0.95704,-0.00640319,1.40203,1.00948,-0.0192248,0.000944345,0.000141911,0.000109177,0.000961169,1.13018,0,0,0,0,8.19642
7,0.86976,0,2.50397,-0,6.05795e-08,0,0,0,0,0,0,1.01419,0.95704,-0.00763293,1.39448,1.00159,-0.035006,0.000972448,0.000131242,0.000108627,0.000987258,1.13,0,0,0,0,8.30508
8,0.863605,0,2.48587,-0,6.05724e-08,0,0,0,0,0,0,1.00302,0.95704,-0.00890282,1.38638,0.994347,-0.0494914,0.000997145,0.000121591,0.000107046,0.00101022,1.12982,0,0,0,0,8.40541
9,0.857905,0,2.46911,-0,6.0566e-08,0,0,0,0,0,0,0.991031,0.95704,-0.0102056,1.37774,0.987645,-0.0628947,0.00101835,0.000113311,0.000104768,0.00102998,1.12966,0,0,0,0,8.48881
10,0.852721,0,2.45387,-0,6.05601e-08,0,0,0,0,0,0,0.97821,0.95704,-0.0115354,1.36856,0.981549,-0.0750859,0.00103564,0.000106339,0.000102072,0.00104608,1.12951,0,0,0,0,8.5633
11,0.847681,0,2.43907,-0,6.05544e-08,0,0,0,0,0,0,0.964572,0.95704,-0.0128877,1.35886,0.975627,-0.0869302,0.00105009,0.000100537,9.93128e-05,0.00105956,1.12937,0,0,0,0,8.62458
12,0.842559,0,2.42402,-0,6.05486e-08,0,0,0,0,0,0,0.950145,0.95704,-0.0142593,1.34867,0.969609,-0.0989668,0.00106365,9.54459e-05,9.67534e-05,0.0010723,1.12923,0,0,0,0,8.67579
13,0.836905,0,2.40742,-0,6.05423e-08,0,0,0,0,0,0,0.934969,0.95704,-0.0156458,1.33803,0.962967,-0.11225,0.00107846,9.04895e-05,9.44519e-05,0.00108636,1.12907,0,0,0,0,8.72661
14,0.83051,0,2.38865,-0,6.0535e-08,0,0,0,0,0,0,0.919099,0.95704,-0.017039,1.32701,0.955458,-0.127268,0.00109644,8.4927e-05,9.22537e-05,0.00110359,1.12889,0,0,0,0,8.78233
15,0.823184,0,2.36715,-0,6.0527e-08,0,0,0,0,0,0,0.902601,0.95704,-0.0184242,1.31566,0.946862,-0.144461,0.00111898,7.81018e-05,8.97925e-05,0.00112529,1.12869,0,0,0,0,8.84329
16,0.815097,0,2.34346,-0,6.05184e-08,0,0,0,0,0,0,0.88555,0.95704,-0.0197788,1.30404,0.937383,-0.163418,0.00114571,6.9435e-05,8.64704e-05,0.00115107,1.12848,0,0,0,0,8.91633
17,0.806651,0,2.31873,-0,6.05097e-08,0,0,0,0,0,0,0.868029,0.95704,-0.021072,1.29222,0.927494,-0.183198,0.00117735,5.88715e-05,8.1767e-05,0.00118166,1.12827,0,0,0,0,8.99493
