Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.943659,0,2.72257,-0,6.06777e-08,0,0,0,0,0,0,1.02378,0.777595,0,1.2856,1.08903,0.139873,9.68652e-06,3.45434e-05,-0.000310068,0.000312136,1.13243,0,0,0,0,4.84252
1,0.937144,0,2.70185,-0,6.06452e-08,0,0,0,0,0,0,1.01573,0.777595,-0.00109532,1.2792,1.08074,0.123295,0.000773986,0.000202263,9.6511e-05,0.000805778,1.13162,0,0,0,0,7.73915
2,0.92807,0,2.67524,-0,6.06375e-08,0,0,0,0,0,0,1.00747,0.777595,-0.00219362,1.27266,1.0701,0.102006,0.000744153,0.000160371,9.21914e-05,0.0007668,1.13143,0,0,0,0,7.50401
3,0.918345,0,2.64691,-0,6.06324e-08,0,0,0,0,0,0,0.998832,0.777595,-0.00332297,1.26583,1.05877,0.0793456,0.000771174,0.000143146,9.48393e-05,0.00079006,1.13131,0,0,0,0,7.57086
4,0.908819,0,2.6189,-0,6.06227e-08,0,0,0,0,0,0,0.989657,0.777595,-0.00450473,1.25861,1.04756,0.0569325,0.000810109,0.000130162,9.86935e-05,0.000826414,1.13106,0,0,0,0,7.70953
5,0.899392,0,2.59113,-0,6.0612e-08,0,0,0,0,0,0,0.979823,0.777595,-0.00574774,1.2509,1.03645,0.034717,0.000850962,0.000118305,0.000101909,0.000865169,1.1308,0,0,0,0,7.86906
6,0.89021,0,2.56406,-0,6.06012e-08,0,0,0,0,0,0,0.969234,0.777595,-0.00704924,1.24263,1.02563,0.0130657,0.000891379,0.000106857,0.000103964,0.00090376,1.13053,0,0,0,0,8.0234
7,0.881495,0,2.53839,-0,6.05908e-08,0,0,0,0,0,0,0.957817,0.777595,-0.00840307,1.23375,1.01536,-0.00747378,0.000928856,9.59422e-05,0.000104704,0.00093965,1.13028,0,0,0,0,8.17145
8,0.873529,0,2.51493,-0,6.05814e-08,0,0,0,0,0,0,0.945521,0.777595,-0.0098011,1.22424,1.00597,-0.0262407,0.000961621,8.58287e-05,0.000104193,0.00097105,1.13004,0,0,0,0,8.30365
9,0.866304,0,2.49367,-0,6.0573e-08,0,0,0,0,0,0,0.932319,0.777595,-0.0112354,1.21408,0.997467,-0.0432512,0.000989296,7.68189e-05,0.000102741,0.000997578,1.12983,0,0,0,0,8.42103
10,0.85987,0,2.47475,-0,6.05657e-08,0,0,0,0,0,0,0.918205,0.777595,-0.0126993,1.20329,0.9899,-0.0583856,0.00101238,6.89791e-05,0.000100738,0.00101972,1.12965,0,0,0,0,8.51432
11,0.853922,0,2.45727,-0,6.0559e-08,0,0,0,0,0,0,0.903192,0.777595,-0.0141881,1.19189,0.982908,-0.0723694,0.00103158,6.21195e-05,9.85131e-05,0.00103814,1.12949,0,0,0,0,8.59336
12,0.848218,0,2.44051,-0,6.05525e-08,0,0,0,0,0,0,0.887309,0.777595,-0.0156981,1.17992,0.976204,-0.0857764,0.00104857,5.57843e-05,9.63239e-05,0.00105446,1.12933,0,0,0,0,8.65967
13,0.842341,0,2.42324,-0,6.05458e-08,0,0,0,0,0,0,0.870602,0.777595,-0.0172245,1.16743,0.969297,-0.09959,0.00106565,4.94021e-05,9.42632e-05,0.00107096,1.12916,0,0,0,0,8.72338
14,0.83608,0,2.40484,-0,6.05384e-08,0,0,0,0,0,0,0.853131,0.777595,-0.0187582,1.15449,0.961938,-0.114309,0.00108503,4.2299e-05,9.22105e-05,0.00108977,1.12898,0,0,0,0,8.78831
15,0.829283,0,2.38487,-0,6.05303e-08,0,0,0,0,0,0,0.834968,0.777595,-0.0202832,1.14116,0.953946,-0.130293,0.00110832,3.38958e-05,8.98244e-05,0.00111247,1.12878,0,0,0,0,8.86313
16,0.823601,0,2.36789,-0,6.0518e-08,0,0,0,0,0,0,0.656648,0.777595,-0.0281997,1.01815,0.947156,-0.143872,0.00132489,-4.44747e-05,-6.11371e-06,0.00132565,1.12847,0,0,0,0,9.61022
17,0.834409,0,2.39965,-0,6.0531e-08,0,0,0,0,0,0,0.6373,0.777595,-0.0280127,1.00578,0.959859,-0.118466,0.00132143,-4.10355e-05,-2.03573e-05,0.00132222,1.12879,0,0,0,0,9.63171
18,0.845957,0,2.43359,-0,6.05447e-08,0,0,0,0,0,0,0.618486,0.777595,-0.0276371,0.993953,0.973436,-0.0913129,0.00131651,-3.5726e-05,-3.34377e-05,0.00131742,1.12913,0,0,0,0,9.64632
19,0.857701,0,2.4681,-0,6.05581e-08,0,0,0,0,0,0,0.600316,0.777595,-0.0270996,0.982735,0.987238,-0.0637077,0.00131287,-2.93358e-05,-4.56592e-05,0.00131399,1.12946,0,0,0,0,9.66177
20,0.869363,0,2.50234,-0,6.05707e-08,0,0,0,0,0,0,0.582894,0.777595,-0.0264237,0.972171,1.00094,-0.0363101,0.00131286,-2.24156e-05,-5.76458e-05,0.00131432,1.12978,0,0,0,0,9.67991
21,0.587649,0,1.69258,-0,6.05966e-08,0,0,0,0,0,0,0.696473,0.777595,0.0279087,1.04427,0.67703,-0.684124,9.51093e-05,0.00014724,-2.65856e-06,0.000175307,1.13042,0,0,0,0,3.92948
22,0.648604,0,1.87053,-0,6.06583e-08,0,0,0,0,0,0,0.716706,0.777595,0.0274002,1.05786,0.748213,-0.54176,-0.000146341,0.000261317,4.43642e-06,0.000299536,1.13195,0,0,0,0,4.13755
23,0.696619,0,2.01091,-0,6.07023e-08,0,0,0,0,0,0,0.736987,0.777595,0.0266503,1.07169,0.804366,-0.429453,-0.0001869,0.000323845,9.42408e-06,0.000374027,1.13304,0,0,0,0,4.68964
24,0.735971,0,2.12584,-0,6.0731e-08,0,0,0,0,0,0,0.757193,0.777595,0.0256777,1.08566,0.850335,-0.337514,-0.000129908,0.000347952,1.00377e-05,0.000371547,1.13375,0,0,0,0,4.80848
25,0.766071,0,2.21355,-0,6.07468e-08,0,0,0,0,0,0,0.777205,0.777595,0.0245137,1.09968,0.88542,-0.267345,-4.25066e-05,0.000348215,7.12685e-06,0.000350873,1.13414,0,0,0,0,4.7803
26,0.788669,0,2.27921,-0,6.07541e-08,0,0,0,0,0,0,0.796909,0.777595,0.0231983,1.11367,0.911685,-0.214815,3.90528e-05,0.000339072,2.67765e-06,0.000341324,1.13432,0,0,0,0,4.79447
27,0.807091,0,2.3326,-0,6.07571e-08,0,0,0,0,0,0,0.816197,0.777595,0.0217746,1.12752,0.933041,-0.172104,0.000102403,0.000327532,-1.79232e-06,0.000343172,1.1344,0,0,0,0,4.86348
28,0.822739,0,2.37788,-0,6.07581e-08,0,0,0,0,0,0,0.834968,0.777595,0.0202832,1.14116,0.951152,-0.135881,0.000149108,0.00031745,-5.69672e-06,0.000350771,1.13442,0,0,0,0,4.95931
29,0.83599,0,2.41618,-0,6.07582e-08,0,0,0,0,0,0,0.853131,0.777595,0.0187582,1.15449,0.966474,-0.105237,0.000183816,0.000310217,-8.96339e-06,0.000360698,1.13443,0,0,0,0,5.05659
30,0.376587,0,1.06984,-0,5.99745e-08,0,0,0,0,0,0,0.582894,0.777595,0.0264237,0.972171,0.427938,-1.18231,0.00199468,-0.000341084,9.84507e-05,0.00202602,1.11506,0,0,0,0,7.98749
31,0.38205,0,1.08701,-0,6.00434e-08,0,0,0,0,0,0,0.600316,0.777595,0.0270996,0.982735,0.434805,-1.16857,0.00185778,-0.000300126,7.25699e-05,0.00188327,1.11676,0,0,0,0,7.78558
32,0.388368,0,1.10725,-0,6.01367e-08,0,0,0,0,0,0,0.618486,0.777595,0.0276371,0.993953,0.442901,-1.15238,0.00166912,-0.000251865,4.77962e-05,0.00168869,1.11906,0,0,0,0,7.45065
33,0.400014,0,1.1437,-0,6.02661e-08,0,0,0,0,0,0,0.6373,0.777595,0.0280127,1.00578,0.45748,-1.12322,0.0013763,-0.000187356,2.4291e-05,0.0013892,1.12225,0,0,0,0,6.85999
34,0.433135,0,1.24228,-0,6.04057e-08,0,0,0,0,0,0,0.656648,0.777595,0.0281997,1.01815,0.49691,-1.04436,0.000973229,-0.000103187,5.64115e-06,0.000978701,1.1257,0,0,0,0,5.94411
35,0.50652,0,1.4564,-0,6.0517e-08,0,0,0,0,0,0,0.676413,0.777595,0.0281718,1.03101,0.582559,-0.873066,0.000497215,1.2804e-05,-3.77439e-06,0.000497394,1.12845,0,0,0,0,4.25288
36,0.847457,0,2.44932,-0,6.07581e-08,0,0,0,0,0,0,0.870602,0.777595,0.0172245,1.16743,0.979728,-0.0787285,0.000208486,0.000305352,-1.15485e-05,0.000369918,1.13442,0,0,0,0,5.14146
37,0.857706,0,2.47894,-0,6.0758e-08,0,0,0,0,0,0,0.887309,0.777595,0.0156981,1.17992,0.991575,-0.0550351,0.000224208,0.00030238,-1.34507e-05,0.000376675,1.13442,0,0,0,0,5.20185
38,0.867052,0,2.50596,-0,6.07583e-08,0,0,0,0,0,0,0.903192,0.777595,0.0141881,1.19189,1.00238,-0.0334154,0.000231909,0.000300916,-1.47011e-05,0.000380195,1.13443,0,0,0,0,5.23584
39,0.87572,0,2.53105,-0,6.07588e-08,0,0,0,0,0,0,0.918205,0.777595,0.0126993,1.20329,1.01242,-0.0133472,0.00023256,0.000300824,-1.53312e-05,0.000380544,1.13444,0,0,0,0,5.24307
40,0.88381,0,2.55448,-0,6.07597e-08,0,0,0,0,0,0,0.932319,0.777595,0.0112354,1.21408,1.02179,0.00539876,0.000227025,0.000301931,-1.53411e-05,0.000378071,1.13446,0,0,0,0,5.22895
41,0.89142,0,2.57654,-0,6.07609e-08,0,0,0,0,0,0,0.945521,0.777595,0.0098011,1.22424,1.03062,0.0230499,0.000216476,0.000304136,-1.47454e-05,0.000373601,1.13449,0,0,0,0,5.19439
42,0.898528,0,2.59716,-0,6.07622e-08,0,0,0,0,0,0,0.957817,0.777595,0.00840307,1.23375,1.03886,0.0395438,0.000202008,0.000306937,-1.35717e-05,0.000367698,1.13452,0,0,0,0,5.15096
