Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.802814,0,2.30908,-0,6.05368e-08,0,0,0,0,0,0,0.966224,1.18434,-0.017772,1.52858,0.923631,-0.190922,0.00114282,0.000394565,9.56141e-05,0.00121279,1.12894,0,0,0,0,8.89327
1,0.799174,0,2.2982,-0,6.05286e-08,0,0,0,0,0,0,0.958057,1.18434,-0.0183749,1.52344,0.919279,-0.199627,0.00116242,0.000404267,9.70049e-05,0.00123453,1.12874,0,0,0,0,8.94914
2,0.791446,0,2.27523,-0,6.05137e-08,0,0,0,0,0,0,0.94245,1.18434,-0.0194168,1.51369,0.91009,-0.218004,0.00120069,0.000421502,9.78845e-05,0.00127628,1.12837,0,0,0,0,9.05135
3,0.783343,0,2.25142,-0,6.05033e-08,0,0,0,0,0,0,0.926598,1.18434,-0.0203388,1.50388,0.900567,-0.237051,0.00123071,0.00043437,9.53961e-05,0.00130859,1.12811,0,0,0,0,9.10497
4,0.775659,0,2.22902,-0,6.04968e-08,0,0,0,0,0,0,0.910594,1.18434,-0.0211092,1.49408,0.891608,-0.254968,0.00125603,0.000445018,8.97497e-05,0.00133556,1.12795,0,0,0,0,9.14284
5,0.768935,0,2.20949,-0,6.04925e-08,0,0,0,0,0,0,0.89453,1.18434,-0.0217031,1.48435,0.883795,-0.270594,0.00127727,0.000455078,8.14106e-05,0.00135836,1.12784,0,0,0,0,9.16691
6,0.763376,0,2.19338,-0,6.04898e-08,0,0,0,0,0,0,0.878504,1.18434,-0.0221059,1.47476,0.877354,-0.283477,0.00129572,0.000466117,7.11927e-05,0.00137885,1.12778,0,0,0,0,9.18897
7,0.758952,0,2.18061,-0,6.04885e-08,0,0,0,0,0,0,0.862614,1.18434,-0.0223143,1.46535,0.872244,-0.293696,0.00131075,0.000478483,5.98782e-05,0.00139664,1.12774,0,0,0,0,9.20719
8,0.755396,0,2.17036,-0,6.04879e-08,0,0,0,0,0,0,0.846959,1.18434,-0.0223364,1.45619,0.868144,-0.301896,0.00132267,0.000492037,4.81703e-05,0.00141205,1.12773,0,0,0,0,9.22309
9,0.752433,0,2.1618,-0,6.04869e-08,0,0,0,0,0,0,0.831634,1.18434,-0.0221883,1.44733,0.86472,-0.308744,0.0013375,0.000507829,3.66049e-05,0.00143113,1.1277,0,0,0,0,9.25303
10,0.74999,0,2.15474,-0,6.04861e-08,0,0,0,0,0,0,0.816731,1.18434,-0.0218907,1.43881,0.861897,-0.314391,0.00135342,0.000523113,2.49208e-05,0.00145121,1.12768,0,0,0,0,9.28684
11,0.748294,0,2.14992,-0,6.04872e-08,0,0,0,0,0,0,0.802339,1.18434,-0.0214651,1.43069,0.859968,-0.318248,0.00136951,0.000535574,1.2681e-05,0.00147056,1.12771,0,0,0,0,9.32525
12,0.747911,0,2.14903,-0,6.04916e-08,0,0,0,0,0,0,0.78854,1.18434,-0.0209297,1.42299,0.859611,-0.318962,0.00138191,0.000541965,-7.14982e-07,0.00148439,1.12782,0,0,0,0,9.34954
13,0.806375,0,2.31972,-0,6.05448e-08,0,0,0,0,0,0,0.973334,1.18434,-0.0171842,1.53308,0.92789,-0.182405,0.0011189,0.000382269,0.000101123,0.00118671,1.12914,0,0,0,0,8.81532
14,0.797336,0,2.30514,-0,6.07715e-08,0,0,0,0,0,0,0.988203,1.18434,0.0159309,1.54255,0.922054,-0.194077,-0.000135422,0.000214993,3.2916e-06,0.000254111,1.13475,0,0,0,0,4.05726
15,0.8027,0,2.32099,-0,6.07784e-08,0,0,0,0,0,0,1.00259,1.18434,0.0147308,1.55179,0.928395,-0.181394,-0.000116357,0.000221042,7.47997e-07,0.000249798,1.13492,0,0,0,0,4.00935
16,0.80807,0,2.33677,-0,6.07834e-08,0,0,0,0,0,0,1.01643,1.18434,0.0135742,1.56076,0.934708,-0.168769,-9.58468e-05,0.000225094,-2.04018e-06,0.000244659,1.13505,0,0,0,0,3.97128
17,0.813297,0,2.35207,-0,6.07869e-08,0,0,0,0,0,0,1.02966,1.18434,0.0124248,1.5694,0.940827,-0.156531,-7.69325e-05,0.000229187,-5.36968e-06,0.000241814,1.13514,0,0,0,0,3.92615
18,0.889109,0,2.56541,-0,6.06816e-08,0,0,0,0,0,0,1.11051,1.18434,-0.00359601,1.62354,1.02616,0.0141416,0.000746376,0.00015394,0.000107815,0.000769674,1.13252,0,0,0,0,7.30782
19,0.885423,0,2.55454,-0,6.06773e-08,0,0,0,0,0,0,1.10294,1.18434,-0.00455267,1.61838,1.02182,0.00544555,0.000747863,0.00016553,0.00011264,0.000774201,1.13242,0,0,0,0,7.32465
20,0.879786,0,2.53793,-0,6.06709e-08,0,0,0,0,0,0,1.09455,1.18434,-0.00558356,1.61268,1.01517,-0.00784411,0.000758471,0.0001785,0.000117595,0.000788016,1.13226,0,0,0,0,7.38149
21,0.872788,0,2.51731,-0,6.0663e-08,0,0,0,0,0,0,1.08551,1.18434,-0.0066559,1.60656,1.00692,-0.0243388,0.000775391,0.000193087,0.000122158,0.000808354,1.13206,0,0,0,0,7.4623
22,0.864836,0,2.49385,-0,6.06533e-08,0,0,0,0,0,0,1.07577,1.18434,-0.00776324,1.6,0.997539,-0.0431076,0.000798406,0.000209714,0.000126296,0.000835095,1.13182,0,0,0,0,7.56045
23,0.856183,0,2.46828,-0,6.06419e-08,0,0,0,0,0,0,1.06531,1.18434,-0.00889929,1.59299,0.987311,-0.0635626,0.000827162,0.00022838,0.000129839,0.000867878,1.13154,0,0,0,0,7.67838
24,0.847247,0,2.4418,-0,6.06286e-08,0,0,0,0,0,0,1.05413,1.18434,-0.0100589,1.58554,0.976719,-0.0847456,0.000862635,0.000248877,0.000132626,0.000907562,1.13121,0,0,0,0,7.82196
25,0.838029,0,2.41442,-0,6.06134e-08,0,0,0,0,0,0,1.04224,1.18434,-0.0112381,1.57767,0.96577,-0.106645,0.000907425,0.000270468,0.000134218,0.000956341,1.13084,0,0,0,0,7.99715
26,0.830626,0,2.39234,-0,6.05991e-08,0,0,0,0,0,0,1.02966,1.18434,-0.0124248,1.5694,0.956937,-0.12431,0.000955309,0.000292089,0.000131862,0.00100763,1.13048,0,0,0,0,8.18225
27,0.825095,0,2.37578,-0,6.0587e-08,0,0,0,0,0,0,1.01643,1.18434,-0.0135742,1.56076,0.950311,-0.137562,0.000993186,0.000312107,0.000125254,0.00104858,1.13018,0,0,0,0,8.37304
28,0.819608,0,2.35934,-0,6.05746e-08,0,0,0,0,0,0,1.00259,1.18434,-0.0147308,1.55179,0.943735,-0.150714,0.00103263,0.00033457,0.000119051,0.00109199,1.12987,0,0,0,0,8.49361
29,0.813361,0,2.34064,-0,6.05606e-08,0,0,0,0,0,0,0.988203,1.18434,-0.0159309,1.54255,0.936255,-0.165675,0.00107148,0.00035696,0.000110714,0.00113479,1.12953,0,0,0,0,8.66487
30,0.80298,0,2.31769,-0,6.06981e-08,0,0,0,0,0,0,1.13775,1.18434,0,1.6423,0.927075,-0.184034,4.63167e-06,3.11742e-05,-0.000371105,0.00037244,1.13293,0,0,0,0,4.37866
31,0.856689,0,2.4716,-0,6.06772e-08,0,0,0,0,0,0,1.13138,1.18434,-0.000661215,1.63789,0.988638,-0.0609083,0.000693518,0.000113073,9.17573e-05,0.000708641,1.13241,0,0,0,0,6.32783
32,0.872102,0,2.51622,-0,6.068e-08,0,0,0,0,0,0,1.12484,1.18434,-0.00144865,1.63338,1.00649,-0.0252052,0.000675509,0.000108178,9.31539e-05,0.000690429,1.13248,0,0,0,0,6.50226
33,0.881481,0,2.54353,-0,6.06844e-08,0,0,0,0,0,0,1.118,1.18434,-0.00239881,1.62867,1.01741,-0.00335662,0.000704299,0.000129304,9.95931e-05,0.000722963,1.13259,0,0,0,0,6.87495
34,0.888934,0,2.56491,-0,6.06817e-08,0,0,0,0,0,0,1.11073,1.18434,-0.00355868,1.62369,1.02596,0.0137421,0.000744957,0.000153157,0.000107551,0.000768105,1.13253,0,0,0,0,7.2945
35,0.818308,0,2.36668,-0,6.07893e-08,0,0,0,0,0,0,1.04224,1.18434,0.0112381,1.57767,0.946673,-0.144838,-6.02588e-05,0.000233579,-9.07333e-06,0.000241397,1.1352,0,0,0,0,3.91926
36,0.822969,0,2.38023,-0,6.07905e-08,0,0,0,0,0,0,1.05413,1.18434,0.0100589,1.58554,0.952091,-0.134003,-4.60595e-05,0.000239638,-1.30165e-05,0.000244372,1.13523,0,0,0,0,3.94472
37,0.827289,0,2.39269,-0,6.079e-08,0,0,0,0,0,0,1.06531,1.18434,0.00889929,1.59299,0.957078,-0.124029,-3.32967e-05,0.000246465,-1.66373e-05,0.000249259,1.13521,0,0,0,0,3.98958
38,0.830844,0,2.40283,-0,6.07872e-08,0,0,0,0,0,0,1.07577,1.18434,0.00776324,1.6,0.961133,-0.115918,-2.18527e-05,0.000253287,-1.95933e-05,0.000254982,1.13514,0,0,0,0,4.04388
39,0.833784,0,2.41107,-0,6.07821e-08,0,0,0,0,0,0,1.08551,1.18434,0.0066559,1.60656,0.964426,-0.109332,-1.13284e-05,0.000260089,-2.16423e-05,0.000261233,1.13502,0,0,0,0,4.10336
40,0.835391,0,2.41531,-0,6.07745e-08,0,0,0,0,0,0,1.09455,1.18434,0.00558356,1.61268,0.966126,-0.105933,-2.53255e-06,0.000266621,-2.24102e-05,0.000267573,1.13483,0,0,0,0,4.15978
41,0.836613,0,2.41835,-0,6.07651e-08,0,0,0,0,0,0,1.10294,1.18434,0.00455267,1.61838,0.96734,-0.103505,5.56159e-06,0.000272056,-2.17129e-05,0.000272978,1.1346,0,0,0,0,4.20916
42,0.835886,0,2.41567,-0,6.07542e-08,0,0,0,0,0,0,1.11051,1.18434,0.00359601,1.62354,0.966269,-0.105647,1.03987e-05,0.000276217,-1.92534e-05,0.000277082,1.13433,0,0,0,0,4.24628
