Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
67,1.40785,306488,0,-168.337,32.1548,171.381,0.251412,34.7153,-117.109,9.01916,122.479,0.0115095,0.122822,0.643,0.654727,120461,0.350773,298.071,24.6582,-83.1859,6.40788,86.9999
68,1.26999,274409,0,-168.337,-10.1247,168.641,0.303727,85.5927,-100.766,3.28986,132.252,-0.00719683,-0.0386735,0.643,0.644202,106998,0.10399,293.497,67.3903,-79.358,2.5921,104.143
69,1.22724,265386,0,-168.337,31.4441,171.249,0.22434,0.519344,-94.3899,12.1631,95.1717,0.0117838,0.120108,0.643,0.654228,104676,0.061436,297.125,0.423828,-76.8703,9.86606,77.502
70,1.31271,277036,0,-168.337,30.9825,171.164,0.110068,1.01103,-48.4633,10.4026,49.5775,0.011778,0.118344,0.643,0.653906,110431,0.166923,293.059,0.770096,-36.9307,7.9263,37.7795
71,1.2482,263795,0,-168.337,30.4289,171.065,0.121502,1.25232,-50.917,10.9465,52.0955,0.011767,0.11623,0.643,0.653526,105082,0.0688701,293.27,1.00369,-40.7702,8.76343,41.7135
72,1.2319,258585,0,-168.337,29.7683,170.949,0.0901825,1.73145,-36.6806,9.86177,38.0226,0.0117484,0.113707,0.643,0.653082,103195,0.0342832,291.821,1.40546,-29.7798,8.00537,30.869
73,1.33306,293202,0,-168.337,-10.7104,168.677,0.441682,63.5066,-190.7,4.65015,201.05,-0.00962206,-0.0409106,0.643,0.644372,111208,0.181159,290.596,47.6863,-143.051,3.49043,150.83
74,1.3893,310949,0,-168.337,-10.7821,168.682,0.479287,23.4784,-227.095,8.72042,228.472,-0.010311,-0.0411845,0.643,0.6444,116855,0.284677,293.021,16.9655,-163.395,6.22666,164.392
75,1.34721,298554,0,-168.337,-10.8079,168.684,0.504408,-30.5524,-228.824,8.23685,231.002,-0.0109117,-0.041283,0.643,0.644416,111488,0.186297,288.213,-22.8015,-169.916,6.14203,171.549
76,1.34888,297596,0,-168.337,-10.8021,168.683,0.493013,-53.3737,-219.631,9.16364,226.209,-0.0114105,-0.0412612,0.643,0.644424,111449,0.185591,287.841,-39.5608,-162.799,6.79061,167.674
77,1.20382,251401,0,-168.337,-8.80258,168.567,0.205382,79.1795,-27.5799,1.62037,83.861,-0.0043192,-0.0336234,0.643,0.643893,99386.3,-0.0355377,287.599,65.7847,-22.8556,1.35302,69.6551
