Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.19974,247182,0,-215.461,18.9198,216.29,0.0409006,10.873,-9.0054,8.80599,16.6392,0.00910038,0.0722684,0.823,0.826217,98826.3,-0.0458039,286.956,9.06282,-7.50667,7.33983,13.8693
1,1.206,249068,0,-215.461,20.8917,216.471,0.0444575,9.26038,-12.8926,8.91509,18.2058,0.00939931,0.0798004,0.823,0.826913,99571.9,-0.0321355,287.622,7.67865,-10.6911,7.39231,15.0966
2,1.1923,245106,0,-215.461,16.7957,216.115,0.0399431,12.7156,-5.36727,8.33552,16.1237,0.00872506,0.0641548,0.823,0.825543,97998.8,-0.0609727,286.328,10.6647,-4.5016,6.9911,13.5232
3,1.18543,243097,0,-215.461,14.5503,215.952,0.0426539,14.8473,-2.22666,8.18147,17.0979,0.00826341,0.0555782,0.823,0.824916,97189.3,-0.075812,285.61,12.5249,-1.8785,6.90171,14.4234
4,1.17814,241072,0,-215.461,12.2239,215.807,0.0478482,17.4197,1.6914,7.54281,19.0578,0.00770646,0.0466918,0.823,0.824359,96367,-0.090886,284.944,14.7858,1.43537,6.40225,16.1762
5,1.1715,239187,0,-215.461,9.86298,215.687,0.0560833,20.4501,5.01456,6.99526,22.1875,0.00704706,0.0376738,0.823,0.823892,95590.6,-0.105117,284.251,17.4564,4.27982,5.97113,18.9393
6,1.21394,251301,0,-215.461,22.6904,216.652,0.0493164,7.87162,-16.329,9.27347,20.3616,0.00963218,0.0866709,0.823,0.827607,100452,-0.0160077,288.264,6.48436,-13.4514,7.63915,16.7733
7,1.21804,252853,0,-215.461,24.3051,216.827,0.0570679,6.59323,-20.7252,9.36224,23.6782,0.00980935,0.0928386,0.823,0.828278,101049,-0.00506588,289.002,5.41301,-17.0157,7.68638,19.44
8,1.19069,251279,0,-215.461,-8.80258,215.641,0.261459,97.5234,-40.8341,5.41479,105.866,-0.00589004,-0.0336234,0.823,0.823708,98624.3,-0.049507,288.533,81.9286,-34.2638,4.55257,88.9215
9,1.17669,246193,0,-215.461,-8.14217,215.615,0.232744,89.4768,-25.1392,4.17764,93.0351,-0.00482431,-0.0311008,0.823,0.823602,97005.9,-0.0791742,287.187,76.0407,-21.3642,3.5503,79.0647
10,1.19943,255516,0,-215.461,-9.34351,215.663,0.29512,108.304,-53.0298,5.53977,120.717,-0.00690209,-0.0356896,0.823,0.823802,99772.1,-0.0284667,289.77,90.3098,-44.1485,4.61351,100.629
11,1.24247,269560,0,-215.461,-9.77985,215.683,0.333474,115.454,-82.7744,5.97402,142.186,-0.00786055,-0.0373563,0.823,0.823885,104568,0.0594518,293.182,92.9284,-66.6206,4.80083,114.442
