Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.23143,261787,0,-246.877,27.1797,248.368,0.203923,67.8671,-50.5828,16.0179,86.146,0.00362936,0.103819,0.943,0.948705,103510,0.0400445,292.82,55.1106,-41.0732,13.0083,69.9529
1,1.21551,257582,0,-246.877,25.9727,248.239,0.197421,67.4654,-44.0091,16.4176,82.2065,0.00240611,0.0992083,0.943,0.948207,101920,0.0109128,292.102,55.504,-36.207,13.5064,67.6319
2,1.2281,263246,0,-246.877,28.2215,248.485,0.214858,65.9984,-60.2215,16.3214,90.823,0.00470115,0.107798,0.943,0.949153,103954,0.0482002,294.875,53.7399,-49.0335,13.2907,73.9521
3,1.27081,271294,0,-246.877,29.1123,248.587,0.212399,70.1348,-58.7866,14.8046,92.7035,0.00562969,0.111201,0.943,0.949551,107163,0.107016,293.76,55.1894,-46.2539,11.6489,72.9451
4,1.25405,271033,0,-246.877,29.8678,248.677,0.233881,64.8564,-76.4503,14.1504,101.248,0.00642625,0.114087,0.943,0.949898,106777,0.0999335,296.611,51.7183,-60.9456,11.2886,80.7253
5,1.2517,274928,0,-246.877,30.5042,248.754,0.25864,60.3671,-94.1322,11.7686,112.444,0.00710389,0.116517,0.943,0.950198,107948,0.121413,300.432,48.228,-75.2045,9.40341,89.8336
6,1.36747,296306,0,-246.877,31.0371,248.82,0.242533,70.4036,-88.8703,15.5749,114.443,0.0076762,0.118553,0.943,0.950454,116592,0.279861,297.006,51.5004,-64.9093,11.3711,83.635
7,1.2458,282533,0,-246.877,31.4812,248.876,0.341178,47.7575,-140.069,18.192,149.101,0.00815662,0.120249,0.943,0.950671,109436,0.148691,306.004,38.3489,-112.35,14.6205,119.612
8,1.37614,310576,0,-246.877,31.8499,248.923,0.34528,52.7104,-155.82,23.1298,166.113,0.00855782,0.121658,0.943,0.950854,120211,0.346194,304.303,38.3085,-113.196,16.8269,120.681
9,1.56175,356903,0,-246.877,32.1548,248.962,0.332154,61.8905,-170.825,19.5327,182.737,0.00889146,0.122822,0.943,0.951007,138478,0.681055,308.884,39.6321,-109.356,12.5203,116.988
10,1.11824,226337,0,-246.877,-3.98847,246.909,0.175614,65.0526,9.94301,1.58577,65.8272,-0.00119173,-0.0152348,0.943,0.943124,89759.8,-0.212003,279.627,58.1742,8.89192,1.41802,58.8669
11,1.11944,226094,0,-246.877,-2.50445,246.89,0.155669,57.0667,12.274,1.82952,58.4004,1.49117e-05,-0.00956629,0.943,0.943049,89828.3,-0.210747,279.54,50.9779,10.965,1.63419,52.1694
12,1.12845,230044,0,-246.877,-5.2836,246.933,0.192542,72.9833,1.27111,1.58065,73.0115,-0.00240154,-0.0201819,0.943,0.943219,91072.1,-0.187947,281.148,64.6753,1.131,1.39907,64.7003
