"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          62,      -3.907711116,      -1.029606909,      -1.059509058,       -1.06308041,       1.570879201
          0,           0,          63,      -3.922276395,      -1.029674385,      -1.059448997,      -1.063668284,       1.555991135
          0,           0,          64,      -3.938290375,      -1.030254989,      -1.059806635,      -1.064551708,        1.53965558
          0,           0,          65,      -3.954878134,      -1.031338757,      -1.060524139,      -1.065680723,       1.522656886
          0,           0,          66,      -3.971062702,      -1.032903152,      -1.061532375,      -1.066995418,        1.50589922
          0,           0,          67,      -3.985970755,      -1.034914741,      -1.062765439,      -1.068441454,        1.49022107
          0,           0,          68,      -3.999027649,      -1.037339357,      -1.064172766,      -1.069981735,       1.476209449
          0,           0,          69,      -4.010087212,      -1.040151702,      -1.065727299,      -1.071602973,       1.464062368
          0,           0,          70,       -4.01935086,      -1.043332823,      -1.067419125,       -1.07330902,       1.453645484
          0,           0,          71,      -4.027137824,      -1.046868682,      -1.069238373,      -1.075104146,       1.444698596
          0,           0,          72,      -4.033744661,      -1.050745768,      -1.071172757,      -1.076984791,        1.43697553
          0,           0,          73,      -4.039386865,      -1.054951617,      -1.073204341,      -1.078945805,       1.430308362
          0,           0,          74,      -4.044221935,      -1.059476053,      -1.075315208,      -1.080978206,       1.424588019
          0,           0,          75,      -4.048374861,       -1.06431344,      -1.077490279,      -1.083077487,       1.419733044
          0,           0,          76,      -4.051967041,      -1.069458992,      -1.079718492,      -1.085242104,       1.415652149
          0,           0,          77,      -4.055134607,      -1.074914233,      -1.081992564,       -1.08747446,       1.412217748
          0,           0,          78,      -4.058025459,      -1.080680472,       -1.08430842,      -1.089778351,       1.409267311
          0,           0,          79,      -4.060797049,      -1.086761757,      -1.086664098,      -1.092157997,       1.406608503
          0,           0,          80,      -4.063608017,      -1.093162989,      -1.089061267,      -1.094615967,       1.404036102
          0,           0,          81,      -4.066620627,      -1.099894555,      -1.091499018,      -1.097152129,       1.401338667
          0,           0,          82,      -4.069992904,      -1.106966684,      -1.093979779,      -1.099765217,       1.398313487
          0,           0,          83,      -4.073871534,      -1.114392663,      -1.096503671,      -1.102456289,       1.394776663
          0,           0,          84,      -4.078384464,      -1.122188747,      -1.099073776,       -1.10522688,       1.390572327
          0,           0,          85,      -4.083631985,      -1.130370469,      -1.101692194,      -1.108076231,       1.385580908
          0,           0,          86,      -4.089673158,      -1.138954672,      -1.104361308,      -1.111003566,       1.379730829
          0,           0,          87,       -4.09651216,      -1.147952534,      -1.107084237,      -1.114006861,       1.373010854
          0,           0,          88,      -4.104107379,      -1.157373658,      -1.109865069,      -1.117086791,       1.365458508
          0,           0,          89,      -4.112363533,      -1.167227164,      -1.112707403,      -1.120245927,       1.357167107
          0,           0,          90,       -4.12115249,      -1.177513876,       -1.11561801,      -1.123487957,       1.348265606
          0,           0,          91,        -4.1303139,      -1.188228512,      -1.118606941,      -1.126820305,       1.338916304
          0,           0,          92,      -4.139672517,      -1.199358651,       -1.12168859,      -1.130255698,       1.329299267
          0,           0,          93,      -4.149052494,      -1.210883445,      -1.124883129,      -1.133812107,       1.319597874
          0,           0,          94,      -4.158294015,      -1.222770779,      -1.128220174,      -1.137514761,       1.309983908
          0,           0,          95,      -4.167269797,      -1.234978552,      -1.131737032,      -1.141397655,       1.300600469
          0,           0,          96,      -4.175892524,      -1.247453176,      -1.135479116,       -1.14550204,       1.291553347
          0,           0,          97,      -4.184113055,      -1.260130072,      -1.139500784,       -1.14987687,       1.282910934
          0,           0,          98,      -4.191917552,      -1.272933156,      -1.143863118,       -1.15457958,       1.274706695
          0,           0,          99,      -4.199318376,      -1.285780149,      -1.148634519,      -1.159670291,       1.266946235
          0,           0,         100,      -4.206350273,      -1.298583459,      -1.153886189,       -1.16521433,       1.259610051
          0,           0,         101,      -4.213060989,      -1.311255061,      -1.159691303,       -1.17127751,        1.25266201
          0,           0,         102,       -4.21950633,      -1.323710124,      -1.166121441,       -1.17792426,       1.246053979
          0,           0,         103,      -4.225741966,      -1.335874102,      -1.173242558,      -1.185214819,       1.239733509
          0,           0,         104,      -4.231827274,      -1.347681246,      -1.181112093,      -1.193202733,       1.233640662
          0,           0,         105,      -4.237817237,       -1.35908557,      -1.189774942,       -1.20192912,        1.22771578
          0,           0,         106,      -4.243766502,      -1.370054948,      -1.199260328,      -1.211422739,       1.221896969
          0,           0,         107,       -4.24971668,      -1.380564326,      -1.209574894,      -1.221695993,       1.216132581
          0,           0,         108,      -4.255691082,      -1.390588392,      -1.220695948,      -1.232736048,       1.210387211
          0,           0,         109,      -4.261690772,      -1.400089847,      -1.232566935,      -1.244502831,        1.20464574
          0,           0,         110,      -4.267690915,      -1.409008442,      -1.245091433,      -1.256924445,       1.198918087
          0,           0,         111,      -4.273632592,      -1.417240092,      -1.258129323,      -1.269891722,       1.193248907
          0,           0,         112,      -4.279447816,      -1.424628381,      -1.271488596,      -1.283252542,         1.1876935
          0,           0,         113,      -4.285074181,      -1.430972017,      -1.284921116,      -1.296808747,        1.18230684
          0,           0,         114,        -4.2904903,       -1.43603475,      -1.298123939,      -1.310309059,        1.17710903
          0,           0,         115,      -4.295767428,      -1.439607201,      -1.310765182,       -1.32344677,       1.172032627
          0,           0,         116,      -4.301022594,      -1.441561945,      -1.322527116,      -1.335872254,        1.16696314
          0,           0,         117,      -4.306445055,      -1.441908127,      -1.333180752,       -1.34723056,       1.161706874
          0,           0,         118,      -4.312203105,      -1.440795732,      -1.342644441,      -1.357221925,       1.156082822
          0,           0,         119,      -4.318382156,      -1.438490344,      -1.350995963,      -1.365673653,       1.150000575
