Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.64994,393061,0,-288.765,32.1446,290.548,0.309863,0.104899,-180.875,35.1519,184.259,0.00777233,0.122784,1.103,1.10984,153108,0.949226,323.265,0.063593,-109.629,21.3032,111.679
1,1.65248,333208,0,-288.765,32.4064,290.577,0.967145,-3.05268,-476.72,35.713,478.065,0.00777156,0.123784,1.103,1.10995,105621,0.0787521,222.661,-1.85002,-288.491,21.6057,289.305
2,1.43026,340245,0,-288.765,-10.5819,288.959,0.680666,142.498,-301.129,27.6306,334.287,-0.0128797,-0.0404199,1.103,1.10382,120471,0.350967,293.401,99.628,-210.536,19.3082,233.718
3,1.48953,352202,0,-288.765,-10.3891,288.952,0.607671,148.423,-274.331,31.9392,313.539,-0.0120695,-0.0396835,1.103,1.10378,127680,0.483114,298.619,99.649,-184.171,21.4447,210.497
4,1.60945,413536,0,-288.765,-10.7104,288.963,0.753383,92.0881,-415.81,33.7265,427.219,-0.0136364,-0.0409106,1.103,1.10384,142731,0.759021,308.942,57.2212,-258.355,20.9574,265.445
5,1.62943,419786,0,-288.765,-10.7821,288.966,0.818079,22.5904,-463.925,10.8646,464.602,-0.0143254,-0.0411845,1.103,1.10386,141415,0.734888,302.338,13.8643,-284.717,6.66904,285.133
6,1.63794,412892,0,-288.765,-10.8079,288.967,0.842318,-1.00281,-473.026,18.0775,473.373,-0.0149261,-0.041283,1.103,1.10387,137784,0.668328,293.044,-0.61613,-288.794,11.0399,289.006
7,1.66802,426107,0,-288.765,-10.8021,288.967,0.826634,-74.3696,-471.256,24.9952,477.743,-0.0154248,-0.0412612,1.103,1.10388,143069,0.765213,298.805,-44.5764,-282.532,15.0074,286.42
8,1.56844,394091,0,-288.765,-10.7716,288.966,0.784799,-136.684,-403.334,21.2474,426.394,-0.0159103,-0.0411447,1.103,1.10388,134449,0.607192,298.605,-87.1617,-257.141,13.5255,271.848
9,1.07962,214805,0,-288.765,-2.50445,288.776,0.186966,63.8015,11.568,16.5419,66.9185,-0.00138139,-0.00956629,1.103,1.10304,85088.4,-0.297634,274.556,59.0964,10.7149,15.3233,61.9839
