Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.39263,307069,0,-270.439,31.0371,272.214,0.290724,72.8155,-119.427,13.19,140.495,0.00689078,0.118553,1.033,1.0398,119980,0.341973,300.124,52.2918,-85.7243,9.47905,100.861
1,1.25507,278755,0,-270.439,30.5042,272.154,0.28911,65.0524,-107.772,12.2467,126.478,0.00631847,0.116517,1.033,1.03957,108952,0.139801,302.409,51.8322,-85.8765,9.76089,100.78
2,1.30116,300358,0,-270.439,31.4812,272.265,0.39037,51.6963,-170.741,12.1873,178.812,0.00737121,0.120249,1.033,1.04,115226,0.254825,308.5,39.7226,-131.236,9.36298,137.435
3,1.39874,322041,0,-270.439,31.8499,272.308,0.389928,56.0988,-182.778,13.9796,191.704,0.0077724,0.121658,1.033,1.04017,123555,0.407489,307.717,40.1067,-130.67,9.99958,137.052
4,1.27186,276102,0,-270.439,29.1123,272.001,0.249737,72.0464,-82.2005,10.0903,109.77,0.00484427,0.111201,1.033,1.03898,108545,0.132345,297.303,56.6457,-64.6255,7.9372,86.3029
5,1.23644,268602,0,-270.439,28.2215,271.907,0.249152,68.989,-80.6254,9.08328,106.501,0.00391574,0.107798,1.033,1.03862,105605,0.0784535,297.538,55.7947,-65.2036,7.35411,86.1315
6,1.28526,280389,0,-270.439,29.8678,272.083,0.263502,70.876,-92.8813,9.60794,117.229,0.00564084,0.114087,1.033,1.0393,110017,0.159327,298.192,55.1455,-72.2676,7.4745,91.2113
7,1.21396,263172,0,-270.439,-8.80258,270.582,0.326299,118.575,-66.118,6.68343,135.928,-0.00772268,-0.0336234,1.033,1.03358,102221,0.016416,293.346,97.6796,-54.4376,5.4857,111.959
8,1.15308,242796,0,-270.439,-8.14217,270.561,0.292138,108.12,-35.9546,4.95304,114.049,-0.00665695,-0.0311008,1.033,1.03349,94851.2,-0.11867,286.557,93.7905,-31.08,4.2653,98.898
9,1.2271,270290,0,-270.439,-9.34351,270.6,0.368969,128.54,-88.1097,0.415845,155.84,-0.00873474,-0.0356896,1.033,1.03365,104148,0.0517443,295.611,104.806,-71.7358,0.352856,127.006
10,1.30522,296818,0,-270.439,-9.77985,270.616,0.420199,138.008,-132.039,3.10387,191.024,-0.00969319,-0.0373563,1.033,1.03372,113132,0.21644,301.952,105.737,-101.145,2.36594,146.343
11,1.20659,256334,0,-270.439,24.5897,271.554,0.21391,71.0687,-51.7997,9.39221,88.4431,0.000242568,0.0939256,1.033,1.03726,101236,-0.00162877,292.286,58.8999,-42.9282,7.78582,73.2984
12,1.19177,251889,0,-270.439,23.0247,271.417,0.205436,70.5202,-44.2417,8.88055,83.7215,-0.00128725,0.0879479,1.033,1.03674,99578.8,-0.0320092,291.076,59.1717,-37.1191,7.45429,70.2473
13,1.21377,259567,0,-270.439,25.9727,271.683,0.222588,70.9562,-59.1445,9.29639,92.8401,0.00162069,0.0992083,1.033,1.03775,102406,0.0198202,293.916,58.4583,-48.7279,7.66125,76.4884
14,1.09704,222182,0,-270.439,-3.98847,270.468,0.191201,69.5501,9.14837,3.46548,70.2348,-0.00197715,-0.0152348,1.033,1.03311,87972.1,-0.244771,279.355,63.3974,8.34237,3.15411,64.0216
15,1.09021,219710,0,-270.439,-2.50445,270.45,0.171851,61.0086,13.7837,3.35898,62.6364,-0.000770506,-0.00956629,1.033,1.03304,87163.1,-0.259602,278.518,55.9591,12.6434,3.07598,57.452
16,1.10904,226960,0,-270.439,-5.2836,270.49,0.209197,77.9826,-0.883952,2.90091,78.0416,-0.00318696,-0.0201819,1.033,1.0332,89685,-0.213372,281.713,70.3133,-0.790012,2.6086,70.3661
17,1.12349,231624,0,-270.439,-6.39854,270.514,0.233269,87.78,-9.69305,2.75347,88.3565,-0.00438,-0.0244406,1.033,1.0333,91259,-0.18452,282.97,78.1297,-8.62672,2.44662,78.6426
18,1.15774,243265,0,-270.439,-7.34626,270.539,0.257366,96.381,-30.912,2.52909,101.248,-0.00554046,-0.0280606,1.033,1.0334,95533.9,-0.106156,287.462,83.2485,-26.6912,2.18092,87.4499
19,1.49508,359060,0,-270.439,-10.7035,270.65,0.666118,-152.497,-308.882,0.301627,344.475,-0.0158497,-0.0408845,1.033,1.03393,127734,0.48411,297.747,-102.157,-206.401,0.318333,230.299
20,1.51834,372171,0,-270.439,-10.7716,270.653,0.73852,-108.617,-371.122,1.78005,386.694,-0.0152994,-0.0411447,1.033,1.03393,129163,0.510305,296.268,-71.4963,-244.473,1.17056,254.716
21,1.34604,310438,0,-270.439,-10.5849,270.646,0.570633,-163.566,-206.797,1.30805,263.667,-0.0164365,-0.0404312,1.033,1.03392,113818,0.229001,294.315,-121.748,-153.483,0.948081,195.909
22,1.29251,288395,0,-270.439,-10.4068,270.639,0.467415,-151.558,-140.718,-0.278903,206.813,-0.0170286,-0.039751,1.033,1.0339,108697,0.135136,293.092,-117.497,-108.447,-0.190144,159.894
23,1.24167,266400,0,-270.439,27.1797,271.801,0.231251,72.0644,-66.8845,9.10809,98.7409,0.00284394,0.103819,1.033,1.03821,104988,0.0671432,294.552,58.0375,-53.8656,7.33786,79.5217
24,1.24799,264450,0,-270.439,28.0613,271.891,0.123216,4.40007,-51.5573,10.7869,52.8571,0.00826978,0.107186,1.033,1.03858,105332,0.0734555,294.023,3.5257,-41.3122,8.64299,42.3536
25,1.27353,270291,0,-270.439,28.9846,271.988,0.127557,3.5564,-54.3901,12.2229,55.8599,0.00831513,0.110713,1.033,1.03895,107626,0.115497,294.4,2.79251,-42.7096,9.59674,43.8635
26,1.24236,261540,0,-270.439,26.9825,271.781,0.10538,5.5201,-43.0854,11.255,44.872,0.00820312,0.103065,1.033,1.03816,104292,0.0543805,292.441,4.44278,-34.6869,9.05804,36.1243
