"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632992137441646e-05, 1.306918996616729e+00, 7.390454212086119e-01, 1.073951152496440e-01, 3.746554358205635e+00
1, 9.990000128750000e-01, -1.453141166369706e-04, 1.168418028078291e+00, 7.269783674183939e-01, 1.057370746311313e-01, 3.360993544546589e+00
2, 9.977599978450000e-01, -3.257730902026002e-04, 1.158291691017423e+00, 7.790058008939819e-01, 1.137813420922684e-01, 3.342894868486933e+00
3, 9.960200190539999e-01, -5.805710762012426e-04, 1.142956629133326e+00, 8.015200075672372e-01, 1.183282665396204e-01, 3.305254250720958e+00
4, 9.937800168990000e-01, -9.133370209275756e-04, 1.131909169650329e+00, 8.125300929799929e-01, 1.223555881318767e-01, 3.277265704696364e+00
5, 9.910500049590000e-01, -1.328985200024242e-03, 1.124349888099117e+00, 8.230850009490145e-01, 1.276383277622462e-01, 3.258882273877911e+00
6, 9.878399968150000e-01, -1.834474241897159e-03, 1.116469889886678e+00, 8.312744774742308e-01, 1.336388609873015e-01, 3.239216518654258e+00
7, 9.841300249100000e-01, -2.441467631354341e-03, 1.108059297344048e+00, 8.398613077654147e-01, 1.400231559105198e-01, 3.218261916294294e+00
8, 9.799500107769999e-01, -3.149906605450300e-03, 1.098450494554097e+00, 8.492674151063050e-01, 1.458003255073548e-01, 3.194263181857291e+00
9, 9.752799868580000e-01, -3.960822319621242e-03, 1.087712931923979e+00, 8.596039778496488e-01, 1.498322753155144e-01, 3.167412348852715e+00
10, 9.701499938960000e-01, -4.858087192380411e-03, 1.076397911280433e+00, 8.703906335429532e-01, 1.512857847591757e-01, 3.139089171779511e+00
11, 9.645400047300000e-01, -5.827577960040058e-03, 1.065440134293697e+00, 8.807517110620846e-01, 1.499337482459652e-01, 3.111631043653960e+00
12, 9.584699869160000e-01, -6.846419663445010e-03, 1.055863236700167e+00, 8.898261768883486e-01, 1.462999503138469e-01, 3.087622565689507e+00
13, 9.519400000570000e-01, -7.899196109171471e-03, 1.048259480349664e+00, 8.970364013035212e-01, 1.414589538675113e-01, 3.068543543469049e+00
14, 9.449599981310000e-01, -8.976889371821183e-03, 1.042642805560829e+00, 9.023399477466524e-01, 1.366067417804959e-01, 3.054432286775137e+00
15, 9.375399947170000e-01, -1.007923680894491e-02, 1.038514220070475e+00, 9.060978100740422e-01, 1.326382565251978e-01, 3.044030944108410e+00
16, 9.296900033950000e-01, -1.121217286595796e-02, 1.035152990553430e+00, 9.089135613989399e-01, 1.299383346472872e-01, 3.035534108504933e+00
17, 9.214000105860000e-01, -1.238660986209630e-02, 1.031905088340616e+00, 9.113620160272793e-01, 1.284281956648809e-01, 3.027303999334177e+00
18, 9.126999974250000e-01, -1.360638699019174e-02, 1.028360302233789e+00, 9.138436808418765e-01, 1.277462799002475e-01, 3.018316683643605e+00
