"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633267228290264e-05, 1.317048514466281e+00, 6.969333013758602e-01, 1.013965647733853e-01, 3.767901576065249e+00
1, 9.990000128750000e-01, -1.454877519734475e-04, 1.185342860380163e+00, 6.977982202823495e-01, 1.021592945323947e-01, 3.402630998541692e+00
2, 9.977599978450000e-01, -3.276763035648608e-04, 1.178172821641939e+00, 7.476716856566679e-01, 1.117368611375249e-01, 3.391765750289307e+00
3, 9.960200190539999e-01, -5.908371776044496e-04, 1.166679702062166e+00, 7.651650389590361e-01, 1.197152295609887e-01, 3.363504216035055e+00
4, 9.937800168990000e-01, -9.503711580592251e-04, 1.159986132982963e+00, 7.711992893075442e-01, 1.303846517814461e-01, 3.346522396807865e+00
5, 9.910500049590000e-01, -1.431104493861052e-03, 1.155444181677895e+00, 7.770114663694755e-01, 1.459144194629890e-01, 3.335653230859949e+00
6, 9.878399968150000e-01, -2.065843219501398e-03, 1.148258907080274e+00, 7.827933170514954e-01, 1.653848091871520e-01, 3.317750285419994e+00
7, 9.841300249100000e-01, -2.893124614693864e-03, 1.137024693289969e+00, 7.927082640448495e-01, 1.869052480128070e-01, 3.289771626949088e+00
8, 9.799500107769999e-01, -3.926149039608921e-03, 1.120285066331301e+00, 8.083131118340354e-01, 2.071532034201558e-01, 3.248014195058937e+00
9, 9.752799868580000e-01, -5.161198342586706e-03, 1.098046189812044e+00, 8.296434286381424e-01, 2.219460987743041e-01, 3.192469720360167e+00
10, 9.701499938960000e-01, -6.547848241434273e-03, 1.071492871885425e+00, 8.549449018081340e-01, 2.277800199406257e-01, 3.125999333434528e+00
11, 9.645400047300000e-01, -8.022614719366069e-03, 1.043291831500025e+00, 8.807365464177865e-01, 2.229478076394623e-01, 3.055124593342906e+00
12, 9.584699869160000e-01, -9.504500784122528e-03, 1.018377522490551e+00, 9.030958245326013e-01, 2.086681294155698e-01, 2.992361285981833e+00
13, 9.519400000570000e-01, -1.093395517108733e-02, 1.001213896130198e+00, 9.193025666334161e-01, 1.889479142797754e-01, 2.949120932571616e+00
14, 9.449599981310000e-01, -1.228126253321360e-02, 9.930747170844405e-01, 9.287190380780015e-01, 1.688321507238659e-01, 2.928666345222622e+00
15, 9.375399947170000e-01, -1.355173705377461e-02, 9.919169143421502e-01, 9.324442435504570e-01, 1.523102334693715e-01, 2.925785301916986e+00
16, 9.296900033950000e-01, -1.477554192782963e-02, 9.942429172398328e-01, 9.326937521305942e-01, 1.411630322978571e-01, 2.931640726692840e+00
17, 9.214000105860000e-01, -1.599452076060942e-02, 9.969086891151236e-01, 9.317216525325196e-01, 1.351082849692000e-01, 2.938316937879771e+00
18, 9.126999974250000e-01, -1.723925044204500e-02, 9.979696961596795e-01, 9.311091748709004e-01, 1.326423610562171e-01, 2.940916122483062e+00
19, 9.035800099370001e-01, -1.853309198716229e-02, 9.968244077691391e-01, 9.315492088382838e-01, 1.320253952043728e-01, 2.937925930558174e+00
20, 8.940600156780000e-01, -1.988103354206930e-02, 9.937370989556999e-01, 9.331001254838452e-01, 1.318671482029869e-01, 2.930023522887365e+00
21, 8.841500282290000e-01, -2.127896695544783e-02, 9.893276632021317e-01, 9.354486536002690e-01, 1.313465588305838e-01, 2.918771719468396e+00
22, 8.738499879840000e-01, -2.271872814055017e-02, 9.842378312291539e-01, 9.381899512446429e-01, 1.301561370100952e-01, 2.905784928124806e+00
23, 8.631799817090000e-01, -2.418816486824180e-02, 9.789837689754182e-01, 9.410060081036398e-01, 1.283282312481205e-01, 2.892370490964950e+00
24, 8.521599769590000e-01, -2.567666966974382e-02, 9.738682328987122e-01, 9.436909877157800e-01, 1.260435801872582e-01, 2.879293001747910e+00
25, 8.407700061800000e-01, -2.718134121977302e-02, 9.690075486512167e-01, 9.461648468150877e-01, 1.235126597513631e-01, 2.866848893771380e+00
26, 8.290500044819999e-01, -2.869345282018877e-02, 9.644021422967953e-01, 9.484272796958295e-01, 1.208894435158881e-01, 2.855042532394595e+00
27, 8.170099854470000e-01, -3.020986617453763e-02, 9.599911340028718e-01, 9.505140043177993e-01, 1.182664094273456e-01, 2.843721915122041e+00
28, 8.046399950980000e-01, -3.173063496671109e-02, 9.557029689269718e-01, 9.524512705892363e-01, 1.156785704108510e-01, 2.832702365424178e+00
29, 7.919700145720000e-01, -3.325105906638747e-02, 9.514929187471095e-01, 9.542749395211745e-01, 1.131222865173362e-01, 2.821873045767483e+00
30, 7.790099978450000e-01, -3.476888293133563e-02, 9.473312400462186e-01, 9.560222348497536e-01, 1.105837223793844e-01, 2.811163816077414e+00
31, 7.657799720760000e-01, -3.628047855362050e-02, 9.431702210659875e-01, 9.576890523630669e-01, 1.080366891797570e-01, 2.800444660882153e+00
32, 7.522799968720000e-01, -3.778428840116846e-02, 9.389791296899743e-01, 9.592969275189740e-01, 1.054636355742548e-01, 2.789639013621373e+00
33, 7.385200262070000e-01, -3.927739526880018e-02, 9.347597740223637e-01, 9.608388409435485e-01, 1.028493807390286e-01, 2.778749207973216e+00
34, 7.245299816130000e-01, -4.075468443770257e-02, 9.305581729967890e-01, 9.623242228006426e-01, 1.001849400924666e-01, 2.767900457947134e+00
35, 7.103199958800001e-01, -4.221322321740364e-02, 9.263887471474797e-01, 9.637180864147898e-01, 9.746181463701019e-02, 2.757120388524087e+00
36, 6.958900094030001e-01, -4.365107468095755e-02, 9.222934347180435e-01, 9.650576379227167e-01, 9.468276084534484e-02, 2.746531476144601e+00
37, 6.812700033190000e-01, -4.506334676456579e-02, 9.182636324122168e-01, 9.663053650374340e-01, 9.184153824029323e-02, 2.736098981650283e+00
38, 6.664699912070000e-01, -4.644727122910917e-02, 9.142977416479452e-01, 9.674839272400608e-01, 8.894173881460272e-02, 2.725825088822359e+00
39, 6.514999866490000e-01, -4.780013336392862e-02, 9.103488078707573e-01, 9.686012716128578e-01, 8.598465954643647e-02, 2.715587097671948e+00
40, 6.363800168040000e-01, -4.911841804733991e-02, 9.064271846955355e-01, 9.696256229721696e-01, 8.296805018157533e-02, 2.705402619259043e+00
41, 6.211299896240000e-01, -5.039880585925809e-02, 9.028051068091546e-01, 9.705696157823200e-01, 7.989348407892603e-02, 2.695997710371404e+00
42, 6.057599782940000e-01, -5.163893952196176e-02, 8.998710620917600e-01, 9.713869249181080e-01, 7.675726673465198e-02, 2.688386929804545e+00
43, 5.902799963950000e-01, -5.283651744286847e-02, 8.976187190014470e-01, 9.720858584750979e-01, 7.355990074558814e-02, 2.682553199264154e+00
44, 5.747100114820000e-01, -5.398855962694660e-02, 8.952133692137844e-01, 9.725912027090070e-01, 7.029396635057282e-02, 2.676258314526400e+00
45, 5.590599775310000e-01, -5.509294228958472e-02, 8.923923600308377e-01, 9.728982750401138e-01, 6.696031293331745e-02, 2.668805077525766e+00
46, 5.433599948880000e-01, -5.614624350351877e-02, 8.919040933511566e-01, 9.728665690679895e-01, 6.354577144104824e-02, 2.667430243318271e+00
47, 5.276100039480000e-01, -5.714719402016574e-02, 8.994270168103879e-01, 9.725041409111126e-01, 6.005279955823870e-02, 2.687191088240033e+00
48, 5.118399858470000e-01, -5.809262574024595e-02, 9.152791719452722e-01, 9.714101308428457e-01, 5.645237291066265e-02, 2.728885467504102e+00
49, 4.960500001910000e-01, -5.898126702865521e-02, 9.194013957949168e-01, 9.703403690075509e-01, 5.278994848250117e-02, 2.739462703516848e+00
50, 4.802699983120000e-01, -5.981014473543151e-02, 8.758519455172048e-01, 9.702587939293993e-01, 4.910357528656874e-02, 2.623861264336769e+00
51, 4.645099937920000e-01, -6.057746702028844e-02, 7.845702321017438e-01, 9.655766741261699e-01, 4.511229167116351e-02, 2.382636817830979e+00
52, 4.487800002100000e-01, -6.128137536596371e-02, 7.400155386434952e-01, 9.616547411399929e-01, 4.109053942267819e-02, 2.265709051309784e+00
53, 4.331099987030000e-01, -6.191915721415878e-02, 7.369585547334062e-01, 9.612541325859391e-01, 3.712249146743183e-02, 2.257620704469535e+00
54, 4.174999892710000e-01, -6.248937218992576e-02, 7.455303852622073e-01, 9.631766492799966e-01, 3.311273577837822e-02, 2.280385919605997e+00
55, 4.019699990750000e-01, -6.298970910159454e-02, 7.499080671492002e-01, 9.643984245207550e-01, 2.892432022168849e-02, 2.292091248472623e+00
56, 3.865399956700000e-01, -6.341792697206548e-02, 7.505815483065468e-01, 9.649033085610123e-01, 2.455105962953287e-02, 2.293972241604878e+00
57, 3.712300062180000e-01, -6.377185938644445e-02, 7.511275515862150e-01, 9.653860671395726e-01, 1.999837817726849e-02, 2.295521743923149e+00
58, 3.560400009160000e-01, -6.404974718395487e-02, 7.524590958793138e-01, 9.658754203306776e-01, 1.525003686033254e-02, 2.299110575536150e+00
59, 3.409900069240000e-01, -6.424931340813601e-02, 7.543481252697622e-01, 9.665074107024083e-01, 1.028785236809213e-02, 2.304201307553094e+00
60, 3.261100053790000e-01, -6.436833281718718e-02, 7.564972054934026e-01, 9.671730576016130e-01, 5.086251063785242e-03, 2.309987104158723e+00
61, 3.113999962810000e-01, -6.440492384613103e-02, 7.588989393556356e-01, 9.678919072382254e-01, -3.761012874338925e-04, 2.316457988831787e+00
62, 2.968699932100000e-01, -6.435697079820644e-02, 7.615731292231069e-01, 9.686274713987956e-01, -6.123515508232441e-03, 2.323654229645252e+00
63, 2.825500071050000e-01, -6.422253860376695e-02, 7.645414108228162e-01, 9.693826881779701e-01, -1.218378608723951e-02, 2.331635731206585e+00
64, 2.684499919410000e-01, -6.399977108721157e-02, 7.678192841305188e-01, 9.701434709609582e-01, -1.858460049396107e-02, 2.340440864873143e+00
65, 2.545700073240000e-01, -6.368653837976307e-02, 7.714405378212269e-01, 9.709097703025702e-01, -2.535293484008937e-02, 2.350161084084492e+00
66, 2.409400045870000e-01, -6.328141502759513e-02, 7.754033104899660e-01, 9.716597769675072e-01, -3.252469523396510e-02, 2.360788333170502e+00
67, 2.275699973110000e-01, -6.278275794364423e-02, 7.796174100119291e-01, 9.723423878091348e-01, -4.012957493543745e-02, 2.372075312279836e+00
68, 2.144699990750000e-01, -6.218897055221990e-02, 7.839753990164403e-01, 9.729108137646149e-01, -4.820095871247460e-02, 2.383731650829769e+00
69, 2.016600072380000e-01, -6.149909828637637e-02, 7.884878957424235e-01, 9.733485963285914e-01, -5.678287895228178e-02, 2.395785046769431e+00
70, 1.891400069000000e-01, -6.071127809449153e-02, 7.933824475021218e-01, 9.736904452820188e-01, -6.591711209475168e-02, 2.408846879705785e+00
71, 1.769299954180000e-01, -5.982492045178612e-02, 7.990345261670392e-01, 9.739690735847333e-01, -7.566255111883168e-02, 2.423916474315887e+00
72, 1.650400012730000e-01, -5.883907500594203e-02, 8.056545152200806e-01, 9.741360528755936e-01, -8.606768943600163e-02, 2.441539044794755e+00
73, 1.534900069240000e-01, -5.775393083577744e-02, 8.130772609163187e-01, 9.740646882194409e-01, -9.718683676812417e-02, 2.461256801003445e+00
74, 1.422899961470000e-01, -5.656920416328148e-02, 8.210012165494623e-01, 9.736596021297780e-01, -1.090825981749626e-01, 2.482267204588604e+00
75, 1.314399987460000e-01, -5.528358886351718e-02, 8.293096979651721e-01, 9.728038491206518e-01, -1.218219889353023e-01, 2.504243686366933e+00
76, 1.209499984980000e-01, -5.389684533182147e-02, 8.382189679487004e-01, 9.715137114718750e-01, -1.354907956356785e-01, 2.527780053198378e+00
77, 1.108499988910000e-01, -5.241203344484389e-02, 8.480003253317548e-01, 9.696801791717264e-01, -1.501950057576443e-01, 2.553580221890294e+00
78, 1.011300012470000e-01, -5.082690055500529e-02, 8.587239880993055e-01, 9.670142411603695e-01, -1.659870142076018e-01, 2.581767303935672e+00
79, 9.181000292300000e-02, -4.914383743827755e-02, 8.704406016850409e-01, 9.633601187705877e-01, -1.829857037023506e-01, 2.612468577973432e+00
80, 8.290000259900000e-02, -4.736419842928904e-02, 8.832458327264909e-01, 9.585666922156038e-01, -2.013160508994435e-01, 2.645940971752180e+00
81, 7.440000027400000e-02, -4.548742729184906e-02, 8.972146295964936e-01, 9.522848112082184e-01, -2.210654235330897e-01, 2.682334308966731e+00
82, 6.633000075800000e-02, -4.351760292360497e-02, 9.125207221150978e-01, 9.441870462082719e-01, -2.423754464000698e-01, 2.722087236320460e+00
83, 5.869000032500000e-02, -4.145462651802439e-02, 9.293047847872576e-01, 9.337787548728439e-01, -2.653206712056133e-01, 2.765517853978196e+00
84, 5.149000138000000e-02, -3.930101674072698e-02, 9.477428935873590e-01, 9.204356328088552e-01, -2.899661482548629e-01, 2.813028972846563e+00
85, 4.473999887700000e-02, -3.705993769477416e-02, 9.681475547831268e-01, 9.033454720349683e-01, -3.163106637708731e-01, 2.865369571313836e+00
86, 3.844000026600000e-02, -3.473149750100451e-02, 9.908034166587819e-01, 8.814712179289660e-01, -3.442017232666948e-01, 2.923195668655012e+00
87, 3.260000050100000e-02, -3.231944444158343e-02, 1.016004543103634e+00, 8.535687394240787e-01, -3.733204581344540e-01, 2.987191534953225e+00
88, 2.723000012300000e-02, -2.982864410937759e-02, 1.044018858346223e+00, 8.178814237991309e-01, -4.029768573277597e-01, 3.057905870608379e+00
89, 2.232000045500000e-02, -2.725440445984188e-02, 1.075203124757604e+00, 7.724095245402318e-01, -4.317397850052350e-01, 3.136128897912524e+00
90, 1.789999939500000e-02, -2.461362231015378e-02, 1.109702794702907e+00, 7.146333076897935e-01, -4.575237106615290e-01, 3.222075644544657e+00
91, 1.394999958600000e-02, -2.189574874841878e-02, 1.147619157592905e+00, 6.420970878077367e-01, -4.764315792677941e-01, 3.315885787249701e+00
92, 1.049000024800000e-02, -1.911545441153948e-02, 1.188232181150379e+00, 5.522978492373529e-01, -4.826635551086115e-01, 3.415518970448978e+00
93, 7.519999985000000e-03, -1.627645026472714e-02, 1.230498468240421e+00, 4.447765324840719e-01, -4.678626095919413e-01, 3.518409253683390e+00
94, 5.040000193000000e-03, -1.338257270177922e-02, 1.272078650999063e+00, 3.222567731194456e-01, -4.209699132359889e-01, 3.618850257822143e+00
95, 3.049999941000000e-03, -1.043720750041733e-02, 1.309925647686351e+00, 1.943214322824199e-01, -3.304569026880417e-01, 3.710042664676682e+00
96, 1.560000004000000e-03, -7.464594070686240e-03, 1.335752609858920e+00, 7.897849286924584e-02, -1.897929368962653e-01, 3.771367372016964e+00
97, 5.600000150000000e-04, -4.453497484458659e-03, 1.350461528861015e+00, -3.390472924899190e-04, 1.362516587351490e-03, 3.808327467255527e+00
98, 5.999999800000000e-05, -1.436600529755202e-03, 1.333732173819054e+00, -2.708323032110867e-02, 2.153840979916193e-01, 3.766197628438351e+00
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.301813880086939e+00, 0.000000000000000e+00, 3.625254310733894e-01, 3.685562111975296e+00
100, 5.999999800000000e-05, 1.339825736531876e-03, 1.286055404650377e+00, 6.987829291915747e-02, 4.912707598780922e-01, 3.654052385410374e+00
101, 5.600000150000000e-04, 3.937011358006047e-03, 1.228125126681054e+00, 1.967930353169921e-01, 6.558486713237921e-01, 3.517875268022985e+00
102, 1.560000004000000e-03, 6.338849250428730e-03, 1.114059550434689e+00, 3.975553982543760e-01, 7.378502485584112e-01, 3.231748132959351e+00
103, 3.049999941000000e-03, 8.558372487490603e-03, 1.009357678214118e+00, 5.844086054724802e-01, 7.197518594406548e-01, 2.968066052581962e+00
104, 5.040000193000000e-03, 1.062478307041681e-02, 9.155734210792168e-01, 7.213847190520757e-01, 6.418575555956003e-01, 2.727413518125338e+00
105, 7.519999985000000e-03, 1.253558911820073e-02, 8.361785892265385e-01, 8.062219025632209e-01, 5.438657960648071e-01, 2.519622229919790e+00
106, 1.049000024800000e-02, 1.430127537240235e-02, 7.734427503912302e-01, 8.522736886581238e-01, 4.499881670952938e-01, 2.352686427987114e+00
107, 1.394999958600000e-02, 1.593053580420374e-02, 7.259680585195893e-01, 8.748545373950758e-01, 3.695561880505124e-01, 2.224729386218940e+00
108, 1.789999939500000e-02, 1.743140835013900e-02, 6.916289603833836e-01, 8.851595937216722e-01, 3.040960851931402e-01, 2.131342419253203e+00
109, 2.232000045500000e-02, 1.880604493880440e-02, 6.677259197292487e-01, 8.898795538027693e-01, 2.516398522068912e-01, 2.065968017397788e+00
110, 2.723000012300000e-02, 2.006974293626487e-02, 6.516851357952678e-01, 8.924531836709060e-01, 2.098946788343349e-01, 2.022018356480427e+00
111, 3.260000050100000e-02, 2.122378219107889e-02, 6.412578227852025e-01, 8.940894393157049e-01, 1.762867591236058e-01, 1.993369103170647e+00
112, 3.844000026600000e-02, 2.228000793670722e-02, 6.351898986660818e-01, 8.957819302210416e-01, 1.491849153607097e-01, 1.976722282714409e+00
113, 4.473999887700000e-02, 2.324559639507362e-02, 6.321141346239142e-01, 8.976150939344486e-01, 1.271290889155664e-01, 1.968316737729668e+00
114, 5.149000138000000e-02, 2.412827760505473e-02, 6.310092141511114e-01, 8.995191474822557e-01, 1.090713176253565e-01, 1.965335139234542e+00
115, 5.869000032500000e-02, 2.493710573433314e-02, 6.315028297149226e-01, 9.016937710875735e-01, 9.427108505887075e-02, 1.966787133495408e+00
116, 6.633000075800000e-02, 2.567978310336781e-02, 6.334665261533656e-01, 9.041598264642435e-01, 8.212987428914710e-02, 1.972269711455001e+00
117, 7.440000027400000e-02, 2.636413255318606e-02, 6.368400792402956e-01, 9.070339168630395e-01, 7.219496253428995e-02, 1.981622300775841e+00
118, 8.290000259900000e-02, 2.699866505459780e-02, 6.416881193564324e-01, 9.105203301835582e-01, 6.412266721364918e-02, 1.995056471205433e+00
119, 9.181000292300000e-02, 2.759021808806425e-02, 6.478220039190519e-01, 9.144907235341748e-01, 5.759969810476911e-02, 2.012020688932698e+00
120, 1.011300012470000e-01, 2.814689148440468e-02, 6.546296042112953e-01, 9.187870955623377e-01, 5.238518226071679e-02, 2.030886531054661e+00
121, 1.108499988910000e-01, 2.867579456584066e-02, 6.618148559148367e-01, 9.228427451740294e-01, 4.825530877572010e-02, 2.050665040322174e+00
122, 1.209499984980000e-01, 2.918327616888369e-02, 6.701752341074891e-01, 9.270237765448810e-01, 4.506933470396120e-02, 2.073527212824935e+00
123, 1.314399987460000e-01, 2.967682346984373e-02, 6.769625134656222e-01, 9.316030186117595e-01, 4.270731285417818e-02, 2.092578795956913e+00
