"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633242182329692e-05, 1.321694341916950e+00, 6.900359980730714e-01, 1.003821744043215e-01, 3.779756920258502e+00
1, 9.990000128750000e-01, -1.454719496723848e-04, 1.190726789693260e+00, 6.956849840576295e-01, 1.017894939524182e-01, 3.417179728877979e+00
2, 9.977599978450000e-01, -3.275032266979705e-04, 1.182938065610577e+00, 7.469624101874887e-01, 1.114010989723294e-01, 3.404786937355103e+00
3, 9.960200190539999e-01, -5.899047378053576e-04, 1.170808626858781e+00, 7.653316521689275e-01, 1.191289709267101e-01, 3.374902214969084e+00
4, 9.937800168990000e-01, -9.470137788373464e-04, 1.163675392992230e+00, 7.723214829080375e-01, 1.292846112494511e-01, 3.356864239850021e+00
5, 9.910500049590000e-01, -1.421872194876439e-03, 1.158805489995458e+00, 7.788060999221383e-01, 1.439598658195932e-01, 3.345181728675316e+00
6, 9.878399968150000e-01, -2.045007867922968e-03, 1.151587053095646e+00, 7.850114495321981e-01, 1.623123801417983e-01, 3.327211410294463e+00
7, 9.841300249100000e-01, -2.852677354414248e-03, 1.140693350458983e+00, 7.949586850449877e-01, 1.825851938144726e-01, 3.300096179565325e+00
8, 9.799500107769999e-01, -3.857170760212368e-03, 1.124768746112539e+00, 8.101310819505171e-01, 2.016624055489535e-01, 3.260392272630058e+00
9, 9.752799868580000e-01, -5.055678822360771e-03, 1.103866396855717e+00, 8.305678922999805e-01, 2.156382360334896e-01, 3.208217650354876e+00
10, 9.701499938960000e-01, -6.401524295797863e-03, 1.079167552796258e+00, 8.546232675149351e-01, 2.212800278145567e-01, 3.146440044390032e+00
11, 9.645400047300000e-01, -7.836487202317693e-03, 1.053285848221431e+00, 8.790475518662317e-01, 2.170601106658055e-01, 3.081480416834908e+00
12, 9.584699869160000e-01, -9.285627211816215e-03, 1.030662318394093e+00, 9.002260854982737e-01, 2.041678687340107e-01, 3.024592758198164e+00
13, 9.519400000570000e-01, -1.069412056971904e-02, 1.015030984814859e+00, 9.156425722540497e-01, 1.863179637611513e-01, 2.985289901397188e+00
14, 9.449599981310000e-01, -1.203468418790318e-02, 1.007351704899041e+00, 9.246962452761582e-01, 1.681394125665660e-01, 2.966020066228420e+00
15, 9.375399947170000e-01, -1.331250303984569e-02, 1.005778064432872e+00, 9.284342548417726e-01, 1.532857081858108e-01, 2.962084124884152e+00
16, 9.296900033950000e-01, -1.455578026432947e-02, 1.007236297030031e+00, 9.289448691774256e-01, 1.433882048631630e-01, 2.965732332236938e+00
17, 9.214000105860000e-01, -1.580380626768237e-02, 1.008963423776567e+00, 9.283390403270850e-01, 1.381880914880217e-01, 2.970021731035402e+00
18, 9.126999974250000e-01, -1.708483096388552e-02, 1.009246468679695e+00, 9.280980923699405e-01, 1.363059718242869e-01, 2.970648499783246e+00
19, 9.035800099370001e-01, -1.842095689684580e-02, 1.007531797477494e+00, 9.288708353819740e-01, 1.361390501750068e-01, 2.966222082929828e+00
20, 8.940600156780000e-01, -1.981678175150229e-02, 1.004032686569806e+00, 9.307173070499943e-01, 1.364032832479547e-01, 2.957288832881333e+00
21, 8.841500282290000e-01, -2.126855979231507e-02, 9.992803602504076e-01, 9.333423762543778e-01, 1.363332574416975e-01, 2.945182738326137e+00
22, 8.738499879840000e-01, -2.276885912268872e-02, 9.938287259570678e-01, 9.363691573108640e-01, 1.356338587416140e-01, 2.931292884141662e+00
23, 8.631799817090000e-01, -2.430608864009032e-02, 9.881194099074349e-01, 9.395092434695372e-01, 1.343215571932922e-01, 2.916736389565955e+00
24, 8.521599769590000e-01, -2.586987816711939e-02, 9.823993788649383e-01, 9.425616942452657e-01, 1.325445904750953e-01, 2.902130461131478e+00
25, 8.407700061800000e-01, -2.745741660852283e-02, 9.767671481468695e-01, 9.454583242789911e-01, 1.304786318708561e-01, 2.887727519209731e+00
26, 8.290500044819999e-01, -2.905918594932293e-02, 9.712122043672197e-01, 9.481878868011345e-01, 1.282450144189964e-01, 2.873499762850733e+00
27, 8.170099854470000e-01, -3.067102463275011e-02, 9.656810381070153e-01, 9.507852635394617e-01, 1.259103361014710e-01, 2.859314970744951e+00
28, 8.046399950980000e-01, -3.229174813096417e-02, 9.601136015577251e-01, 9.532601654304925e-01, 1.234880590156053e-01, 2.845015036626037e+00
29, 7.919700145720000e-01, -3.391477435952553e-02, 9.544874357273010e-01, 9.556381409576038e-01, 1.209598703059298e-01, 2.830546391317412e+00
