"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633267228290264e-05, 2.664612335875961e-01, -6.924537562546121e-01, -1.141095971832890e-01, 2.011080080161418e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.558067502871858e+00
1, 9.990000128750000e-01, -1.454877519734475e-04, -7.424130365008477e-02, 1.222626602545496e-02, -8.732512087264220e-02, -4.959512797268824e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.597884325110940e-01
2, 9.977599978450000e-01, -3.276763035648608e-04, -8.932279046093043e-02, 6.370248475683149e-02, -1.116710575011387e-01, -1.268152013820212e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.301996203689790e-02
3, 9.960200190539999e-01, -5.908371776044496e-04, -1.088158828698494e-01, 1.017727524331180e-01, -1.113335189666502e-01, -2.036819683962942e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.846606315480641e-02
4, 9.937800168990000e-01, -9.503711580592251e-04, -1.288756473484330e-01, 1.381825534409121e-01, -1.207459161134352e-01, -2.835145665356459e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.269117996329480e-02
5, 9.910500049590000e-01, -1.431104493861052e-03, -1.374688579584979e-01, 1.554618279303169e-01, -1.351766618440940e-01, -3.154348248755743e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.379681502054045e-02
6, 9.878399968150000e-01, -2.065843219501398e-03, -1.382568557064811e-01, 1.611765953021492e-01, -1.545815890510625e-01, -3.247530151499640e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.814015583467419e-02
7, 9.841300249100000e-01, -2.893124614693864e-03, -1.295237993515536e-01, 1.531393630692999e-01, -1.776226162290724e-01, -3.077070019617149e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.386819042452118e-02
8, 9.799500107769999e-01, -3.926149039608921e-03, -1.098428345881809e-01, 1.295498316337059e-01, -2.014971754211091e-01, -2.617319086715603e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.938718229382641e-02
9, 9.752799868580000e-01, -5.161198342586706e-03, -7.913625889417841e-02, 9.046954720195795e-02, -2.222011861786161e-01, -1.867788998962544e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.393708058724577e-02
10, 9.701499938960000e-01, -6.547848241434273e-03, -3.949942565033505e-02, 3.905294893108602e-02, -2.353579675919775e-01, -8.812019644926955e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.313491025679373e-03
11, 9.645400047300000e-01, -8.022614719366069e-03, 4.376002810647353e-03, -1.821505595969116e-02, -2.373780456650965e-01, 2.231944669201139e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.558618716135878e-03
12, 9.584699869160000e-01, -9.504500784122528e-03, 4.495648621572844e-02, -7.163248608042776e-02, -2.270927935294973e-01, 1.255862546853457e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.571184767096110e-03
13, 9.519400000570000e-01, -1.093395517108733e-02, 7.422111847053157e-02, -1.111926919719989e-01, -2.072948019495253e-01, 2.003968028857547e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.246187613476898e-03
14, 9.449599981310000e-01, -1.228126253321360e-02, 8.755620679121164e-02, -1.310715611131267e-01, -1.839054337326523e-01, 2.342352163650789e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.664988862089171e-03
