"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.722399951,      -13.49389957,      -13.48762717,      -1.674692519,      -9.127682937
          0,           0,           1,      -4.132413995,      -3.500335687,      -3.193494384,      -2.084383276,      -9.416265043
          0,           0,           2,      -4.289490176,      -3.592657862,      -3.305418541,      -2.237120889,      -9.750168701
          0,           0,           3,      -4.278280408,       -3.67511448,      -3.514581037,      -2.227164253,      -10.00044715
          0,           0,           4,      -4.329995501,      -3.743643074,      -3.608073936,      -2.279298436,       -10.1685739
          0,           0,           5,      -4.393711289,      -3.798777589,      -3.620988457,      -2.343240342,      -10.25957055
          0,           0,           6,      -4.443213831,      -3.845258399,      -3.642366904,      -2.393529329,      -10.32767727
          0,           0,           7,      -4.479510187,      -3.886634582,      -3.668126155,      -2.430811333,      -10.39364598
          0,           0,           8,      -4.504093026,      -3.924264771,       -3.68775271,      -2.456153962,      -10.44504151
          0,           0,           9,      -4.518206676,      -3.957328897,      -3.697832541,      -2.470665049,      -10.48219251
          0,           0,          10,      -4.523368542,      -3.983560706,      -3.698520393,      -2.475943817,       -10.5114643
          0,           0,          11,      -4.521112569,       -3.99985632,        -3.6912733,      -2.473673286,      -10.53459776
          0,           0,          12,       -4.51322963,      -4.003494177,      -3.678158795,      -2.465759728,      -10.55278033
          0,           0,          13,      -4.501728197,      -3.993695108,      -3.661533718,      -2.454269116,      -10.56873096
          0,           0,          14,      -4.488541259,      -3.972232732,      -3.643645433,      -2.441148435,      -10.58508748
          0,           0,          15,      -4.475234712,      -3.942825797,      -3.626275578,      -2.427954677,      -10.59580719
          0,           0,          16,      -4.462887247,      -3.909515686,      -3.610572203,      -2.415748242,      -10.60352346
          0,           0,          17,      -4.452105553,      -3.875475498,      -3.597066807,      -2.405115556,      -10.60965744
          0,           0,          18,      -4.443100728,      -3.842677854,      -3.585803429,      -2.396249715,      -10.61481452
          0,           0,          19,      -4.435779179,       -3.81208592,       -3.57651398,      -2.389044339,        -10.619294
          0,           0,          20,      -4.429829291,      -3.784001242,      -3.568790266,      -2.383182233,      -10.62321503
          0,           0,          21,       -4.42480831,      -3.758376405,      -3.562220173,      -2.378222535,      -10.62700028
          0,           0,          22,      -4.420235645,      -3.735028273,      -3.556468371,      -2.373691955,      -10.63098117
          0,           0,          23,      -4.415686826,      -3.713748548,       -3.55129917,      -2.369175121,      -10.63368308
          0,           0,          24,      -4.410875727,      -3.694341538,      -3.546562692,      -2.364393897,      -10.63479652
          0,           0,          25,      -4.405691194,      -3.676621167,      -3.542163224,      -2.359240956,      -10.63474759
          0,           0,          26,      -4.400182182,      -3.660400547,      -3.538030657,      -2.353763318,      -10.63379303
          0,           0,          27,       -4.39450045,      -3.645489464,      -3.534106683,      -2.348105486,      -10.63213046
          0,           0,          28,      -4.388830556,      -3.631704397,      -3.530349067,      -2.342442917,      -10.62993091
          0,           0,          29,      -4.383321042,      -3.618884708,      -3.526736582,       -2.33691497,      -10.62732345
          0,           0,          30,      -4.378041657,      -3.606905038,      -3.523274451,      -2.331583981,      -10.62437291
          0,           0,          31,      -4.372971842,      -3.595681834,      -3.519994655,      -2.326425332,      -10.62116381
          0,           0,          32,      -4.368015984,      -3.585170211,      -3.516949444,      -2.321343911,      -10.61780209
          0,           0,          33,       -4.36303328,      -3.575353137,      -3.514195859,      -2.316203449,      -10.61393902
          0,           0,          34,      -4.357876117,      -3.566226363,      -3.511780245,      -2.310864136,      -10.60931579
          0,           0,          35,       -4.35242441,      -3.557784801,      -3.509726891,      -2.305216295,      -10.60403902
          0,           0,          36,      -4.346605978,      -3.550014818,      -3.508029704,      -2.299198972,      -10.59821316
          0,           0,          37,        -4.3404031,      -3.542892455,      -3.506650589,      -2.292804818,      -10.59193997
          0,           0,          38,       -4.33384491,      -3.536384504,      -3.505524517,      -2.286071242,      -10.58532408
          0,           0,          39,      -4.326990459,      -3.530452562,      -3.504569152,      -2.279062593,      -10.57846319
          0,           0,          40,      -4.319911337,      -3.525056213,       -3.50369631,      -2.271852699,      -10.57143368
          0,           0,          41,      -4.312678236,      -3.520156026,      -3.502821487,      -2.264511914,      -10.56430048
          0,           0,          42,      -4.305353727,      -3.515710759,      -3.501871498,      -2.257100577,      -10.55709035
          0,           0,          43,      -4.297990659,      -3.511673232,      -3.500789053,      -2.249668322,      -10.54982574
          0,           0,          44,      -4.290633702,      -3.507985835,      -3.499532936,       -2.24225627,      -10.54249996
          0,           0,          45,      -4.283322562,      -3.504577491,      -3.498075684,       -2.23490089,      -10.53504378
          0,           0,          46,       -4.27609375,      -3.501361401,      -3.496400581,      -2.227635926,      -10.52741468
          0,           0,          47,       -4.26898085,      -3.498237561,      -3.494499303,      -2.220492768,      -10.51959962
          0,           0,          48,      -4.262012888,       -3.49509884,      -3.492370481,      -2.213498673,      -10.51160098
          0,           0,          49,      -4.255212608,      -3.491839452,      -3.490019101,      -2.206674948,      -10.50341706
          0,           0,          50,       -4.24859498,      -3.488364772,      -3.487456333,      -2.200035322,      -10.49505269
          0,           0,          51,       -4.24216653,      -3.484600731,      -3.484699375,      -2.193585225,      -10.48650745
          0,           0,          52,      -4.235925635,      -3.480500855,      -3.481770528,      -2.187322107,      -10.47779244
          0,           0,          53,      -4.229863489,      -3.476049162,      -3.478695267,       -2.18123639,      -10.46890647
          0,           0,          54,      -4.223965627,      -3.471259002,      -3.475499406,       -2.17531309,      -10.45985302
          0,           0,          55,      -4.218213338,       -3.46616801,      -3.472205796,      -2.169533204,      -10.45064414
          0,           0,          56,      -4.212585232,      -3.460830237,      -3.468831536,      -2.163875296,      -10.44129571
          0,           0,          57,      -4.207058685,      -3.455307275,      -3.465385839,      -2.158316933,      -10.43184023
          0,           0,          58,       -4.20161118,      -3.449659932,       -3.46186927,      -2.152835958,      -10.42228635
          0,           0,          59,      -4.196221841,        -3.4439415,      -3.458274343,      -2.147412003,      -10.41265508
          0,           0,          60,      -4.190872766,      -3.438193352,      -3.454587102,      -2.142027764,      -10.40298463
          0,           0,          61,      -4.185550317,      -3.432443032,      -3.450789201,      -2.136670269,      -10.39333824
          0,           0,          62,      -4.180246061,      -3.426704415,      -3.446860222,      -2.131331785,      -10.38375169
          0,           0,          63,       -4.17495717,      -3.420979479,      -3.442779734,      -2.126010193,      -10.37428259
          0,           0,          64,      -4.169686388,      -3.415261218,      -3.438529116,      -2.120708954,      -10.36495909
          0,           0,          65,      -4.164441312,       -3.40953686,       -3.43409263,      -2.115436352,      -10.35584612
          0,           0,          66,      -4.159233369,      -3.403791075,      -3.429458129,      -2.110204497,      -10.34693467
          0,           0,          67,      -4.154076426,      -3.398008748,      -3.424617356,       -2.10502789,      -10.33815214
          0,           0,          68,        -4.1489854,      -3.392177143,       -3.41956597,      -2.099922053,      -10.32950307
          0,           0,          69,      -4.143974918,      -3.386287336,      -3.414303352,      -2.094902177,      -10.32104462
          0,           0,          70,      -4.139058195,      -3.380334978,      -3.408832306,      -2.089981995,      -10.31279766
          0,           0,          71,      -4.134246263,      -3.374320463,      -3.403158726,      -2.085173013,      -10.30475853
          0,           0,          72,      -4.129547386,      -3.368248633,      -3.397291127,      -2.080483912,      -10.29692061
          0,           0,          73,      -4.124966885,      -3.362128218,       -3.39124026,      -2.075920388,      -10.28924473
