"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633283710091826e-05, 1.319928803629557e+00, 6.959523803882111e-01, 1.012610986655618e-01, 3.775758700175524e+00
1, 9.990000128750000e-01, -1.454981659412176e-04, 1.188664032229775e+00, 6.954917423398268e-01, 1.018615325359218e-01, 3.411438380322045e+00
2, 9.977599978450000e-01, -3.277906685153931e-04, 1.182204260323030e+00, 7.446970817728747e-01, 1.114443514727653e-01, 3.402356455727078e+00
3, 9.960200190539999e-01, -5.914559746969127e-04, 1.171251730614597e+00, 7.614600059518285e-01, 1.195427507853137e-01, 3.375418384384513e+00
4, 9.937800168990000e-01, -9.526138590167406e-04, 1.165063646890030e+00, 7.668407067433224e-01, 1.305129354275580e-01, 3.359697420283926e+00
5, 9.910500049590000e-01, -1.437330643256861e-03, 1.160941046667147e+00, 7.720447090235677e-01, 1.465412855766671e-01, 3.349866962054017e+00
6, 9.878399968150000e-01, -2.080085065394796e-03, 1.154106189650940e+00, 7.773513754625400e-01, 1.667005561071191e-01, 3.332841935397693e+00
7, 9.841300249100000e-01, -2.921298587266797e-03, 1.143152185783821e+00, 7.869678119119755e-01, 1.890492403510481e-01, 3.305574582053771e+00
8, 9.799500107769999e-01, -3.975455936079285e-03, 1.126632513654013e+00, 8.025225131918493e-01, 2.102002879390403e-01, 3.264394856354510e+00
9, 9.752799868580000e-01, -5.239340157718228e-03, 1.104561866962002e+00, 8.240750465905270e-01, 2.258672197248011e-01, 3.209316560690060e+00
10, 9.701499938960000e-01, -6.661500824012229e-03, 1.078148761188633e+00, 8.498549867099575e-01, 2.324383229608070e-01, 3.143261425093108e+00
11, 9.645400047300000e-01, -8.176762981023208e-03, 1.050100618425007e+00, 8.762915105656787e-01, 2.281058278766784e-01, 3.072849000456841e+00
12, 9.584699869160000e-01, -9.701901911611955e-03, 1.025379273119984e+00, 8.993077907766083e-01, 2.140578080105195e-01, 3.010651862584010e+00
13, 9.519400000570000e-01, -1.117588008963351e-02, 1.008437894572816e+00, 9.160269572659685e-01, 1.943746323477886e-01, 2.968037693679444e+00
14, 9.449599981310000e-01, -1.256862879369505e-02, 1.000512830710182e+00, 9.257187133821296e-01, 1.742484042858159e-01, 2.948162147480843e+00
15, 9.375399947170000e-01, -1.388639886378133e-02, 9.995223713346604e-01, 9.294948471235087e-01, 1.578106481834337e-01, 2.945715715196549e+00
16, 9.296900033950000e-01, -1.516118514245077e-02, 1.001944684920536e+00, 9.296606128000749e-01, 1.469194114800952e-01, 2.951810288606802e+00
17, 9.214000105860000e-01, -1.643708987636760e-02, 1.004623425530586e+00, 9.285760522858365e-01, 1.412953010193231e-01, 2.958510529119114e+00
18, 9.126999974250000e-01, -1.774644243176141e-02, 1.005609170132316e+00, 9.279032975881698e-01, 1.393950668398454e-01, 2.960914178171045e+00
19, 9.035800099370001e-01, -1.911411472153193e-02, 1.004295682930226e+00, 9.283730052616502e-01, 1.394240747388786e-01, 2.957498873847821e+00
20, 8.940600156780000e-01, -2.054581530612952e-02, 1.000935491660893e+00, 9.300572139997356e-01, 1.399466145199811e-01, 2.948911473148460e+00
21, 8.841500282290000e-01, -2.203776298670260e-02, 9.961304480106075e-01, 9.326363361740626e-01, 1.401068138738900e-01, 2.936665553442425e+00
22, 8.738499879840000e-01, -2.358189966042915e-02, 9.905012432671835e-01, 9.356924521740284e-01, 1.395717552173321e-01, 2.922317933469852e+00
23, 8.631799817090000e-01, -2.516574183593367e-02, 9.845397797158508e-01, 9.389024802785312e-01, 1.383551103083544e-01, 2.907112167288714e+00
24, 8.521599769590000e-01, -2.677810366562366e-02, 9.785215835328225e-01, 9.420438243598686e-01, 1.366176441894638e-01, 2.891737381172621e+00
25, 8.407700061800000e-01, -2.841569474040276e-02, 9.725553600924561e-01, 9.450363391882264e-01, 1.345491484194816e-01, 2.876471127295416e+00
26, 8.290500044819999e-01, -3.006837620630605e-02, 9.666280022245156e-01, 9.478662098807340e-01, 1.322799997440589e-01, 2.861278759866417e+00
27, 8.170099854470000e-01, -3.173153773988635e-02, 9.606791263049608e-01, 9.505684995723136e-01, 1.298789338170043e-01, 2.846010314219146e+00
28, 8.046399950980000e-01, -3.340358665635081e-02, 9.546428270092606e-01, 9.531511241584348e-01, 1.273558861513456e-01, 2.830491914100552e+00
29, 7.919700145720000e-01, -3.507726917655142e-02, 9.484968361763774e-01, 9.556384530186730e-01, 1.246864142935513e-01, 2.814670493183954e+00
30, 7.790099978450000e-01, -3.674764679304323e-02, 9.422367275325779e-01, 9.580506764932508e-01, 1.218403868644624e-01, 2.798539776566921e+00
31, 7.657799720760000e-01, -3.840799581555276e-02, 9.358283886881651e-01, 9.603621664770832e-01, 1.187801670433360e-01, 2.782001000429482e+00
32, 7.522799968720000e-01, -4.005368496433896e-02, 9.292439697279754e-01, 9.625725856348510e-01, 1.154842090246996e-01, 2.764980422172910e+00
33, 7.385200262070000e-01, -4.167849544718451e-02, 9.225242039782959e-01, 9.646762280940281e-01, 1.119430999720607e-01, 2.747586146863167e+00
34, 7.245299816130000e-01, -4.327385629425969e-02, 9.157602226126957e-01, 9.666352071713866e-01, 1.081545775543845e-01, 2.730050441997401e+00
35, 7.103199958800001e-01, -4.483373161529640e-02, 9.090382167385075e-01, 9.684263923610545e-01, 1.041302747697557e-01, 2.712596038025543e+00
36, 6.958900094030001e-01, -4.635337601733804e-02, 9.024310884281028e-01, 9.700598801675532e-01, 9.989577005754746e-02, 2.695419845556751e+00
37, 6.812700033190000e-01, -4.782527001037555e-02, 8.959661471471133e-01, 9.714919908280484e-01, 9.547300056743389e-02, 2.678580414809220e+00
38, 6.664699912070000e-01, -4.924461695441105e-02, 8.897090694154997e-01, 9.727563916003034e-01, 9.090126990209982e-02, 2.662261762572920e+00
39, 6.514999866490000e-01, -5.060719192183971e-02, 8.837002772512312e-01, 9.738431851643479e-01, 8.621711602318975e-02, 2.646566843273801e+00
40, 6.363800168040000e-01, -5.190856824940361e-02, 8.780043235431565e-01, 9.747554865798008e-01, 8.146013538407153e-02, 2.631665984286455e+00
41, 6.211299896240000e-01, -5.314520694543384e-02, 8.727297435588454e-01, 9.755114279847628e-01, 7.667159215234980e-02, 2.617849798305125e+00
42, 6.057599782940000e-01, -5.431519008588778e-02, 8.680069052140792e-01, 9.761140831221935e-01, 7.189058399651005e-02, 2.605460757157574e+00
43, 5.902799963950000e-01, -5.541730204975531e-02, 8.639642600161698e-01, 9.765978025431342e-01, 6.715651003168106e-02, 2.594845485505540e+00
44, 5.747100114820000e-01, -5.645036528520056e-02, 8.606326861549342e-01, 9.769696997999635e-01, 6.250207639966326e-02, 2.586084163497827e+00
45, 5.590599775310000e-01, -5.741461681257364e-02, 8.579775073191434e-01, 9.772636319125020e-01, 5.796226113624478e-02, 2.579093395303166e+00
