"PointID","x","y"
0, 9.997500181200000e-01, -3.632992137441646e-05
1, 9.990000128750000e-01, -1.453141166369706e-04
2, 9.977599978450000e-01, -3.257730902026002e-04
3, 9.960200190539999e-01, -5.805710762012426e-04
4, 9.937800168990000e-01, -9.133370209275756e-04
5, 9.910500049590000e-01, -1.328985200024242e-03
6, 9.878399968150000e-01, -1.834474241897159e-03
7, 9.841300249100000e-01, -2.441467631354341e-03
8, 9.799500107769999e-01, -3.149906605450300e-03
9, 9.752799868580000e-01, -3.960822319621242e-03
10, 9.701499938960000e-01, -4.858087192380411e-03
11, 9.645400047300000e-01, -5.827577960040058e-03
12, 9.584699869160000e-01, -6.846419663445010e-03
13, 9.519400000570000e-01, -7.899196109171471e-03
14, 9.449599981310000e-01, -8.976889371821183e-03
15, 9.375399947170000e-01, -1.007923680894491e-02
16, 9.296900033950000e-01, -1.121217286595796e-02
17, 9.214000105860000e-01, -1.238660986209630e-02
18, 9.126999974250000e-01, -1.360638699019174e-02
19, 9.035800099370001e-01, -1.487766915205339e-02
20, 8.940600156780000e-01, -1.619885481852206e-02
21, 8.841500282290000e-01, -1.756705629308014e-02
22, 8.738499879840000e-01, -1.897931207158857e-02
23, 8.631799817090000e-01, -2.042945767727164e-02
24, 8.521599769590000e-01, -2.191154656903342e-02
25, 8.407700061800000e-01, -2.342528832608034e-02
26, 8.290500044819999e-01, -2.496259402962385e-02
27, 8.170099854470000e-01, -2.651943608290815e-02
28, 8.046399950980000e-01, -2.809412939567660e-02
29, 7.919700145720000e-01, -2.967955613664925e-02
30, 7.790099978450000e-01, -3.127086201063716e-02
31, 7.657799720760000e-01, -3.286167390722754e-02
32, 7.522799968720000e-01, -3.444779906372077e-02
33, 7.385200262070000e-01, -3.602366002028289e-02
34, 7.245299816130000e-01, -3.758143483082339e-02
35, 7.103199958800001e-01, -3.911573170358543e-02
36, 6.958900094030001e-01, -4.062237930652680e-02
37, 6.812700033190000e-01, -4.209434764858999e-02
38, 6.664699912070000e-01, -4.352714614094925e-02
39, 6.514999866490000e-01, -4.491669586879735e-02
40, 6.363800168040000e-01, -4.625851028194793e-02
