"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633415617342052e-05, 1.316352611772082e+00, 6.925973622982464e-01, 1.008306178106078e-01, 3.765313667424274e+00
1, 9.990000128750000e-01, -1.455814375062214e-04, 1.187205366321074e+00, 6.860001331714295e-01, 1.007856667397730e-01, 3.405802349183015e+00
2, 9.977599978450000e-01, -3.287036624507692e-04, 1.183583703734123e+00, 7.309285846713568e-01, 1.105719525930866e-01, 3.403699561922697e+00
3, 9.960200190539999e-01, -5.963829828466000e-04, 1.175364994947738e+00, 7.435447828906138e-01, 1.198824609704420e-01, 3.383505548626611e+00
4, 9.937800168990000e-01, -9.703999279629469e-04, 1.171605484844993e+00, 7.449392161847633e-01, 1.334053567540835e-01, 3.373795575511838e+00
5, 9.910500049590000e-01, -1.486424061381849e-03, 1.169273954920794e+00, 7.467052135158417e-01, 1.534981945450236e-01, 3.368385994264021e+00
6, 9.878399968150000e-01, -2.191473976933475e-03, 1.163317797111911e+00, 7.496378596412895e-01, 1.790421229564703e-01, 3.353534984697443e+00
7, 9.841300249100000e-01, -3.139179325613313e-03, 1.152090943857333e+00, 7.584475534366450e-01, 2.075865843711181e-01, 3.325601645094460e+00
8, 9.799500107769999e-01, -4.350957839651264e-03, 1.133887142329826e+00, 7.752611140197357e-01, 2.350351098428301e-01, 3.280276896044852e+00
9, 9.752799868580000e-01, -5.822236205481650e-03, 1.108527435230975e+00, 8.002901316645152e-01, 2.560403982844784e-01, 3.217064626372748e+00
10, 9.701499938960000e-01, -7.486321036229711e-03, 1.077231420440728e+00, 8.314834874619828e-01, 2.658279750481207e-01, 3.138879862993435e+00
11, 9.645400047300000e-01, -9.255843419803877e-03, 1.042644198977711e+00, 8.644055865988739e-01, 2.616038080385705e-01, 3.052039773731424e+00
12, 9.584699869160000e-01, -1.102115971758014e-02, 1.011094300821613e+00, 8.935139149028231e-01, 2.443370671345553e-01, 2.972550790428889e+00
13, 9.519400000570000e-01, -1.270139489509044e-02, 9.896869192326702e-01, 9.147052328274032e-01, 2.191226445838748e-01, 2.918648071627501e+00
14, 9.449599981310000e-01, -1.425755146939851e-02, 9.808160795855392e-01, 9.267848783978229e-01, 1.929394744784436e-01, 2.896455541360999e+00
15, 9.375399947170000e-01, -1.569920973599442e-02, 9.816666462664924e-01, 9.309854455946208e-01, 1.714931835965263e-01, 2.898739316844485e+00
16, 9.296900033950000e-01, -1.707037740902023e-02, 9.872137392545431e-01, 9.302624759952112e-01, 1.574192499749334e-01, 2.912784917401777e+00
17, 9.214000105860000e-01, -1.843042190682955e-02, 9.929879222305584e-01, 9.277801691451107e-01, 1.504038699727930e-01, 2.927345008381527e+00
18, 9.126999974250000e-01, -1.982465340427401e-02, 9.962638149789943e-01, 9.257959834341493e-01, 1.483944976168362e-01, 2.935551753376354e+00
19, 9.035800099370001e-01, -2.128676400720347e-02, 9.962989722329102e-01, 9.253144261491666e-01, 1.489938995270789e-01, 2.935544190927474e+00
20, 8.940600156780000e-01, -2.282605864460624e-02, 9.934934369312119e-01, 9.264632742659118e-01, 1.502929205369627e-01, 2.928349990576898e+00
21, 8.841500282290000e-01, -2.443873859485126e-02, 9.886790757909888e-01, 9.288568053634310e-01, 1.511550723643863e-01, 2.916069386389514e+00
22, 8.738499879840000e-01, -2.611488441509467e-02, 9.826859347818508e-01, 9.319522849707557e-01, 1.511309204990943e-01, 2.900785298148408e+00
23, 8.631799817090000e-01, -2.783936594947583e-02, 9.761616559872571e-01, 9.353188173902062e-01, 1.502270203992146e-01, 2.884132826477844e+00
24, 8.521599769590000e-01, -2.959864382218514e-02, 9.694678605516004e-01, 9.386677958530953e-01, 1.486456776762541e-01, 2.867018064655104e+00
25, 8.407700061800000e-01, -3.138816778749885e-02, 9.627410611067154e-01, 9.418815878495281e-01, 1.466228904923030e-01, 2.849786396773526e+00
26, 8.290500044819999e-01, -3.319617774522499e-02, 9.559611561867343e-01, 9.449410648764751e-01, 1.443198587875514e-01, 2.832385642207820e+00
27, 8.170099854470000e-01, -3.501701085976400e-02, 9.490358892574364e-01, 9.478822134268364e-01, 1.418134789590358e-01, 2.814582656153889e+00
28, 8.046399950980000e-01, -3.684818039189658e-02, 9.418729146115548e-01, 9.507123653933260e-01, 1.391037444366921e-01, 2.796133978548553e+00
29, 7.919700145720000e-01, -3.868074116988485e-02, 9.344491263580924e-01, 9.534505070566663e-01, 1.361464461251199e-01, 2.776983771221607e+00
30, 7.790099978450000e-01, -4.050797501612363e-02, 9.267794038684920e-01, 9.561061316311955e-01, 1.328901642903807e-01, 2.757175147210036e+00
31, 7.657799720760000e-01, -4.232092183071547e-02, 9.188147871326910e-01, 9.586331440094211e-01, 1.292773828636301e-01, 2.736564781537377e+00
32, 7.522799968720000e-01, -4.411267467764272e-02, 9.104624099016022e-01, 9.610308106438232e-01, 1.252766375419823e-01, 2.714907849129896e+00
33, 7.385200262070000e-01, -4.587443366428193e-02, 9.017209879732849e-01, 9.632693703397595e-01, 1.208730029366398e-01, 2.692196217747089e+00
34, 7.245299816130000e-01, -4.759480312392543e-02, 8.928476098090352e-01, 9.652906565924007e-01, 1.160661539601752e-01, 2.669098481081998e+00
35, 7.103199958800001e-01, -4.926519378328019e-02, 8.842100608022430e-01, 9.670755041447007e-01, 1.108799532713456e-01, 2.646584860238879e+00
36, 6.958900094030001e-01, -5.087851651210189e-02, 8.757977852483957e-01, 9.686613009486990e-01, 1.053612432419242e-01, 2.624638506584278e+00
37, 6.812700033190000e-01, -5.242496008074447e-02, 8.667155493882724e-01, 9.699845763129344e-01, 9.955081265994913e-02, 2.600875739002859e+00
38, 6.664699912070000e-01, -5.389793227540723e-02, 8.557944444133189e-01, 9.709971140726332e-01, 9.350690763685982e-02, 2.572211078603827e+00
39, 6.514999866490000e-01, -5.529180917716850e-02, 8.434392334690146e-01, 9.715262370061103e-01, 8.728205214478747e-02, 2.539679387553197e+00
40, 6.363800168040000e-01, -5.660121975735040e-02, 8.325101867454023e-01, 9.716742515875078e-01, 8.095989340166125e-02, 2.510841636451010e+00
41, 6.211299896240000e-01, -5.782223716549451e-02, 8.258148468809311e-01, 9.717380607468605e-01, 7.463789170741324e-02, 2.493134531783376e+00
42, 6.057599782940000e-01, -5.895310367618106e-02, 8.241845500674227e-01, 9.719860298367388e-01, 6.840312800656284e-02, 2.488791032904640e+00
43, 5.902799963950000e-01, -5.999329309743966e-02, 8.267673929151178e-01, 9.724263895634586e-01, 6.231674623285807e-02, 2.495571087468861e+00
44, 5.747100114820000e-01, -6.094290251661640e-02, 8.322590154618543e-01, 9.729762695609112e-01, 5.642867001132311e-02, 2.510038659886459e+00
45, 5.590599775310000e-01, -6.180392733111830e-02, 8.396714811850418e-01, 9.734783643500069e-01, 5.078732540818771e-02, 2.529566065685346e+00
46, 5.433599948880000e-01, -6.257846377058907e-02, 8.485100907563670e-01, 9.738376981810805e-01, 4.543361049839458e-02, 2.552838234884081e+00
47, 5.276100039480000e-01, -6.327120042254172e-02, 8.583315161191083e-01, 9.739546249670420e-01, 4.041091196462401e-02, 2.578670104696345e+00
48, 5.118399858470000e-01, -6.388627860900940e-02, 8.682027947014045e-01, 9.737138779307928e-01, 3.574507879129005e-02, 2.604573629801334e+00
49, 4.960500001910000e-01, -6.442976953254009e-02, 8.770353936671720e-01, 9.730722592405399e-01, 3.146569047201729e-02, 2.627658242933490e+00
50, 4.802699983120000e-01, -6.490713954358898e-02, 8.855643513613525e-01, 9.720613468838490e-01, 2.758727874969681e-02, 2.649869012432387e+00
51, 4.645099937920000e-01, -6.532488068070552e-02, 8.982377620721215e-01, 9.706615539228757e-01, 2.411608028863724e-02, 2.682994958233886e+00
52, 4.487800002100000e-01, -6.568950835117975e-02, 9.194459429237368e-01, 9.681131496946284e-01, 2.103115783847568e-02, 2.738554798084456e+00
53, 4.331099987030000e-01, -6.600700988538830e-02, 9.366143288976002e-01, 9.646420780188901e-01, 1.832545919633444e-02, 2.783260088338497e+00
54, 4.174999892710000e-01, -6.628373970100930e-02, 9.144907567855514e-01, 9.636307813614351e-01, 1.603427611703396e-02, 2.723988896818839e+00
55, 4.019699990750000e-01, -6.652516202620538e-02, 8.110711119477019e-01, 9.621133890309812e-01, 1.405972167650351e-02, 2.450318963300832e+00
56, 3.865399956700000e-01, -6.673616963088980e-02, 7.350797437562635e-01, 9.585480646552936e-01, 1.234087456772888e-02, 2.251539975510153e+00
57, 3.712300062180000e-01, -6.692092558783498e-02, 7.251848129733880e-01, 9.569666076901076e-01, 1.088006980760430e-02, 2.225469416191116e+00
58, 3.560400009160000e-01, -6.708293415682873e-02, 7.332333137507322e-01, 9.590644670333736e-01, 9.626719315347273e-03, 2.246964044455854e+00
59, 3.409900069240000e-01, -6.722446304053628e-02, 7.338843970110889e-01, 9.587853250566385e-01, 8.448673785946373e-03, 2.248532757693381e+00
60, 3.261100053790000e-01, -6.734667282918691e-02, 7.276650893788937e-01, 9.569315593641464e-01, 7.289807395920829e-03, 2.231822895261073e+00
61, 3.113999962810000e-01, -6.744987673529838e-02, 7.205554643130599e-01, 9.546491051865953e-01, 6.087365299850228e-03, 2.212679265643546e+00
62, 2.968699932100000e-01, -6.753312315368595e-02, 7.145093811776971e-01, 9.523308762633740e-01, 4.764451427799772e-03, 2.196271376784226e+00
63, 2.825500071050000e-01, -6.759421141513246e-02, 7.089540643894845e-01, 9.500284387662978e-01, 3.236461018548750e-03, 2.181141086768219e+00
64, 2.684499919410000e-01, -6.762994154616866e-02, 7.035572890510243e-01, 9.478126247446595e-01, 1.414979864143576e-03, 2.166461501844648e+00
65, 2.545700073240000e-01, -6.763598247330921e-02, 6.982294228616849e-01, 9.454605499174749e-01, -7.913782763449026e-04, 2.151917267179846e+00
66, 2.409400045870000e-01, -6.760691487797361e-02, 6.931816748113704e-01, 9.431982718695254e-01, -3.479290827449090e-03, 2.138136096713718e+00
67, 2.275699973110000e-01, -6.753638423401953e-02, 6.886037893924098e-01, 9.410091204151947e-01, -6.747899635529402e-03, 2.125596417734265e+00
68, 2.144699990750000e-01, -6.741710062785446e-02, 6.850091925639614e-01, 9.392696339561241e-01, -1.070522767751593e-02, 2.115755897839019e+00
69, 2.016600072380000e-01, -6.724107782484140e-02, 6.827518003105880e-01, 9.381154964575925e-01, -1.547191820299187e-02, 2.109571125054835e+00
70, 1.891400069000000e-01, -6.699934442566625e-02, 6.818830333035697e-01, 9.376072881317026e-01, -2.117369728633620e-02, 2.107199914032583e+00
71, 1.769299954180000e-01, -6.668260756677891e-02, 6.819540768430747e-01, 9.374714803396281e-01, -2.794565235068200e-02, 2.107397398383902e+00
72, 1.650400012730000e-01, -6.628093283339294e-02, 6.824531643348006e-01, 9.374121857113912e-01, -3.591948912356974e-02, 2.108753411510603e+00
73, 1.534900069240000e-01, -6.578444086423289e-02, 6.835383283667795e-01, 9.375742500506582e-01, -4.525629543756992e-02, 2.111743059966053e+00
74, 1.422899961470000e-01, -6.518280012216193e-02, 6.860838681698135e-01, 9.382730924411001e-01, -5.615120384817698e-02, 2.118741339103191e+00
75, 1.314399987460000e-01, -6.446485223483334e-02, 6.908269159649243e-01, 9.397195355338098e-01, -6.883031873694088e-02, 2.131743232061306e+00
76, 1.209499984980000e-01, -6.361973924656583e-02, 6.976279218153935e-01, 9.416434407205476e-01, -8.351239596306592e-02, 2.150331692760385e+00
77, 1.108499988910000e-01, -6.263876802247538e-02, 7.062465634323623e-01, 9.439293218889334e-01, -1.004779995601214e-01, 2.173906523221687e+00
78, 1.011300012470000e-01, -6.150996934230818e-02, 7.163965145262846e-01, 9.457790788541490e-01, -1.199172018317741e-01, 2.201498622879753e+00
79, 9.181000292300000e-02, -6.022464923890380e-02, 7.286159277673170e-01, 9.473985284125982e-01, -1.421927329723556e-01, 2.234664072373798e+00
80, 8.290000259900000e-02, -5.877387333613775e-02, 7.433086179102397e-01, 9.484032955448765e-01, -1.676272919550839e-01, 2.274421529781539e+00
81, 7.440000027400000e-02, -5.714748616841274e-02, 7.607685826184081e-01, 9.481391642142036e-01, -1.964946077005776e-01, 2.321447484776067e+00
82, 6.633000075800000e-02, -5.533986687987712e-02, 7.813778196783666e-01, 9.460205555943428e-01, -2.291317778003147e-01, 2.376728504264957e+00
83, 5.869000032500000e-02, -5.334243119759794e-02, 8.053548682300784e-01, 9.408869784237406e-01, -2.656618837813369e-01, 2.440675276378798e+00
84, 5.149000138000000e-02, -5.114975448542349e-02, 8.331182101904245e-01, 9.314901746681219e-01, -3.061067729642102e-01, 2.514266824153336e+00
