Points_0,Pressure_Coefficient,,,Points_0,Pressure_Coefficient
0.26845,-0.992769,,,0.26845,-0.734353
0.28255,-1.00273,,,0.28255,-0.728574
0.29687,-1.01222,,,0.29687,-0.723817
0.3114,-1.02136,,,0.3114,-0.720198
0.32611,-1.03035,,,0.32611,-0.717934
0.34099,-1.03918,,,0.34099,-0.717056
0.35604,-1.04782,,,0.35604,-0.717152
0.37123,-1.05579,,,0.37123,-0.717474
0.38654,-1.06283,,,0.38654,-0.717432
0.40197,-1.06922,,,0.40197,-0.716566
0.4175,-1.07553,,,0.4175,-0.714476
0.43311,-1.08196,,,0.43311,-0.712213
0.44878,-1.08839,,,0.44878,-0.714586
0.46451,-1.09432,,,0.46451,-0.724398
0.48027,-1.0997,,,0.48027,-0.725166
0.49605,-1.10394,,,0.49605,-0.674577
0.51184,-1.10765,,,0.51184,-0.534677
0.52761,-1.11108,,,0.52761,-0.393134
0.54336,-1.11373,,,0.54336,-0.350075
0.55906,-1.11112,,,0.55906,-0.367269
0.57471,-1.1089,,,0.57471,-0.388917
0.59028,-1.11424,,,0.59028,-0.388622
0.60576,-1.11061,,,0.60576,-0.368586
0.62113,-0.918507,,,0.62113,-0.340462
0.63638,-0.289358,,,0.63638,-0.312273
0.6515,0.0324975,,,0.6515,-0.285034
0.66647,0.0208953,,,0.66647,-0.256679
0.68127,-0.00980952,,,0.68127,-0.226831
0.69589,-0.00780737,,,0.69589,-0.196326
0.71032,-0.00270977,,,0.71032,-0.165854
0.72453,-0.00149775,,,0.72453,-0.135436
0.73852,0.00128098,,,0.73852,-0.105076
0.75228,0.00619159,,,0.75228,-0.0748988
0.76578,0.0122382,,,0.76578,-0.04507
0.77901,0.0190278,,,0.77901,-0.01583
0.79197,0.0266307,,,0.79197,0.0127863
0.80464,0.0349185,,,0.80464,0.0405333
0.81701,0.0438253,,,0.81701,0.0672019
0.82905,0.0532759,,,0.82905,0.0926167
0.84077,0.0632883,,,0.84077,0.116552
0.85216,0.073787,,,0.85216,0.138955
0.86318,0.0847949,,,0.86318,0.159793
0.87385,0.0962388,,,0.87385,0.179333
0.88415,0.108172,,,0.88415,0.198224
0.89406,0.120534,,,0.89406,0.217435
0.90358,0.13337,,,0.90358,0.238318
0.9127,0.146671,,,0.9127,0.262012
0.9214,0.160451,,,0.9214,0.288909
0.92969,0.174742,,,0.92969,0.317892
0.93754,0.189561,,,0.93754,0.346048
0.94496,0.204957,,,0.94496,0.369194
0.95194,0.220981,,,0.95194,0.382846
0.95847,0.237697,,,0.95847,0.383426
0.96454,0.255166,,,0.96454,0.369803
0.97015,0.273522,,,0.97015,0.344553
0.97528,0.292875,,,0.97528,0.314818
0.97995,0.313474,,,0.97995,0.290906
0.98413,0.335629,,,0.98413,0.282765
0.98784,0.359716,,,0.98784,0.29637
0.99105,0.386761,,,0.99105,0.331597
0.99378,0.41738,,,0.99378,0.382569
0.99602,0.456829,,,0.99602,0.447989
0.99776,0.513734,,,0.99776,0.529279
0.999,0.567944,,,0.999,0.60232
0.99975,0.884566,,,0.99975,0.965556
1,0.754934,,,1,0.812447
