"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633242182622321e-05, 1.321694343833731e+00, 6.900359700109464e-01, 1.003821704494918e-01, 3.779756921321221e+00
1, 9.990000128750000e-01, -1.454719498571197e-04, 1.190726798627611e+00, 6.956849570007714e-01, 1.017894907006406e-01, 3.417179749036814e+00
2, 9.977599978450000e-01, -3.275032287234555e-04, 1.182938079576016e+00, 7.469623768296050e-01, 1.114010966910157e-01, 3.404786969849912e+00
3, 9.960200190539999e-01, -5.899047487363296e-04, 1.170808646227063e+00, 7.653316108756710e-01, 1.191289716979750e-01, 3.374902260692080e+00
4, 9.937800168990000e-01, -9.470138182991834e-04, 1.163675417795385e+00, 7.723214340691089e-01, 1.292846183028128e-01, 3.356864299158314e+00
5, 9.910500049590000e-01, -1.421872303807671e-03, 1.158805518814893e+00, 7.788060441832245e-01, 1.439598827509234e-01, 3.345181797926046e+00
6, 9.878399968150000e-01, -2.045008115104618e-03, 1.151587083829954e+00, 7.850113893090782e-01, 1.623124101889421e-01, 3.327211484323598e+00
7, 9.841300249100000e-01, -2.852677837981036e-03, 1.140693380152334e+00, 7.949586240060299e-01, 1.825852388759362e-01, 3.300096251043747e+00
8, 9.799500107769999e-01, -3.857171593772780e-03, 1.124768771135753e+00, 8.101310249670274e-01, 2.016624655790059e-01, 3.260392332579595e+00
9, 9.752799868580000e-01, -5.055680116664272e-03, 1.103866413284278e+00, 8.305678444248875e-01, 2.156383082382853e-01, 3.208217689007955e+00
10, 9.701499938960000e-01, -6.401526127975527e-03, 1.079167556899086e+00, 8.546232328911296e-01, 2.212801066904905e-01, 3.146440052358985e+00
11, 9.645400047300000e-01, -7.836489600509134e-03, 1.053285837073762e+00, 8.790475323098226e-01, 2.170601887595643e-01, 3.081480386514286e+00
12, 9.584699869160000e-01, -9.285630145798175e-03, 1.030662292689135e+00, 9.002260795612566e-01, 2.041679386613193e-01, 3.024592691135602e+00
13, 9.519400000570000e-01, -1.069412396549347e-02, 1.015030949957283e+00, 9.156425759587027e-01, 1.863180207663710e-01, 2.985289811266764e+00
14, 9.449599981310000e-01, -1.203468795185481e-02, 1.007351668081828e+00, 9.246962537490283e-01, 1.681394558645515e-01, 2.966019971272720e+00
15, 9.375399947170000e-01, -1.331250708589420e-02, 1.005778031283984e+00, 9.284342637350806e-01, 1.532857403517590e-01, 2.962084039299156e+00
16, 9.296900033950000e-01, -1.455578453316658e-02, 1.007236270189068e+00, 9.289448757365787e-01, 1.433882300651374e-01, 2.965732262641632e+00
17, 9.214000105860000e-01, -1.580381073401266e-02, 1.008963403241821e+00, 9.283390435841626e-01, 1.381881137529686e-01, 2.970021677397073e+00
18, 9.126999974250000e-01, -1.708483563133160e-02, 1.009246452850866e+00, 9.280980926498622e-01, 1.363059940332230e-01, 2.970648458033764e+00
19, 9.035800099370001e-01, -1.842096178881068e-02, 1.007531784368723e+00, 9.288708335894674e-01, 1.361390738630661e-01, 2.966222048035140e+00
20, 8.940600156780000e-01, -1.981678689957713e-02, 1.004032674443493e+00, 9.307173041714265e-01, 1.364033088855270e-01, 2.957288800442260e+00
21, 8.841500282290000e-01, -2.126856522830611e-02, 9.992803478421161e-01, 9.333423730936734e-01, 1.363332848647340e-01, 2.945182705143445e+00
22, 8.738499879840000e-01, -2.276886487456231e-02, 9.938287124582176e-01, 9.363691543839961e-01, 1.356338875247704e-01, 2.931292848160898e+00
23, 8.631799817090000e-01, -2.430609473017657e-02, 9.881193948312230e-01, 9.395092410520606e-01, 1.343215868965555e-01, 2.916736349538513e+00
24, 8.521599769590000e-01, -2.586988461271765e-02, 9.823993619159257e-01, 9.425616924613170e-01, 1.325446207501207e-01, 2.902130416289906e+00
25, 8.407700061800000e-01, -2.745742342438054e-02, 9.767671290934995e-01, 9.454583231785529e-01, 1.304786624706095e-01, 2.887727468945147e+00
26, 8.290500044819999e-01, -2.905919314658745e-02, 9.712121829425767e-01, 9.481878864250599e-01, 1.282450451605234e-01, 2.873499706462296e+00
27, 8.170099854470000e-01, -3.067103222021426e-02, 9.656810139865296e-01, 9.507852639332520e-01, 1.259103668139852e-01, 2.859314907382418e+00
28, 8.046399950980000e-01, -3.229175611538837e-02, 9.601135743682861e-01, 9.532601666402439e-01, 1.234880894997992e-01, 2.845014965311810e+00
29, 7.919700145720000e-01, -3.391478274362340e-02, 9.544874050810094e-01, 9.556381430243928e-01, 1.209599003133864e-01, 2.830546311034805e+00
30, 7.790099978450000e-01, -3.553587308098350e-02, 9.487947822783946e-01, 9.579427663192025e-01, 1.183019473513788e-01, 2.815894493389030e+00
31, 7.657799720760000e-01, -3.714914406188585e-02, 9.430044493310004e-01, 9.601555021334602e-01, 1.154822518333259e-01, 2.800970086121753e+00
32, 7.522799968720000e-01, -3.875081138734127e-02, 9.370900165818916e-01, 9.622775301045970e-01, 1.124816349857278e-01, 2.785703113059667e+00
33, 7.385200262070000e-01, -4.033558787361477e-02, 9.310831565949272e-01, 9.643091628183050e-01, 1.092909393303444e-01, 2.770178788991839e+00
34, 7.245299816130000e-01, -4.189588700315697e-02, 9.250549237699313e-01, 9.662215960855820e-01, 1.059061343311607e-01, 2.754578432206637e+00
