"PointID","x","y"
0, 9.997500181200000e-01, -3.633488096534463e-05
1, 9.990000128750000e-01, -1.456271931799346e-04
2, 9.977599978450000e-01, -3.292053376779115e-04
3, 9.960200190539999e-01, -5.990903591397689e-04
4, 9.937800168990000e-01, -9.801736813555856e-04
5, 9.910500049590000e-01, -1.513403200122893e-03
6, 9.878399968150000e-01, -2.252692089780315e-03
7, 9.841300249100000e-01, -3.258936993030148e-03
8, 9.799500107769999e-01, -4.557382045673762e-03
9, 9.752799868580000e-01, -6.142735752420121e-03
10, 9.701499938960000e-01, -7.939964605575184e-03
11, 9.645400047300000e-01, -9.849548433580284e-03
12, 9.584699869160000e-01, -1.174737072007915e-02
13, 9.519400000570000e-01, -1.354169740009418e-02
14, 9.449599981310000e-01, -1.518865857604386e-02
15, 9.375399947170000e-01, -1.669969135356923e-02
16, 9.296900033950000e-01, -1.812542933542332e-02
17, 9.214000105860000e-01, -1.953366169133391e-02
18, 9.126999974250000e-01, -2.097686604388069e-02
19, 9.035800099370001e-01, -2.249363974887774e-02
20, 8.940600156780000e-01, -2.409533016022059e-02
21, 8.841500282290000e-01, -2.577821189909242e-02
22, 8.738499879840000e-01, -2.753144122969525e-02
23, 8.631799817090000e-01, -2.933852991054378e-02
24, 8.521599769590000e-01, -3.118473972193954e-02
25, 8.407700061800000e-01, -3.306494115849948e-02
26, 8.290500044819999e-01, -3.496655005034754e-02
27, 8.170099854470000e-01, -3.688339239937366e-02
28, 8.046399950980000e-01, -3.881255576014373e-02
29, 7.919700145720000e-01, -4.074417584100030e-02
30, 7.790099978450000e-01, -4.267055637817041e-02
31, 7.657799720760000e-01, -4.458147000978602e-02
32, 7.522799968720000e-01, -4.646871345263698e-02
33, 7.385200262070000e-01, -4.832198444040574e-02
34, 7.245299816130000e-01, -5.012819787284409e-02
35, 7.103199958800001e-01, -5.187721975293416e-02
36, 6.958900094030001e-01, -5.356052047438875e-02
37, 6.812700033190000e-01, -5.516681678797006e-02
38, 6.664699912070000e-01, -5.668832452712917e-02
39, 6.514999866490000e-01, -5.811843211121717e-02
40, 6.363800168040000e-01, -5.945100899104541e-02
41, 6.211299896240000e-01, -6.068167178608745e-02
42, 6.057599782940000e-01, -6.180852119510782e-02
43, 5.902799963950000e-01, -6.283118604325108e-02
44, 5.747100114820000e-01, -6.375024078085573e-02
45, 5.590599775310000e-01, -6.456845061603210e-02
46, 5.433599948880000e-01, -6.528903477200525e-02
47, 5.276100039480000e-01, -6.591797823655898e-02
48, 5.118399858470000e-01, -6.646106491602824e-02
