"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633182423316864e-05, 1.320546183840862e+00, 6.967501455622536e-01, 1.013326216301311e-01, 3.777592266058770e+00
1, 9.990000128750000e-01, -1.454342243313776e-04, 1.188051179709519e+00, 7.012792217635807e-01, 1.024624673445916e-01, 3.410723779849663e+00
2, 9.977599978450000e-01, -3.270896010420586e-04, 1.179334735459476e+00, 7.536339367900450e-01, 1.118411115197661e-01, 3.396060054439793e+00
3, 9.960200190539999e-01, -5.876725644494425e-04, 1.166152637469807e+00, 7.735331753390088e-01, 1.189198444610940e-01, 3.363604039235717e+00
4, 9.937800168990000e-01, -9.389556853234842e-04, 1.157918142375836e+00, 7.819758810963595e-01, 1.277523063832034e-01, 3.342805239281311e+00
5, 9.910500049590000e-01, -1.399629529801212e-03, 1.152237044253114e+00, 7.898137692046580e-01, 1.403554902802035e-01, 3.329112672904487e+00
6, 9.878399968150000e-01, -1.994539246500995e-03, 1.144646261047098e+00, 7.968755607792709e-01, 1.559582420135353e-01, 3.310211044531675e+00
7, 9.841300249100000e-01, -2.753953813702418e-03, 1.134015208425621e+00, 8.069176542047847e-01, 1.730914470766597e-01, 3.283741789157335e+00
8, 9.799500107769999e-01, -3.687015664157190e-03, 1.119132790149956e+00, 8.211737969445552e-01, 1.890607956887455e-01, 3.246615096013531e+00
9, 9.752799868580000e-01, -4.791519116215076e-03, 1.100103712055492e+00, 8.396577433238210e-01, 2.005461224071133e-01, 3.199088160739056e+00
10, 9.701499938960000e-01, -6.027678155077426e-03, 1.078052475295474e+00, 8.609292904325812e-01, 2.048750923135322e-01, 3.143908943678259e+00
11, 9.645400047300000e-01, -7.347309532886958e-03, 1.055374306455099e+00, 8.822350494300087e-01, 2.009006111005910e-01, 3.086995130950652e+00
12, 9.584699869160000e-01, -8.687423470633872e-03, 1.035743525651536e+00, 9.006256286420120e-01, 1.897643549603207e-01, 3.037658665454192e+00
13, 9.519400000570000e-01, -1.000216598292394e-02, 1.021982545711519e+00, 9.140885498772005e-01, 1.746216085624696e-01, 3.003069562777470e+00
14, 9.449599981310000e-01, -1.126828500053113e-02, 1.014720722567281e+00, 9.221938032491084e-01, 1.592884798080249e-01, 2.984832027188033e+00
15, 9.375399947170000e-01, -1.248944680367398e-02, 1.012431644526918e+00, 9.258674048222310e-01, 1.467394335731373e-01, 2.979071634057818e+00
16, 9.296900033950000e-01, -1.368840516736609e-02, 1.012640539426839e+00, 9.268658823644629e-01, 1.382881297432857e-01, 2.979556290525902e+00
17, 9.214000105860000e-01, -1.489752791015345e-02, 1.013115473114467e+00, 9.269362138483657e-01, 1.337088315414665e-01, 2.980680285276548e+00
18, 9.126999974250000e-01, -1.613918205167808e-02, 1.012466995850330e+00, 9.272979986365314e-01, 1.318584946242271e-01, 2.978956100700574e+00
19, 9.035800099370001e-01, -1.743146895524881e-02, 1.010224875785756e+00, 9.284836091242415e-01, 1.314111336695268e-01, 2.973202487006019e+00
20, 8.940600156780000e-01, -1.877735585343528e-02, 1.006554509488965e+00, 9.305389615336519e-01, 1.313021760542833e-01, 2.963843658302882e+00
21, 8.841500282290000e-01, -2.017310470014081e-02, 1.001890699112726e+00, 9.332090054064278e-01, 1.308971572757166e-01, 2.951969510274002e+00
22, 8.738499879840000e-01, -2.161212829806676e-02, 9.966923948510257e-01, 9.361764900303653e-01, 1.299545212604900e-01, 2.938730458119446e+00
23, 8.631799817090000e-01, -2.308404338033392e-02, 9.913331796240268e-01, 9.392032727210172e-01, 1.284933582122057e-01, 2.925073146198154e+00
24, 8.521599769590000e-01, -2.457956084138358e-02, 9.860189642690189e-01, 9.421195808492064e-01, 1.266423747026315e-01, 2.911511368800670e+00
