"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633271448070887e-05, 1.321692458547523e+00, 6.869484334982333e-01, 9.994570635137176e-02, 3.779283331469758e+00
1, 9.990000128750000e-01, -1.454904250111399e-04, 1.191479402785517e+00, 6.927239516232521e-01, 1.014266611161607e-01, 3.418763457831263e+00
2, 9.977599978450000e-01, -3.277057954514550e-04, 1.184199702237535e+00, 7.433616365704715e-01, 1.111321762912383e-01, 3.407617366737996e+00
3, 9.960200190539999e-01, -5.909979443257680e-04, 1.172608877411289e+00, 7.609313392790669e-01, 1.191598489583631e-01, 3.379049826097702e+00
4, 9.937800168990000e-01, -9.509603571992557e-04, 1.166015471494555e+00, 7.671678173566833e-01, 1.299347772929723e-01, 3.362361379695065e+00
5, 9.910500049590000e-01, -1.432766407452672e-03, 1.161542009662589e+00, 7.729625875819680e-01, 1.455829963814137e-01, 3.351659699212881e+00
6, 9.878399968150000e-01, -2.069728504956226e-03, 1.154515155734541e+00, 7.787183500231494e-01, 1.652274574151540e-01, 3.334167569527323e+00
7, 9.841300249100000e-01, -2.901038869281583e-03, 1.143526968893546e+00, 7.885783439181308e-01, 1.869810148126227e-01, 3.306821869342852e+00
8, 9.799500107769999e-01, -3.940535137703193e-03, 1.127156318215806e+00, 8.041458743456414e-01, 2.075399121693292e-01, 3.266018573292910e+00
9, 9.752799868580000e-01, -5.185122116617666e-03, 1.105424593327053e+00, 8.254814575515347e-01, 2.227301175342403e-01, 3.211791183717987e+00
10, 9.701499938960000e-01, -6.584760385617242e-03, 1.079528460400458e+00, 8.508530690121140e-01, 2.290500442806312e-01, 3.147035978880107e+00
11, 9.645400047300000e-01, -8.076330330566745e-03, 1.052148219584921e+00, 8.767838665951584e-01, 2.247728957062676e-01, 3.078316044190445e+00
12, 9.584699869160000e-01, -9.579054750269643e-03, 1.028076625114712e+00, 8.993321000068765e-01, 2.110861304516705e-01, 3.017774239928184e+00
13, 9.519400000570000e-01, -1.103373197349284e-02, 1.011528747396149e+00, 9.157243013300761e-01, 1.919607973266471e-01, 2.976162073934028e+00
14, 9.449599981310000e-01, -1.241111699354071e-02, 1.003651865566019e+00, 9.252671901706279e-01, 1.724219593498108e-01, 2.956406656536083e+00
15, 9.375399947170000e-01, -1.371714835499521e-02, 1.002444816751930e+00, 9.290574181176119e-01, 1.564607260089983e-01, 2.953408095241778e+00
16, 9.296900033950000e-01, -1.498270666707120e-02, 1.004534165809658e+00, 9.293416012637659e-01, 1.458696707933454e-01, 2.958656742997121e+00
17, 9.214000105860000e-01, -1.625048396441722e-02, 1.006892028806875e+00, 9.284100588618471e-01, 1.403770588768009e-01, 2.964542650992848e+00
18, 9.126999974250000e-01, -1.755162225087232e-02, 1.007645415324687e+00, 9.278741445437363e-01, 1.384895507087026e-01, 2.966358029168000e+00
19, 9.035800099370001e-01, -1.891020230878634e-02, 1.006203274800326e+00, 9.284412553569128e-01, 1.384702986138699e-01, 2.962618711508408e+00
20, 8.940600156780000e-01, -2.033164072136989e-02, 1.002804283333387e+00, 9.301801724926094e-01, 1.389292634666987e-01, 2.953936096218349e+00
21, 8.841500282290000e-01, -2.181221326074020e-02, 9.980266595039877e-01, 9.327780537259124e-01, 1.390378915704007e-01, 2.941763401466341e+00
22, 8.738499879840000e-01, -2.334410400556592e-02, 9.924689641222344e-01, 9.358292706575172e-01, 1.384749752239579e-01, 2.927601708643540e+00
23, 8.631799817090000e-01, -2.491515817104633e-02, 9.866059268412125e-01, 9.390213070810427e-01, 1.372554256805736e-01, 2.912651222619238e+00
24, 8.521599769590000e-01, -2.651450245531674e-02, 9.807027616782106e-01, 9.421382770519642e-01, 1.355365714178594e-01, 2.897574952635749e+00
25, 8.407700061800000e-01, -2.813907054435848e-02, 9.748637935437759e-01, 9.451043496466742e-01, 1.335040996108318e-01, 2.882639575465693e+00
26, 8.290500044819999e-01, -2.977898438128230e-02, 9.690752853198747e-01, 9.479071345802812e-01, 1.312856772811124e-01, 2.867808880360259e+00
27, 8.170099854470000e-01, -3.142984692988107e-02, 9.632779405849740e-01, 9.505820610916199e-01, 1.289491143367313e-01, 2.852935678908074e+00
28, 8.046399950980000e-01, -3.309027040261053e-02, 9.574067055250659e-01, 9.531388009412478e-01, 1.265050021603954e-01, 2.837848703451176e+00
29, 7.919700145720000e-01, -3.475326799563766e-02, 9.514373607225430e-01, 9.556024132234939e-01, 1.239301195809600e-01, 2.822489737291870e+00
30, 7.790099978450000e-01, -3.641417224763557e-02, 9.453629314895382e-01, 9.579944934157827e-01, 1.211953639090790e-01, 2.806845982638633e+00
31, 7.657799720760000e-01, -3.806655607079085e-02, 9.391497895557854e-01, 9.602920243452007e-01, 1.182638817766820e-01, 2.790820621447663e+00
32, 7.522799968720000e-01, -3.970608095334101e-02, 9.327701242514586e-01, 9.624945818396793e-01, 1.151136493790802e-01, 2.774339804824348e+00
33, 7.385200262070000e-01, -4.132682569730547e-02, 9.262607223794864e-01, 9.645987152965643e-01, 1.117341836272567e-01, 2.757501658956628e+00
34, 7.245299816130000e-01, -4.292050084778905e-02, 9.197038878072485e-01, 9.665695454981942e-01, 1.081214613442185e-01, 2.740515875430459e+00
35, 7.103199958800001e-01, -4.448131003121333e-02, 9.131756584018967e-01, 9.683824721957899e-01, 1.042840432139620e-01, 2.723577829111338e+00
36, 6.958900094030001e-01, -4.600470795123036e-02, 9.067443997693301e-01, 9.700497809301061e-01, 1.002441836076190e-01, 2.706873166560054e+00
37, 6.812700033190000e-01, -4.748331348024526e-02, 9.004312807378109e-01, 9.715252824079657e-01, 9.601973782750202e-02, 2.690443559860371e+00
38, 6.664699912070000e-01, -4.891240627387065e-02, 8.942981398645174e-01, 9.728416713616275e-01, 9.164564589637109e-02, 2.674462733867896e+00
39, 6.514999866490000e-01, -5.028777024477638e-02, 8.883808807167017e-01, 9.739893236190301e-01, 8.715410507816873e-02, 2.659022023315496e+00
40, 6.363800168040000e-01, -5.160490477187697e-02, 8.827305095579329e-01, 9.749672518862967e-01, 8.257997844497181e-02, 2.644254962483056e+00
41, 6.211299896240000e-01, -5.286011684908144e-02, 8.774324097225833e-01, 9.757955292905699e-01, 7.796047359511903e-02, 2.630392089537892e+00
42, 6.057599782940000e-01, -5.405127046231616e-02, 8.725793717103876e-01, 9.764701112277142e-01, 7.333011351797185e-02, 2.617675068442236e+00
43, 5.902799963950000e-01, -5.517686313706247e-02, 8.682652898225297e-01, 9.770267345403573e-01, 6.872482095908740e-02, 2.606360541356260e+00
44, 5.747100114820000e-01, -5.623534929506602e-02, 8.644896647402913e-01, 9.774641794676295e-01, 6.417355047904044e-02, 2.596443882723946e+00
45, 5.590599775310000e-01, -5.722655406038273e-02, 8.612030916164408e-01, 9.778177405421761e-01, 5.970869993475644e-02, 2.587803739407955e+00
46, 5.433599948880000e-01, -5.814968225932873e-02, 8.583703008623257e-01, 9.780821102238525e-01, 5.535001719661620e-02, 2.580343181825102e+00
47, 5.276100039480000e-01, -5.900631933822199e-02, 8.561410926277265e-01, 9.782964334969433e-01, 5.112218806702759e-02, 2.574467508453634e+00
48, 5.118399858470000e-01, -5.979680247248183e-02, 8.547989918145908e-01, 9.784611640113092e-01, 4.703422982272175e-02, 2.570920990882986e+00
49, 4.960500001910000e-01, -6.052339587075112e-02, 8.546093445067278e-01, 9.786194334825946e-01, 4.309975270543793e-02, 2.570414267315775e+00
50, 4.802699983120000e-01, -6.118718836624045e-02, 8.555679186099284e-01, 9.787653343248461e-01, 3.931786396664966e-02, 2.572933393725710e+00
51, 4.645099937920000e-01, -6.179038565636564e-02, 8.573043581977653e-01, 9.788912549445614e-01, 3.568606162369763e-02, 2.577501361057889e+00
52, 4.487800002100000e-01, -6.233517493484223e-02, 8.592601612648263e-01, 9.789465447950534e-01, 3.219486388823055e-02, 2.582631433525006e+00
53, 4.331099987030000e-01, -6.282304527742094e-02, 8.613928488808116e-01, 9.789082912628365e-01, 2.882769788127580e-02, 2.588204252412822e+00
54, 4.174999892710000e-01, -6.325633446849908e-02, 8.650492611033025e-01, 9.787859527632646e-01, 2.556829983754595e-02, 2.597774253435157e+00
55, 4.019699990750000e-01, -6.363649876557327e-02, 8.729352335281905e-01, 9.785969306429397e-01, 2.239220867368038e-02, 2.618497137016113e+00
56, 3.865399956700000e-01, -6.396475957749051e-02, 8.861502038849036e-01, 9.783054446058034e-01, 1.927111552949502e-02, 2.653312311651842e+00
57, 3.712300062180000e-01, -6.424202943801249e-02, 8.964729619841835e-01, 9.779187781142816e-01, 1.617143935270323e-02, 2.680507301400332e+00
