"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -7.065274585,      -6.900739409,      -7.223124548,      -7.124657296,      -6.467584637,      -11.49193623
          0,           0,          55,      -7.102294259,      -6.890749825,      -7.222337124,      -7.134538686,      -6.507868644,      -11.48526943
          0,           0,          56,      -7.133711282,      -6.878256908,      -7.220068225,       -7.14094923,      -6.542530163,      -11.47848788
          0,           0,          57,      -7.159155096,      -6.864521997,      -7.217109258,      -7.144754328,      -6.570927331,      -11.47183254
          0,           0,          58,      -7.178867045,      -6.850551453,      -7.213941165,      -7.146647514,      -6.593103364,      -11.46547265
          0,           0,          59,        -7.1935526,      -6.837064025,      -7.210999068,      -7.147331349,      -6.609673437,       -11.4595697
          0,           0,          60,      -7.204171009,      -6.824518471,      -7.208758881,      -7.147570329,      -6.621611074,      -11.45427477
          0,           0,          61,      -7.211710405,      -6.813175095,      -7.207709413,      -7.148123622,       -6.62999328,       -11.4497034
          0,           0,          62,      -7.217041196,      -6.803147917,      -7.208289304,      -7.149660624,      -6.635815965,      -11.44591355
          0,           0,          63,      -7.220863889,      -6.794467116,      -7.210848011,      -7.152678564,       -6.63990824,      -11.44291566
          0,           0,          64,      -7.223704723,      -6.787112727,      -7.215627809,       -7.15748092,      -6.642901997,      -11.44069491
          0,           0,          65,      -7.225942973,      -6.781039061,      -7.222779186,      -7.164201144,      -6.645245544,       -11.4392211
          0,           0,          66,      -7.227855006,       -6.77619021,      -7.232384041,      -7.172845254,      -6.647248055,      -11.43846122
          0,           0,          67,      -7.229646109,      -6.772503202,      -7.244480179,      -7.183341082,      -6.649119217,      -11.43837922
          0,           0,          68,      -7.231473395,      -6.769914314,      -7.259076605,      -7.195570674,      -6.651004318,      -11.43894523
          0,           0,          69,       -7.23345455,      -6.768361504,      -7.276156769,      -7.209389727,      -6.653003004,      -11.44013293
          0,           0,          70,      -7.235694416,      -6.767789056,       -7.29567187,      -7.224636611,      -6.655206123,      -11.44184668
          0,           0,          71,      -7.238275063,      -6.768146473,      -7.317527362,      -7.241119807,      -6.657687357,       -11.4440477
          0,           0,          72,       -7.24126547,      -6.769389535,      -7.341571364,      -7.258617688,      -6.660513806,      -11.44674319
          0,           0,          73,      -7.244718281,      -6.771478887,       -7.36758378,      -7.276876283,         -6.663741,      -11.44993936
