"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.472719208,      -3.685515277,      -3.719896825,      -2.425259222,      -10.71643572
          0,           0,          64,       -4.46718384,      -3.679673502,      -3.715358482,      -2.419506106,      -10.71045657
          0,           0,          65,      -4.461639423,       -3.67436892,      -3.711098716,      -2.413752846,      -10.70453242
          0,           0,          66,      -4.456092302,      -3.669504995,      -3.707056879,      -2.408006034,      -10.69869152
          0,           0,          67,      -4.450555327,      -3.664985994,      -3.703175153,      -2.402278719,      -10.69292035
          0,           0,          68,      -4.445045685,      -3.660721422,      -3.699398586,      -2.396588218,      -10.68729771
          0,           0,          69,      -4.439582412,      -3.656629388,      -3.695675126,      -2.390953602,       -10.6819152
          0,           0,          70,      -4.434184019,      -3.652638865,      -3.691955788,      -2.385393322,        -10.676789
          0,           0,          71,      -4.428866569,      -3.648690907,      -3.688194999,      -2.379923288,      -10.67186079
          0,           0,          72,      -4.423642338,      -3.644738911,       -3.68435111,      -2.374555536,       -10.6669841
          0,           0,          73,      -4.418519078,      -3.640748118,      -3.680387071,      -2.369297517,      -10.66226262
          0,           0,          74,      -4.413499792,      -3.636694518,      -3.676271177,       -2.36415189,      -10.65771679
          0,           0,          75,      -4.408582904,      -3.632563425,      -3.671977845,      -2.359116705,      -10.65336477
          0,           0,          76,      -4.403762664,      -3.628347883,      -3.667488326,      -2.354185844,      -10.64901642
          0,           0,          77,      -4.399029716,      -3.624047074,      -3.662791249,      -2.349349597,      -10.64475497
          0,           0,          78,      -4.394371727,      -3.619664842,      -3.657882942,      -2.344595321,      -10.64061022
          0,           0,          79,      -4.389774054,      -3.615208363,      -3.652767411,      -2.339908118,      -10.63658036
          0,           0,          80,      -4.385220429,      -3.610687014,      -3.647455987,      -2.335271536,      -10.63246602
          0,           0,          81,      -4.380693667,      -3.606111403,      -3.641966589,      -2.330668281,      -10.62836284
          0,           0,          82,       -4.37617637,      -3.601492561,      -3.636322686,      -2.326080932,      -10.62431548
          0,           0,          83,       -4.37165164,      -3.596841313,      -3.630551998,      -2.321492635,         -10.62026
          0,           0,          84,      -4.367103749,      -3.592167808,      -3.624685055,      -2.316887774,       -10.6160766
          0,           0,          85,      -4.362518757,      -3.587481245,      -3.618753708,      -2.312252566,      -10.61184652
          0,           0,          86,      -4.357885038,      -3.582789791,      -3.612789708,      -2.307575574,      -10.60758895
          0,           0,          87,      -4.353193679,      -3.578100702,      -3.606823428,      -2.302848083,      -10.60323176
          0,           0,          88,      -4.348438756,      -3.573420633,      -3.600882806,      -2.298064364,      -10.59884193
          0,           0,          89,      -4.343617461,      -3.568756081,      -3.594992544,      -2.293221775,      -10.59435465
          0,           0,          90,      -4.338730097,      -3.564113922,      -3.589173579,      -2.288320757,      -10.58974091
          0,           0,          91,      -4.333779966,      -3.559501963,      -3.583442818,      -2.283364697,      -10.58505327
          0,           0,          92,      -4.328773153,      -3.554929425,      -3.577813125,      -2.278359722,      -10.58032782
          0,           0,          93,      -4.323718264,      -3.550407272,      -3.572293515,      -2.273314423,       -10.5755486
          0,           0,          94,      -4.318626115,      -3.545948365,      -3.566889503,      -2.268239554,      -10.57064708
          0,           0,          95,      -4.313509389,      -3.541567357,      -3.561603568,      -2.263147685,      -10.56568686
          0,           0,          96,      -4.308382293,      -3.537280328,      -3.556435668,      -2.258052873,       -10.5607051
          0,           0,          97,      -4.303260219,      -3.533104181,      -3.551383766,      -2.252970319,      -10.55574486
          0,           0,          98,      -4.298159416,      -3.529055807,      -3.546444323,      -2.247916063,      -10.55068392
          0,           0,          99,      -4.293096674,      -3.525151083,      -3.541612719,       -2.24290667,      -10.54555578
          0,           0,         100,      -4.288089024,      -3.521403758,      -3.536883582,      -2.237958949,      -10.54043706
          0,           0,         101,      -4.283153439,      -3.517824293,      -3.532251023,      -2.233089673,      -10.53537881
          0,           0,         102,      -4.278306548,      -3.514418778,      -3.527708776,      -2.228315308,      -10.53034737
          0,           0,         103,      -4.273564344,      -3.511187859,      -3.523250284,      -2.223651741,      -10.52531084
          0,           0,         104,      -4.268941892,      -3.508125906,      -3.518868704,      -2.219114009,      -10.52033435
          0,           0,         105,      -4.264453043,        -3.5052204,      -3.514556901,      -2.214716029,      -10.51546625
          0,           0,         106,       -4.26011015,      -3.502451643,      -3.510307437,      -2.210470324,      -10.51069527
          0,           0,         107,      -4.255923788,       -3.49979281,      -3.506112609,      -2.206387755,      -10.50597254
          0,           0,         108,      -4.251902499,      -3.497210435,       -3.50196453,      -2.202477254,      -10.50131045
          0,           0,         109,      -4.248052548,      -3.494665338,      -3.497855293,      -2.198745581,      -10.49674609
          0,           0,         110,      -4.244377726,      -3.492114024,      -3.493777219,      -2.195197095,      -10.49227433
          0,           0,         111,      -4.240879198,      -3.489510523,      -3.489723178,      -2.191833564,      -10.48788921
          0,           0,         112,      -4.237555407,      -3.486808627,      -3.485686975,      -2.188654025,       -10.4835128
          0,           0,         113,      -4.234402051,      -3.483964409,      -3.481663789,      -2.185654693,      -10.47923467
          0,           0,         114,      -4.231412143,      -3.480938884,      -3.477650623,      -2.182828954,       -10.4750479
          0,           0,         115,      -4.228576157,      -3.477700614,      -3.473646757,      -2.180167429,      -10.47089559
          0,           0,         116,      -4.225882273,      -3.474228053,      -3.469654153,      -2.177658135,      -10.46666495
          0,           0,         117,      -4.223316706,      -3.470511419,      -3.465677799,      -2.175286744,      -10.46245791
          0,           0,         118,      -4.220864129,      -3.466553901,       -3.46172597,      -2.173036937,      -10.45830876
          0,           0,         119,      -4.218508169,      -3.462372089,      -3.457810372,      -2.170890856,      -10.45427498
          0,           0,         120,      -4.216231964,      -3.457995551,       -3.45394618,      -2.168829638,      -10.45014979
          0,           0,         121,      -4.214018753,      -3.453465605,      -3.450151943,      -2.166834026,      -10.44596086
          0,           0,         122,       -4.21185247,      -3.448833367,      -3.446449359,      -2.164885015,       -10.4417997
          0,           0,         123,      -4.209718319,      -3.444157255,      -3.442862933,      -2.162964523,      -10.43775156
          0,           0,         124,       -4.20760329,       -3.43950012,      -3.439419509,      -2.161056043,      -10.43368235
          0,           0,         125,      -4.205496587,       -3.43492623,      -3.436147692,      -2.159145243,      -10.42960205
          0,           0,         126,      -4.203389941,      -3.430498264,      -3.433077167,      -2.157220469,      -10.42568095
          0,           0,         127,      -4.201277787,       -3.42627449,      -3.430237927,      -2.155273137,      -10.42190267
          0,           0,         128,      -4.199157295,      -3.422306217,      -3.427659415,       -2.15329796,      -10.41809981
          0,           0,         129,      -4.197028247,      -3.418635627,      -3.425369605,      -2.151293018,      -10.41423828
          0,           0,         130,      -4.194892774,      -3.415294022,      -3.423394025,      -2.149259642,      -10.41050593
          0,           0,         131,      -4.192754967,      -3.412300517,      -3.421754746,      -2.147202128,      -10.40698713
          0,           0,         132,      -4.190620396,      -3.409661229,      -3.420469354,      -2.145127302,      -10.40356089
          0,           0,         133,      -4.188495552,      -3.407368962,      -3.419549936,      -2.143043944,      -10.40002468
          0,           0,         134,      -4.186387271,      -3.405403454,      -3.419002097,      -2.140962133,      -10.39650409
          0,           0,         135,      -4.184302154,      -3.403732198,      -3.418824059,      -2.138892531,      -10.39306898
          0,           0,         136,      -4.182246042,      -3.402311887,      -3.419005875,      -2.136845669,      -10.38970916
          0,           0,         137,      -4.180223555,       -3.40109049,      -3.419528816,       -2.13483126,      -10.38620227
          0,           0,         138,       -4.17823773,      -3.400009956,      -3.420364998,      -2.132857598,      -10.38262573
          0,           0,         139,       -4.17628978,      -3.399009454,      -3.421477301,      -2.130931049,      -10.37901639
          0,           0,         140,      -4.174378976,      -3.398029014,      -3.422819664,      -2.129055689,      -10.37534114
          0,           0,         141,      -4.172502664,      -3.397013343,      -3.424337804,      -2.127233089,      -10.37152651
          0,           0,         142,      -4.170656402,      -3.395915529,      -3.425970427,      -2.125462258,      -10.36748562
          0,           0,         143,      -4.168834212,      -3.394700272,      -3.427650938,       -2.12373974,      -10.36332615
          0,           0,         144,      -4.167028921,      -3.393346333,      -3.429309646,      -2.122059866,       -10.3591075
          0,           0,         145,      -4.165232573,      -3.391847879,      -3.430876379,      -2.120415123,      -10.35471041
          0,           0,         146,       -4.16343687,      -3.390214557,       -3.43228338,      -2.118796625,      -10.35007638
          0,           0,         147,      -4.161633615,      -3.388470231,      -3.433468285,      -2.117194643,      -10.34527987
          0,           0,         148,      -4.159815126,      -3.386650476,      -3.434376951,      -2.115599161,       -10.3404281
          0,           0,         149,      -4.157974581,      -3.384799067,      -3.434965844,      -2.114000409,      -10.33549813
          0,           0,         150,      -4.156106268,       -3.38296376,      -3.435203766,      -2.112389325,      -10.33048412
          0,           0,         151,      -4.154205716,      -3.381191737,      -3.435072711,      -2.110757922,      -10.32529592
          0,           0,         152,      -4.152269705,      -3.379525076,      -3.434567744,      -2.109099515,      -10.32002662
          0,           0,         153,      -4.150296129,      -3.377996556,      -3.433695936,      -2.107408789,        -10.314689
          0,           0,         154,      -4.148283745,      -3.376626067,      -3.432474452,      -2.105681708,      -10.30937987
          0,           0,         155,      -4.146231808,      -3.375417853,      -3.430928031,      -2.103915257,      -10.30409834
          0,           0,         156,      -4.144139631,      -3.374358727,      -3.429086133,      -2.102107052,      -10.29883028
          0,           0,         157,      -4.142006098,      -3.373417423,      -3.426980062,      -2.100254843,      -10.29348451
          0,           0,         158,      -4.139829185,       -3.37254518,      -3.424640318,       -2.09835596,      -10.28815893
          0,           0,         159,      -4.137605509,      -3.371677634,      -3.422094422,       -2.09640675,      -10.28285122
          0,           0,         160,      -4.135329979,      -3.370738047,       -3.41936536,      -2.094402074,      -10.27759011
          0,           0,         161,      -4.132995559,      -3.369641783,      -3.416470727,      -2.092334892,      -10.27234418
          0,           0,         162,       -4.13059319,       -3.36830183,      -3.413422568,      -2.090196024,      -10.26704517
          0,           0,         163,      -4.128111885,      -3.366635028,      -3.410227845,      -2.087974082,      -10.26178778
          0,           0,         164,      -4.125539009,       -3.36456845,      -3.406889402,      -2.085655634,      -10.25658202
          0,           0,         165,      -4.122860725,       -3.36204532,      -3.403407273,      -2.083225575,      -10.25141467
          0,           0,         166,      -4.120062593,      -3.359029759,      -3.399780159,      -2.080667712,      -10.24621543
