"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633240963563842e-05, 1.319690019336207e+00, 6.987102391151820e-01, 1.016435076210225e-01, 3.775515400511267e+00
1, 9.990000128750000e-01, -1.454711742732867e-04, 1.187352359313229e+00, 7.007359453754205e-01, 1.025254958364676e-01, 3.408698391941179e+00
2, 9.977599978450000e-01, -3.274946038480025e-04, 1.179589632952155e+00, 7.515066426913224e-01, 1.120670136085293e-01, 3.396381869908657e+00
3, 9.960200190539999e-01, -5.898571438973935e-04, 1.167511474281661e+00, 7.698289309962635e-01, 1.197963127623879e-01, 3.366674564593577e+00
4, 9.937800168990000e-01, -9.468361523376828e-04, 1.160295200309561e+00, 7.766332163283054e-01, 1.299335498469696e-01, 3.348393704577413e+00
5, 9.910500049590000e-01, -1.421358502036365e-03, 1.155374307035808e+00, 7.830939101814658e-01, 1.446122901051199e-01, 3.336586100481863e+00
6, 9.878399968150000e-01, -2.043767052258233e-03, 1.148024183948831e+00, 7.892831807621841e-01, 1.629538181044608e-01, 3.318273621838138e+00
7, 9.841300249100000e-01, -2.850043665582218e-03, 1.136910429392923e+00, 7.992513544168944e-01, 1.831873916214658e-01, 3.290592469431669e+00
8, 9.799500107769999e-01, -3.852141794751432e-03, 1.120645698894837e+00, 8.144563492590032e-01, 2.021669503602063e-01, 3.250012017432260e+00
9, 9.752799868580000e-01, -5.046828312386716e-03, 1.099271876970572e+00, 8.349201410380325e-01, 2.159589943288648e-01, 3.196618706699187e+00
10, 9.701499938960000e-01, -6.386997149175386e-03, 1.073965759218187e+00, 8.589759890603422e-01, 2.213111840708703e-01, 3.133263997183161e+00
11, 9.645400047300000e-01, -7.813934950894519e-03, 1.047353147630848e+00, 8.833593657048104e-01, 2.166998420785492e-01, 3.066394581040548e+00
12, 9.584699869160000e-01, -9.252258747463757e-03, 1.024013003544574e+00, 9.044546838119052e-01, 2.033418856022949e-01, 3.007625578249323e+00
13, 9.519400000570000e-01, -1.064670120736112e-02, 1.007878135689190e+00, 9.197741075713586e-01, 1.849988449641938e-01, 2.966995690202887e+00
14, 9.449599981310000e-01, -1.196959151442288e-02, 9.999964998250255e-01, 9.287494186202642e-01, 1.663411483874203e-01, 2.947186363756917e+00
15, 9.375399947170000e-01, -1.322577515025416e-02, 9.984737530842382e-01, 9.324318607545373e-01, 1.510434595879920e-01, 2.943372074976657e+00
16, 9.296900033950000e-01, -1.444315867776441e-02, 1.000124226244907e+00, 9.328962311414060e-01, 1.407386857080500e-01, 2.947510014424806e+00
17, 9.214000105860000e-01, -1.566068707091493e-02, 1.002083396574425e+00, 9.322381839626498e-01, 1.351583274341905e-01, 2.952391878629578e+00
