"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          58,      -6.434458125,      -4.552537875,               -32,      -4.779419667,      -4.021420553,      -10.04466026
          0,           0,          59,      -6.440565868,      -4.544726896,               -32,      -4.778114881,      -4.029185031,        -10.032284
          0,           0,          60,      -6.418398012,      -4.537355796,               -32,      -4.775530138,      -4.037967007,      -10.01997294
          0,           0,          61,      -6.410117627,      -4.530490643,               -32,      -4.771890271,      -4.052352044,      -10.00778469
          0,           0,          62,      -6.432068844,       -4.52425242,               -32,      -4.767682478,      -4.073945528,      -9.995794765
          0,           0,          63,      -6.475775506,      -4.518558442,               -32,      -4.763431484,      -4.099078676,       -9.98407949
          0,           0,          64,      -6.497914236,      -4.513297157,               -32,      -4.759621556,      -4.130052821,      -9.972677079
          0,           0,          65,      -6.474396158,      -4.508274395,               -32,      -4.756036744,      -4.163106636,      -9.961577459
          0,           0,          66,       -6.46635547,      -4.503243216,               -32,      -4.752449832,      -4.196554512,      -9.950828078
          0,           0,          67,      -6.492747554,      -4.498135406,               -32,      -4.748966374,      -4.230615605,      -9.940344082
          0,           0,          68,      -6.537558571,      -4.492856236,               -32,      -4.745268692,      -4.255283833,      -9.930088259
          0,           0,          69,      -6.547319633,      -4.487445344,               -32,      -4.741671751,      -4.272202014,      -9.920036504
          0,           0,          70,      -6.502265242,       -4.48197767,               -32,      -4.738120692,      -4.275302184,       -9.91010892
          0,           0,          71,      -6.477889809,      -4.476456251,               -32,      -4.734349082,      -4.264221612,      -9.900326698
          0,           0,          72,      -6.489179838,      -4.471004227,               -32,      -4.730607317,      -4.249107733,      -9.890654841
          0,           0,          73,       -6.51428097,      -4.465673988,               -32,      -4.726526334,      -4.230012451,      -9.881164552
          0,           0,          74,      -6.511233782,       -4.46055868,               -32,      -4.722433107,      -4.217129071,       -9.87186209
          0,           0,          75,      -6.469449305,      -4.455718513,               -32,      -4.718399728,      -4.209683526,      -9.862768733
          0,           0,          76,      -6.453768091,      -4.451168215,               -32,      -4.714373094,      -4.207810606,      -9.853948574
          0,           0,          77,      -6.470867351,      -4.446886551,               -32,      -4.710675634,      -4.212350364,       -9.84537793
          0,           0,          78,      -6.499253105,      -4.442858679,               -32,      -4.707097729,       -4.21894957,      -9.837051273
          0,           0,          79,       -6.50275922,      -4.439022531,               -32,      -4.703816354,      -4.228278454,      -9.828916066
          0,           0,          80,      -6.474173509,      -4.435339238,               -32,      -4.700787089,      -4.235804645,      -9.820969111
          0,           0,          81,       -6.46345213,      -4.431786346,               -32,      -4.697898001,      -4.240028261,      -9.813231286
          0,           0,          82,      -6.476743615,      -4.428338544,               -32,      -4.695244466,      -4.240645664,       -9.80566491
          0,           0,          83,      -6.494492823,      -4.425016209,               -32,      -4.692724617,      -4.236899595,      -9.798262681
          0,           0,          84,      -6.493519232,      -4.421819448,               -32,      -4.690378605,       -4.23142228,      -9.791006644
          0,           0,          85,      -6.470771128,      -4.418765945,               -32,      -4.688199143,      -4.224485396,      -9.783888398
          0,           0,          86,      -6.456683125,      -4.415884402,               -32,      -4.686139598,      -4.217530122,      -9.776898232
          0,           0,          87,      -6.461913135,      -4.413183256,               -32,      -4.684240684,      -4.211810639,      -9.770086709
          0,           0,          88,      -6.472692368,      -4.410680215,               -32,      -4.682508518,      -4.207410518,      -9.763447121
          0,           0,          89,      -6.473876625,      -4.408373774,               -32,      -4.680963594,      -4.205229954,      -9.756994518
          0,           0,          90,      -6.461795493,      -4.406256625,               -32,      -4.679616168,      -4.204660799,      -9.750731194
          0,           0,          91,      -6.451794754,      -4.404323682,               -32,      -4.678456273,      -4.205044649,      -9.744664676
          0,           0,          92,      -6.453940192,       -4.40256105,               -32,      -4.677484581,      -4.205797512,      -9.738749948
          0,           0,          93,      -6.461134622,      -4.400958247,               -32,      -4.676708426,       -4.20599854,      -9.733018626
          0,           0,          94,      -6.463539248,      -4.399506117,               -32,      -4.676125527,      -4.205602705,      -9.727484212
          0,           0,          95,      -6.457653147,      -4.398198544,               -32,      -4.675724888,       -4.20448932,      -9.722147955
          0,           0,          96,      -6.450009493,      -4.397035079,               -32,      -4.675495158,      -4.202625329,      -9.717016365
